,celgene_male,celgene_female,tuple,corp_male,corp_female,average_male,average_female,male-female
28,-1.8620989,-1.7790332,"('disloyal', 'loyal')",0.5923861,0.72942185,-0.6348564,-0.5248057,-0.1100507
86,-1.8076351,-2.0242288,"('uninfluential', 'influential')",-0.28013992,-0.1960034,-1.0438875,-1.1101161,0.0662286
69,1.7915218,1.5107747,"('lazy', 'industrious')",-0.7991275,-1.1107522,0.4961971,0.2000113,0.2961858
10,-1.7010328,-1.7743889,"('unsympathetic', 'sympathetic')",-0.2828636,0.013916797,-0.9919482,-0.880236,-0.1117122
57,-1.5937172,-1.5853857,"('unimaginative', 'imaginative')",-3.4227045,-3.225499,-2.5082109,-2.4054422,-0.1027687
1,-1.4815995,-1.6869256,"('unfriendly', 'friendly')",0.65163344,0.325002,-0.414983,-0.6809618,0.2659788
45,-1.3656298,-1.2286115,"('incompetent', 'competent')",-0.07317708,0.11299814,-0.7194034,-0.5578067,-0.1615967
84,1.3310144,1.2446218,"('inferior', 'superior')",1.1935775,1.1140862,1.262296,1.179354,0.082942
9,-1.3306601,-1.3872179,"('unaffectionate', 'caring')",0.5995687,0.49072358,-0.3655457,-0.4482471,0.0827014
23,-1.2638488,-1.1157837,"('insincere', 'sincere')",5.972496,5.992003,2.3543236,2.4381096,-0.083786
43,-1.258806,-1.3131162,"('irresponsible', 'responsible')",0.34888014,0.48055112,-0.4549629,-0.4162825,-0.0386804
8,-1.2399617,-1.4125578,"('unaffectionate', 'affectionate')",-0.24986961,-0.5765275,-0.7449157,-0.9945427,0.249627
0,-1.0455624,-1.3775684,"('unsociable', 'sociable')",-0.19013476,-0.05348451,-0.6178486,-0.7155265,0.0976779
73,1.0404608,0.9926993,"('helpless', 'self-reliant')",-3.276611,-3.2530131,-1.1180751,-1.1301569,0.0120818
53,-1.0164443,-0.71606046,"('uncreative', 'creative')",0.31009498,0.32513073,-0.3531747,-0.1954649,-0.1577098
24,-1.0130897,-1.1219524,"('dishonest', 'honest')",0.681052,0.61842304,-0.1660188,-0.2517647,0.0857459
