,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.551016,-3.663916,"('unsympathetic', 'sympathetic')",-0.61238354,-0.75123674,-2.0816998,-2.2075765,0.1258767
86,-2.9172633,-2.9305995,"('uninfluential', 'influential')",-0.353436,-0.4478365,-1.6353496,-1.6892179,0.0538683
28,-2.7361724,-2.5163968,"('disloyal', 'loyal')",1.1307231,1.025447,-0.8027247,-0.7454749,-0.0572498
45,-2.4392474,-2.3073013,"('incompetent', 'competent')",-0.06314453,-0.006149877,-1.2511959,-1.1567255,-0.0944704
13,-2.3959148,-2.2719963,"('impolite', 'polite')",-1.0852995,-1.1353794,-1.7406071,-1.7036879,-0.0369192
24,-2.3549466,-2.0174873,"('dishonest', 'honest')",0.49591693,0.56064767,-0.9295148,-0.7284198,-0.201095
43,-2.224143,-2.0766284,"('irresponsible', 'responsible')",0.4277861,0.40420857,-0.8981785,-0.83621,-0.0619685
46,-2.1209493,-2.2317328,"('uncompetitive', 'competitive')",-1.2453222,-1.2003042,-1.6831357,-1.7160184,0.0328827
55,-2.103182,-2.2258198,"('incompetent', 'clever')",0.18018763,0.1052294,-0.9614972,-1.0602952,0.098798
12,-2.0703418,-1.8871235,"('unsupportive', 'supportive')",-1.9821649,-1.9101421,-2.0262532,-1.8986328,-0.1276204
11,-2.052787,-1.9379545,"('unhelpful', 'helpful')",1.4900361,1.5717989,-0.2813755,-0.1830778,-0.0982977
23,-2.04817,-1.9221911,"('insincere', 'sincere')",5.8656974,5.5009117,1.9087636,1.7893603,0.1194033
62,-1.9438167,-1.7148,"('incompetent', 'brilliant')",0.35031065,0.52602905,-0.796753,-0.5943855,-0.2023675
0,-1.9435015,-2.1369126,"('unsociable', 'sociable')",-0.27251896,-0.40411606,-1.1080102,-1.2705144,0.1625042
81,-1.8776557,-2.0724504,"('submissive', 'aggressive')",-0.95853955,-0.9928191,-1.4180976,-1.5326347,0.1145371
35,1.8608721,1.9337788,"('corrupt', 'incorrupt')",-0.25723842,-0.22739786,0.8018169,0.8531904,-0.0513735
30,-1.8573891,-1.6332331,"('intolerant', 'tolerant')",0.53336567,0.65508056,-0.6620117,-0.4890763,-0.1729354
21,-1.8290946,-1.9866302,"('immoral', 'moral')",-0.7611096,-0.7536907,-1.2951021,-1.3701605,0.0750584
70,-1.7932336,-1.7863367,"('lethargic', 'energetic')",-0.07149498,-0.04687144,-0.9323643,-0.916604,-0.0157603
7,-1.7565085,-1.7207607,"('insensitive', 'sensitive')",0.50469905,0.45346296,-0.6259047,-0.6336489,0.0077442
60,-1.734353,-1.7783116,"('inefficient', 'efficient')",-0.031461176,0.0683144,-0.882907,-0.8549986,-0.0279084
57,-1.7009774,-1.7362572,"('unimaginative', 'imaginative')",-3.192497,-3.08908,-2.4467373,-2.4126687,-0.0340686
48,-1.6403623,-1.9525815,"('unintelligent', 'intelligent')",0.9714043,0.840296,-0.334479,-0.5561428,0.2216638
69,1.5743806,1.6882647,"('lazy', 'industrious')",-0.5232016,-0.3228221,0.5255895,0.6827213,-0.1571318
14,-1.546959,-1.6918806,"('antisocial', 'social')",-0.63866156,-0.64700896,-1.0928103,-1.1694448,0.0766345
38,-1.5108329,-1.1277733,"('untruthful', 'truthful')",-0.39904505,-0.25439417,-0.954939,-0.6910837,-0.2638553
65,-1.4430373,-1.6113445,"('insecure', 'secure')",-0.4739743,-0.5446348,-0.9585057,-1.0779896,0.1194839
41,-1.4181846,-1.163307,"('unforgiving', 'forgiving')",-0.24140964,-0.4129425,-0.8297971,-0.7881247,-0.0416724
51,-1.3832211,-1.5187455,"('uneducated', 'educated')",0.021921046,-0.054791078,-0.6806501,-0.7867683,0.1061182
63,-1.3417084,-1.271491,"('unperceptive', 'insightful')",0.5300125,0.57431424,-0.405848,-0.3485884,-0.0572596
1,-1.3104147,-1.1332824,"('unfriendly', 'friendly')",1.9813025,1.8749057,0.3354439,0.3708116,-0.0353677
22,-1.3046157,-1.1775197,"('untrustworthy', 'trustworthy')",-1.0331964,-1.0040151,-1.1689061,-1.0907674,-0.0781387
32,-1.3015888,-1.206456,"('unkind', 'kind')",0.78492486,0.6657489,-0.258332,-0.2703535,0.0120215
44,1.2826735,1.2201078,"('prejudiced', 'unprejudiced')",-1.43644,-1.2932462,-0.0768833,-0.0365692,-0.0403141
