,conagra_male,conagra_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.2268336,-2.1767225,"('uninfluential', 'influential')",0.15447327,0.007009797,-0.07324796,-0.30067316,-0.7152027,-0.823462,0.1082593
1,-1.7639577,-1.6615825,"('unfriendly', 'friendly')",0.6916744,0.6905745,1.577915,1.5412326,0.1685439,0.1900749,-0.021531
57,-1.7336398,-1.6343673,"('unimaginative', 'imaginative')",-0.56292135,-0.5141348,-2.1087346,-2.2754474,-1.4684319,-1.4746497,0.0062178
53,-1.4363896,-1.3159244,"('uncreative', 'creative')",0.84594566,0.78537035,0.8336383,0.77651,0.0810648,0.0819853,-0.0009205
10,-1.405839,-1.2868192,"('unsympathetic', 'sympathetic')",0.42366377,0.3053849,-0.41383934,-0.5131503,-0.4653382,-0.4981949,0.0328567
0,-1.2653043,-1.1849371,"('unsociable', 'sociable')",0.7368461,0.62005347,-0.6240007,-0.6950688,-0.384153,-0.4199841,0.0358311
9,-1.2338305,-1.2227857,"('unaffectionate', 'caring')",0.5933667,0.6453197,0.95998794,0.89895153,0.1065081,0.1071618,-0.0006537
3,-1.1649853,-1.0455866,"('repellent', 'pleasant')",-0.44060856,-0.5649412,0.037086945,-0.07710769,-0.5228357,-0.5625451,0.0397094
73,1.1462101,1.0437162,"('helpless', 'self-reliant')",1.0636415,0.73425126,-2.6418204,-2.867349,-0.1439896,-0.3631272,0.2191376
72,-1.0734099,-0.8728502,"('unambitious', 'ambitious')",-0.656584,-0.4826153,-1.0238159,-0.7674604,-0.9179366,-0.7076419,-0.2102947
36,-1.0532691,-0.5623148,"('hostile', 'amicable')",-2.1592672,-1.5748358,-0.23176086,0.15215716,-1.1480991,-0.6616644,-0.4864347
31,-1.0530529,-0.8548054,"('evil', 'good')",-1.6953802,-1.430081,-1.0767258,-0.88584733,-1.275053,-1.0569112,-0.2181418
48,-0.9925914,-1.2690511,"('unintelligent', 'intelligent')",-0.47469884,-0.67366743,0.2220981,-0.039482385,-0.415064,-0.6607336,0.2456696
77,-0.9925592,-1.1965642,"('unmotivated', 'motivated')",0.04403592,-0.031765696,-1.1096007,-1.0994444,-0.6860414,-0.7759248,0.0898834
20,-0.9730063,-0.6062306,"('rough', 'thoughtful')",0.4708893,0.6369104,0.8460303,1.0652405,0.1146378,0.3653068,-0.250669
69,0.95898455,1.0032103,"('lazy', 'industrious')",-0.23364413,0.028720176,-0.667925,-0.41704172,0.0191385,0.2049629,-0.1858244
27,-0.9396699,-0.70704573,"('hardhearted', 'softhearted')",0.3746352,0.5068013,1.1061642,1.1486487,0.1803765,0.3161348,-0.1357583
44,0.92640835,0.8918797,"('prejudiced', 'unprejudiced')",0.12443968,-0.06853187,-1.3260347,-1.1654736,-0.0917289,-0.1140419,0.022313
23,-0.9007968,-1.1738231,"('insincere', 'sincere')",1.1951783,0.82611597,5.592462,5.2711506,1.9622812,1.6411478,0.3211334
33,0.88373744,0.7823824,"('wrong', 'right')",0.71688664,0.69238484,-0.34956032,-0.2981816,0.4170213,0.3921952,0.0248261
49,-0.82726085,-0.7099433,"('unable', 'able')",0.37832907,0.5431391,-0.24690926,-0.2536023,-0.231947,-0.1401355,-0.0918115
28,-0.81348217,-0.8834878,"('disloyal', 'loyal')",-0.33693385,-0.27809194,0.9476644,0.66963667,-0.0675839,-0.163981,0.0963971
51,-0.8089587,-1.0151134,"('uneducated', 'educated')",-0.06962365,-0.20552453,0.57973814,0.33178112,-0.0996147,-0.2962856,0.1966709
8,-0.79917353,-0.642619,"('unaffectionate', 'affectionate')",-0.3835994,0.03306295,0.5161388,0.72223324,-0.2222114,0.0375591,-0.2597705
78,-0.77519214,-0.92220825,"('nonresilient', 'resilient')",1.0044135,1.0423243,0.5646741,0.30508128,0.2646318,0.1417324,0.1228994
54,-0.76691294,-0.73501813,"('incapable', 'capable')",1.016843,0.96539533,1.1491728,1.37737,0.4663676,0.5359157,-0.0695481
