,patterson_male,patterson_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
36,-3.9767656,-3.1724088,"('hostile', 'amicable')",-3.1979752,-3.5904574,-0.91489714,-1.3011924,-2.6965459,-2.6880194,-0.0085265
60,3.8347805,3.0018387,"('inefficient', 'efficient')",2.354357,2.654635,0.6643268,0.9863005,2.284488,2.214258,0.07023
52,-3.7778044,-3.2969024,"('irrational', 'rational')",-2.0113943,-2.3659964,-0.73507357,-1.0694402,-2.1747575,-2.2441131,0.0693556
56,3.6812496,3.4948592,"('impractical', 'practical')",1.8684661,2.2731366,0.52308375,0.7700132,2.0242666,2.1793364,-0.1550698
31,-3.621153,-2.761863,"('evil', 'good')",-1.5025114,-1.9265752,-1.8618566,-2.3484068,-2.3285069,-2.3456151,0.0171082
85,-3.6089587,-2.9515066,"('insignificant', 'prestigious')",-1.0765253,-1.6872622,-0.30383888,-0.72751236,-1.6631076,-1.7887603,0.1256527
10,3.4944336,2.734178,"('unsympathetic', 'sympathetic')",1.4453003,1.607055,0.9117683,1.0436035,1.9505008,1.7949456,0.1555552
14,3.3810964,2.8207037,"('antisocial', 'social')",1.9088019,2.0584652,-0.57098097,-0.37953258,1.5729725,1.4998789,0.0730936
81,3.3585017,2.482421,"('submissive', 'aggressive')",1.9428194,2.198214,0.45929554,0.7272779,1.9202056,1.8026376,0.117568
55,3.2747886,2.4839494,"('incompetent', 'clever')",2.036249,2.1751542,0.49680334,0.39195925,1.9359469,1.6836875,0.2522594
16,-3.2563088,-3.035583,"('unpopular', 'popular')",-1.1298298,-1.1940048,0.29099238,0.08477469,-1.3650487,-1.3816044,0.0165557
46,3.1116478,2.412138,"('uncompetitive', 'competitive')",2.972855,3.2675188,0.41017017,0.60640323,2.1648911,2.0953534,0.0695377
35,-3.0283837,-2.1575565,"('corrupt', 'incorrupt')",-3.0335922,-3.0880857,-1.2685466,-1.4110434,-2.4435075,-2.2188953,-0.2246122
70,2.9254923,2.3745296,"('lethargic', 'energetic')",1.402783,1.7140822,1.3965038,1.6711524,1.9082597,1.9199212,-0.0116615
6,-2.8953824,-2.2277613,"('distant', 'open')",-2.3054318,-2.4771228,0.10215119,-0.018444963,-1.6995543,-1.574443,-0.1251113
5,-2.758749,-2.1666818,"('distant', 'outgoing')",-1.6465834,-1.8275467,-0.43935722,-0.55487895,-1.6148966,-1.5163692,-0.0985274
21,2.730316,2.1239486,"('immoral', 'moral')",1.2739793,1.3700888,-0.521138,-0.65613484,1.1610525,0.9459675,0.215085
59,-2.6616602,-2.260383,"('foolish', 'wise')",-1.2804884,-1.4445715,-0.30469075,-0.6662476,-1.4156132,-1.4570673,0.0414541
76,2.5185027,1.942154,"('anxious', 'daring')",1.5626028,1.8292184,0.88468814,1.1914072,1.6552645,1.6542598,0.0010047
4,-2.4627838,-2.081069,"('disliked', 'liked')",-0.33979964,-0.47191948,-5.8425703,-5.9189987,-2.881718,-2.8239956,-0.0577224
86,2.405291,1.849329,"('uninfluential', 'influential')",0.9899724,0.97719604,0.7279671,0.55083823,1.3744102,1.1257877,0.2486225
12,2.3753366,2.1302214,"('unsupportive', 'supportive')",1.6350186,1.783218,-0.816249,-0.9207657,1.064702,0.9975579,0.0671441
51,2.3632364,2.0322285,"('uneducated', 'educated')",1.0743003,1.2513986,0.5367553,0.56886506,1.324764,1.284164,0.0406
80,2.3329782,1.7634784,"('dominated', 'dominating')",1.3326242,1.6952145,-0.5248625,-0.42345515,1.0469133,1.0117459,0.0351674
44,-2.2478662,-2.207067,"('prejudiced', 'unprejudiced')",-1.3466028,-1.2435324,-1.5629296,-1.5131712,-1.7191329,-1.6545903,-0.0645426
69,-2.2001185,-1.7836133,"('lazy', 'industrious')",-0.3883883,-0.7259099,-0.8611905,-1.1228139,-1.1498992,-1.210779,0.0608798
62,2.1853817,1.7117372,"('incompetent', 'brilliant')",2.0238175,2.4420843,0.50961787,0.7302882,1.5729389,1.6280365,-0.0550976
