,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,male-female
53,-2.012102,-2.0078604,"('uncreative', 'creative')",0.9238631,0.7387876,-0.5441194,-0.6345364,0.090417
10,-1.8434489,-1.5343655,"('unsympathetic', 'sympathetic')",-0.72784424,-0.4390539,-1.2856466,-0.9867097,-0.2989369
86,-1.6826295,-1.6715226,"('uninfluential', 'influential')",0.33969495,0.28128377,-0.6714672,-0.6951194,0.0236522
77,-1.6774162,-1.3660364,"('unmotivated', 'motivated')",-1.0245869,-0.96745235,-1.3510015,-1.1667444,-0.1842571
1,-1.6633791,-1.7296758,"('unfriendly', 'friendly')",2.4064472,2.370923,0.371534,0.3206236,0.0509104
21,-1.6578579,-1.231645,"('immoral', 'moral')",-1.50288,-1.2134495,-1.580369,-1.2225473,-0.3578217
63,-1.3924962,-1.1829271,"('unperceptive', 'insightful')",0.9947788,1.1410487,-0.1988587,-0.0209392,-0.1779195
48,-1.3818517,-1.2570347,"('unintelligent', 'intelligent')",-0.36988145,-0.2889797,-0.8758665,-0.7730072,-0.1028593
51,-1.3485942,-1.145782,"('uneducated', 'educated')",-0.36810482,-0.29994357,-0.8583495,-0.7228628,-0.1354867
23,-1.2943217,-1.0723387,"('insincere', 'sincere')",3.748319,4.3146534,1.2269986,1.6211574,-0.3941588
69,1.2751068,0.8923692,"('lazy', 'industrious')",0.3862184,0.12391213,0.8306626,0.5081407,0.3225219
11,-1.2421033,-1.0967737,"('unhelpful', 'helpful')",0.6272809,0.88852465,-0.3074112,-0.1041245,-0.2032867
44,1.2360564,1.0992669,"('prejudiced', 'unprejudiced')",-1.6814061,-1.6844286,-0.2226748,-0.2925808,0.069906
13,-1.1963477,-0.7460538,"('impolite', 'polite')",-1.1522768,-0.842877,-1.1743122,-0.7944654,-0.3798468
73,1.0938329,1.0022393,"('helpless', 'self-reliant')",-1.4545968,-1.8277112,-0.180382,-0.4127359,0.2323539
16,-1.0612354,-1.0922956,"('unpopular', 'popular')",-0.45338452,-0.5605786,-0.75731,-0.8264371,0.0691271
0,-1.060571,-0.9178293,"('unsociable', 'sociable')",-0.7167905,-0.55037725,-0.8886807,-0.7341033,-0.1545774
61,-1.0383916,-0.9674826,"('illogical', 'logical')",0.9657716,0.91904545,-0.03631,-0.0242186,-0.0120914
82,-1.0167313,-0.80441,"('poor', 'rich')",3.6846294,4.334021,1.3339491,1.7648056,-0.4308565
19,-0.9919974,-1.0998765,"('inhospitable', 'hospitable')",-0.076856345,-0.2901594,-0.5344269,-0.6950179,0.160591
43,-0.9876702,-0.60540605,"('irresponsible', 'responsible')",0.7149245,1.0141076,-0.1363728,0.2043508,-0.3407236
78,-0.95604765,-0.9112768,"('nonresilient', 'resilient')",0.7770914,0.81454355,-0.0894781,-0.0483666,-0.0411115
24,-0.944652,-0.7828615,"('dishonest', 'honest')",0.37212613,0.4534462,-0.2862629,-0.1647076,-0.1215553
20,-0.9357137,-1.0382495,"('rough', 'thoughtful')",1.0714945,1.0758492,0.0678904,0.0187998,0.0490906
80,0.9288453,0.89698064,"('dominated', 'dominating')",0.13435572,0.13640633,0.5316005,0.5166935,0.014907
46,-0.91009927,-0.6166625,"('uncompetitive', 'competitive')",-0.5888323,-0.35064822,-0.7494658,-0.4836554,-0.2658104
57,-0.8904952,-0.84358263,"('unimaginative', 'imaginative')",-0.84992146,-1.3083279,-0.8702083,-1.0759553,0.205747
55,-0.867473,-0.59370995,"('incompetent', 'clever')",-0.5186226,-0.38984242,-0.6930478,-0.4917762,-0.2012716
37,0.85229445,0.9180876,"('fake', 'genuine')",0.84455633,0.79654294,0.8484254,0.8573153,-0.0088899
27,-0.83205605,-0.83837515,"('hardhearted', 'softhearted')",0.33320642,0.5144454,-0.2494248,-0.1619649,-0.0874599
