,l3_male,l3_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.9952744,-2.0386696,"('unfriendly', 'friendly')",0.046218596,-0.034525283,1.3040576,1.5645092,-0.2149994,-0.1695619,-0.0454375
60,1.7349354,2.056414,"('inefficient', 'efficient')",1.0320667,1.4099202,0.0800507,0.20226277,0.9490176,1.2228657,-0.2738481
36,-1.65027,-1.7112504,"('hostile', 'amicable')",-0.7599381,-0.8225204,0.17038149,0.3370867,-0.7466089,-0.732228,-0.0143809
39,1.5373081,1.5869323,"('exploitative', 'cooperative')",0.7346534,0.7480222,0.2574731,0.34578663,0.8431449,0.8935804,-0.0504355
67,1.4349117,1.5523502,"('doubtful', 'determined')",0.25874665,0.28405583,-0.43698573,-0.4430181,0.4188909,0.4644626,-0.0455717
42,1.3862152,1.1935968,"('unreliable', 'reliable')",-0.9674593,-1.184856,-2.7979305,-2.9761355,-0.7930582,-0.9891316,0.1960734
79,-1.3746935,-1.676087,"('wavering', 'unwavering')",-1.4310735,-1.6569226,-0.23898418,-0.13856503,-1.0149171,-1.1571916,0.1422745
31,-1.3730029,-1.5989765,"('evil', 'good')",-0.38993654,-0.72770905,-1.0883157,-1.1190232,-0.9504184,-1.1485696,0.1981512
26,-1.3408823,-1.3034174,"('hardhearted', 'benevolent')",0.3981669,0.47213355,1.3508778,1.517183,0.1360541,0.228633,-0.0925789
55,1.3258544,1.4756457,"('incompetent', 'clever')",0.292295,0.6115281,0.04840534,-0.01025302,0.5555182,0.6923069,-0.1367887
8,-1.2371844,-1.1735126,"('unaffectionate', 'affectionate')",-0.5114444,-0.4561571,0.35075963,0.24767984,-0.4659564,-0.4606633,-0.0052931
62,1.225861,1.2815349,"('incompetent', 'brilliant')",0.69839555,0.7844027,-0.0060783066,-0.17519134,0.6393927,0.6302487,0.009144
19,-1.1515511,-1.1015768,"('inhospitable', 'hospitable')",-0.8609271,-1.0737407,-0.15863496,0.049789988,-0.7237044,-0.7085092,-0.0151952
56,1.1378238,1.3471619,"('impractical', 'practical')",-0.06571846,0.054012395,-0.30866855,-0.36085162,0.254479,0.3467742,-0.0922952
80,1.1052008,1.0077522,"('dominated', 'dominating')",0.118993185,-0.0525744,-1.0668877,-1.3972516,0.0524354,-0.1473579,0.1997933
25,-1.0870265,-1.1596067,"('egoistic', 'altruistic')",0.34067547,0.3890856,1.2064039,1.2724423,0.1533509,0.1673071,-0.0139562
53,-1.075657,-1.0806638,"('uncreative', 'creative')",0.905065,0.82887995,0.76204133,0.9362214,0.1971498,0.2281459,-0.0309961
5,-0.9708715,-1.089638,"('distant', 'outgoing')",-0.35651648,-0.61715364,-0.18079095,-0.07611838,-0.5027263,-0.5943033,0.091577
88,-0.9550789,-0.750825,"('low', 'eminent')",0.1701218,0.5263881,-0.0914827,0.16219887,-0.2921466,-0.020746,-0.2714006
9,-0.929395,-0.7559869,"('unaffectionate', 'caring')",-0.05092509,-0.060762808,1.1842866,1.1240282,0.0679888,0.1024262,-0.0344374
81,0.90796834,1.1693956,"('submissive', 'aggressive')",0.74024653,0.98506397,-0.41597676,-0.35921288,0.410746,0.5984155,-0.1876695
0,-0.90195894,-0.4759667,"('unsociable', 'sociable')",-0.5863639,-0.27507222,-0.30231184,-0.18463339,-0.5968782,-0.3118908,-0.2849874
28,-0.89324236,-0.6719236,"('disloyal', 'loyal')",-0.23994876,0.012045829,0.7419876,1.0185143,-0.1304012,0.1195455,-0.2499467
70,0.8717589,0.8251689,"('lethargic', 'energetic')",0.22771369,0.18004279,0.7224317,0.63091856,0.6073014,0.5453768,0.0619246
78,-0.8617318,-1.3131387,"('nonresilient', 'resilient')",1.5057675,1.085341,0.3793201,0.4475997,0.3411186,0.0732673,0.2678513
64,0.8466875,0.9397194,"('shy', 'confident')",-0.2382126,-0.25968522,-5.853369,-6.045469,-1.7482982,-1.7884782,0.04018
6,-0.8256745,-1.020555,"('distant', 'open')",-0.60997474,-0.83654755,0.38111246,0.46660537,-0.3515122,-0.4634991,0.1119869
14,0.80377185,1.1566889,"('antisocial', 'social')",0.2632779,0.6029987,-0.7243602,-0.59271705,0.1142298,0.3889902,-0.2747604
