,walgreens_male,walgreens_female,tuple,boots_male,boots_female,alliance_male,alliance_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.3313262,-2.2800395,"('unsympathetic', 'sympathetic')",-0.02932822,-0.16962235,1.396596,1.1884238,0.66154057,0.3057753,-0.0756295,-0.2388657,0.1632362
57,-2.0522094,-2.0691156,"('unimaginative', 'imaginative')",-1.0678698,-1.1799828,-0.58284354,-0.6702842,-2.2270641,-2.5263484,-1.4824967,-1.6114328,0.1289361
69,1.9968079,1.9057884,"('lazy', 'industrious')",0.1368541,0.17475948,-0.040252384,0.04031422,-0.77892905,-0.65037394,0.3286201,0.367622,-0.0390019
48,-1.9432834,-1.9240744,"('unintelligent', 'intelligent')",-0.46376002,-0.53026676,0.56239444,0.45121497,0.80368197,0.6610234,-0.2602418,-0.3355257,0.0752839
81,-1.9304985,-1.907674,"('submissive', 'aggressive')",0.029473387,-0.041455977,1.6637435,1.5081049,-0.8697796,-0.9987147,-0.2767653,-0.3599349,0.0831696
86,-1.7075455,-1.6377164,"('uninfluential', 'influential')",0.50801235,0.379814,0.6788842,0.4553435,0.28285253,0.029516611,-0.0594491,-0.1932606,0.1338115
70,-1.4751384,-1.3660401,"('lethargic', 'energetic')",0.014849044,-0.05063745,2.3045993,2.2023447,0.8555027,0.77417976,0.4249532,0.3899617,0.0349915
55,-1.4499562,-1.4021962,"('incompetent', 'clever')",0.24632324,0.096699074,1.7003591,1.3440762,0.361012,0.0455371,0.2144345,0.0210291,0.1934054
21,-1.4241567,-1.3739493,"('immoral', 'moral')",0.096606016,0.03649501,1.8176432,1.6310577,-0.66383266,-0.82009333,-0.043435,-0.1316225,0.0881875
3,-1.4106338,-1.3045198,"('repellent', 'pleasant')",-1.4512713,-1.4839506,0.48342705,0.37265497,0.115310505,-0.19031456,-0.5657919,-0.6515325,0.0857406
85,1.380043,1.2871454,"('insignificant', 'prestigious')",-0.29599178,-0.395761,-2.3939795,-2.3937707,0.23909082,0.21684322,-0.2677094,-0.3213858,0.0536764
41,-1.3777058,-1.3074982,"('unforgiving', 'forgiving')",0.013871111,0.073673025,0.052309677,0.11242938,-0.1529155,-0.1417735,-0.3661101,-0.3157923,-0.0503178
87,1.3776356,1.2544056,"('unsuccessful', 'successful')",0.55291843,0.25547728,0.47952986,0.4055792,0.5224167,0.2275002,0.7331251,0.5357406,0.1973845
50,1.3656939,1.3972952,"('clumsy', 'skillful')",-0.39423758,-0.31029996,-0.045701806,-0.03443382,0.8535242,0.8834197,0.4448197,0.4839953,-0.0391756
72,-1.326198,-1.3483306,"('unambitious', 'ambitious')",-0.79670465,-0.8443143,0.03672303,-0.030800022,-0.75978744,-0.72063476,-0.7114917,-0.7360199,0.0245282
24,-1.3028822,-1.3659705,"('dishonest', 'honest')",0.7470188,0.6649101,2.1873243,2.092549,1.2058123,1.2524886,0.7093183,0.6609943,0.048324
58,-1.2347401,-1.1798388,"('undiscriminating', 'discriminating')",-0.96902,-0.93512577,-0.13259946,-0.046028998,0.28309122,0.19896534,-0.513317,-0.4905071,-0.0228099
65,-1.2249432,-1.2979203,"('insecure', 'secure')",-0.2868299,-0.3896686,1.9579787,1.7517245,-0.20748305,-0.34649774,0.0596806,-0.0705905,0.1302711
77,-1.2162613,-1.1777297,"('unmotivated', 'motivated')",-0.80456704,-0.9056239,0.5379263,0.39577034,-1.0285857,-1.1205367,-0.6278719,-0.7020299,0.074158
30,-1.2081288,-1.1474586,"('intolerant', 'tolerant')",0.49238858,0.5496562,0.7226024,0.7316134,0.72726566,0.7768198,0.183532,0.2276577,-0.0441257
68,-1.184835,-1.1812109,"('dependent', 'independent')",-1.6482698,-1.590477,0.4118082,0.4023451,-0.4916276,-0.54054797,-0.728231,-0.7274727,-0.0007583
14,-1.09271,-0.9082839,"('antisocial', 'social')",0.89580864,0.9743532,1.8361884,1.7217723,-0.8569772,-1.092069,0.1955774,0.1739431,0.0216343
35,1.0890825,0.93857133,"('corrupt', 'incorrupt')",-0.67422163,-0.45769966,-1.5508357,-1.2785339,-0.36223733,-0.1513302,-0.3745531,-0.2372481,-0.137305
23,-1.0617332,-1.1400911,"('insincere', 'sincere')",0.5549739,0.44759497,1.3598654,1.1353891,5.86141,5.6823773,1.678629,1.5313176,0.1473114
18,-1.0586516,-1.1055841,"('disagreeable', 'welcoming')",-1.5427388,-1.5177542,-0.7344944,-0.7114194,-0.42610738,-0.40210912,-0.9404981,-0.9342167,-0.0062814
22,-1.0199742,-0.9981895,"('untrustworthy', 'trustworthy')",-0.78510684,-0.9035763,2.0013306,1.8751433,-1.0230367,-1.0010813,-0.2066968,-0.256926,0.0502292
88,-0.9889108,-0.9513063,"('low', 'eminent')",-0.039887767,-0.02340002,0.26273042,0.17120913,0.871261,0.8312112,0.0262982,0.0069285,0.0193697
73,0.9719257,1.0144761,"('helpless', 'self-reliant')",0.14826831,0.08569277,-0.98879147,-0.8159641,-3.4512224,-3.3066716,-0.829955,-0.7556167,-0.0743383
59,0.94194454,0.9180809,"('foolish', 'wise')",-0.037987705,0.022382826,-0.44361192,-0.41581538,0.45823407,0.56063366,0.2296447,0.2713205,-0.0416758
7,-0.9226792,-0.8484884,"('insensitive', 'sensitive')",0.1031394,0.17678802,1.4609058,1.3537878,0.630772,0.5157337,0.3180345,0.2994553,0.0185792
43,-0.9206733,-0.9998176,"('irresponsible', 'responsible')",1.0714666,0.8287633,1.4140888,1.2576807,1.311068,1.156285,0.7189875,0.5607278,0.1582597
71,0.9118198,0.99604774,"('diffident', 'self-confident')",2.0729682,2.1006987,1.2016631,1.1951196,0.5661146,0.4672245,1.1881413,1.1897727,-0.0016314
45,-0.8981501,-0.7044676,"('incompetent', 'competent')",0.6203159,0.6329652,1.5268825,1.4305912,0.10224894,-0.09108139,0.3378243,0.3170019,0.0208224
27,-0.87036866,-1.0837677,"('hardhearted', 'softhearted')",0.08778522,-0.21954826,0.78157806,0.8207147,1.4589738,1.4030094,0.3644921,0.2301021,0.13439
63,-0.84661233,-0.72799385,"('unperceptive', 'insightful')",0.5431796,0.4811535,1.6688066,1.554022,1.4921381,1.4547837,0.714378,0.6904913,0.0238867
36,0.8413864,0.7003067,"('hostile', 'amicable')",-0.11462433,-0.10314505,-1.09958,-1.0524508,-0.16709602,-0.2638234,-0.1349785,-0.1797781,0.0447996
11,-0.82628846,-0.75090593,"('unhelpful', 'helpful')",0.7361315,0.6098915,1.6482923,1.5789832,2.8953447,2.8703835,1.1133699,1.0770881,0.0362818
53,-0.8248056,-0.78213817,"('uncreative', 'creative')",-0.26946604,-0.32348013,-1.5655006,-1.5101025,1.2582093,1.132993,-0.3503908,-0.3706819,0.0202911
28,-0.8215133,-0.73448336,"('disloyal', 'loyal')",1.1890601,1.3688617,1.064167,0.99969286,1.4099649,1.4638543,0.7104197,0.7744814,-0.0640617
62,-0.8198942,-0.7612532,"('incompetent', 'brilliant')",0.33140123,0.1637959,0.8477307,0.68573844,0.46009085,0.44810864,0.2048321,0.1340975,0.0707346
79,0.7512789,0.71920633,"('wavering', 'unwavering')",-0.5531948,-0.36644176,-1.485495,-1.3903838,-0.19085225,-0.113606,-0.3695658,-0.2878063,-0.0817595
40,-0.72828984,-0.6533633,"('stingy', 'generous')",-0.55901396,-0.5068619,-0.29515406,-0.2990055,-1.3600737,-1.5213413,-0.7356329,-0.745143,0.0095101
1,-0.71219784,-0.79171455,"('unfriendly', 'friendly')",1.1305926,0.99467987,0.034366958,-0.015960146,2.1785028,2.1333745,0.6578161,0.5800949,0.0777212
5,0.70453644,0.6663675,"('distant', 'outgoing')",0.3678502,0.26842985,-1.4529071,-1.3343433,-0.17701167,0.07363716,-0.139383,-0.0814772,-0.0579058
4,0.7003728,0.7635362,"('disliked', 'liked')",-0.053578705,-0.08562689,-1.1508614,-1.0917687,-5.756744,-5.7275043,-1.5652028,-1.5353409,-0.0298619
67,0.6930641,0.93613434,"('doubtful', 'determined')",0.52262115,0.7812511,1.3892714,1.6041473,-0.5647569,-0.29870346,0.5100499,0.7557073,-0.2456574
47,0.68852866,0.6974856,"('stupid', 'smart')",1.7917731,1.7940962,1.2140005,1.1762873,4.9962916,5.061977,2.1726484,2.1824615,-0.0098131
16,0.6878242,0.68019015,"('unpopular', 'popular')",-1.0964335,-1.0627881,-1.7587336,-1.7431157,0.33888942,0.15605149,-0.4571134,-0.4924155,0.0353021
0,-0.6745068,-0.68223983,"('unsociable', 'sociable')",0.943318,0.76366454,1.9307661,1.651934,0.022622537,-0.26907432,0.55555,0.3660711,0.1894789
6,0.6314013,0.50022066,"('distant', 'open')",-0.08070698,-0.28762484,-1.093794,-1.0296263,0.39108086,0.5481782,-0.0380047,-0.0672131,0.0292084
33,0.6008495,0.54775333,"('wrong', 'right')",0.51701957,0.4859204,-0.6189455,-0.46043664,-0.75995773,-0.65468466,-0.0652585,-0.0203619,-0.0448966
13,-0.5945098,-0.6025587,"('impolite', 'polite')",0.55466557,0.56143177,1.4545751,1.3421936,0.024378844,-0.010894705,0.3597774,0.322543,0.0372344
61,-0.58759445,-0.50843364,"('illogical', 'logical')",0.40937623,0.24990492,0.62286866,0.5135116,0.31029034,0.18969579,0.1887352,0.1111697,0.0775655
42,0.57230246,0.6191361,"('unreliable', 'reliable')",-0.078566924,-0.24912126,1.0609865,0.9889428,-2.3892155,-2.333987,-0.2086233,-0.2437573,0.035134
46,-0.5556531,-0.46106824,"('uncompetitive', 'competitive')",0.058192708,-0.045458056,1.8978541,1.6662046,0.19234526,-0.09812744,0.3981847,0.2653877,0.132797
39,0.54854006,0.4189537,"('exploitative', 'cooperative')",1.4810615,1.2538697,2.5515356,2.437978,0.088642426,0.03510294,1.1674449,1.036476,0.1309689
60,-0.54670596,-0.52309674,"('inefficient', 'efficient')",1.5374355,1.3950057,3.1475127,2.963586,0.6100583,0.5970334,1.1870751,1.1081321,0.078943
76,-0.510113,-0.48676062,"('anxious', 'daring')",0.47305095,0.44659123,0.8464924,0.8177363,0.49653605,0.3596715,0.3264916,0.2843096,0.042182
64,-0.4976771,-0.5752576,"('shy', 'confident')",-0.9789432,-1.0490632,1.1154536,1.0420003,-6.0270767,-6.0308423,-1.5970609,-1.6532907,0.0562298
9,-0.4750733,-0.5876243,"('unaffectionate', 'caring')",1.1515471,0.9985197,0.046113,0.030574713,1.3896154,1.4379104,0.5280505,0.4698451,0.0582054
19,0.46830562,0.46692318,"('inhospitable', 'hospitable')",-1.1668518,-1.1879158,-1.5658116,-1.4320214,-0.12569916,0.0064637335,-0.5975143,-0.5366375,-0.0608768
51,-0.43389457,-0.34257212,"('uneducated', 'educated')",-0.057832584,-0.030051105,1.1019853,0.9171665,0.79492635,0.56161594,0.3512961,0.2765398,0.0747563
38,-0.43318078,-0.4115318,"('untruthful', 'truthful')",0.08917543,0.2547603,-0.12301599,-0.061661735,0.6711232,0.7814937,0.0510255,0.1407651,-0.0897396
8,-0.3995663,-0.5620839,"('unaffectionate', 'affectionate')",0.5084648,0.463793,-0.8660476,-0.8981296,0.63328284,0.6951623,-0.0309666,-0.0753146,0.044348
66,0.39928907,0.24986362,"('inactive', 'active')",-0.5783585,-0.6662818,0.22135119,0.10713013,0.71184534,0.52541625,0.1885318,0.0540321,0.1344997
52,0.37086126,0.25844678,"('irrational', 'rational')",-0.8116797,-0.8249087,-1.694142,-1.771144,-0.164093,-0.28229764,-0.5747634,-0.6549759,0.0802125
82,-0.35171574,-0.27347335,"('poor', 'rich')",0.038696606,0.050053056,0.3698576,0.34963492,5.929531,5.8645043,1.4965924,1.4976797,-0.0010873
34,0.34843558,0.33713153,"('mean', 'honorable')",0.24991126,0.21580131,1.5024731,1.4830105,5.637698,5.5742702,1.9346296,1.9025534,0.0320762
56,-0.34790584,-0.14431658,"('impractical', 'practical')",1.9158455,2.006446,1.4896643,1.5810025,0.1121091,0.20377165,0.7924283,0.9117259,-0.1192976
44,0.34184992,0.1674496,"('prejudiced', 'unprejudiced')",-0.863491,-0.9433192,-0.53685737,-0.4716941,-1.8145832,-1.8053031,-0.7182704,-0.7632167,0.0449463
26,-0.32453474,-0.38886034,"('hardhearted', 'benevolent')",1.4233038,1.3027353,1.1000656,1.1105356,1.9016278,1.7554283,1.0251156,0.9449598,0.0801558
83,0.31640202,0.37979817,"('powerless', 'powerful')",0.65790844,0.5740262,-0.20130184,-0.26180223,-0.71534216,-0.70824593,0.0144166,-0.0040559,0.0184725
32,-0.29371998,-0.32165152,"('unkind', 'kind')",1.3853453,1.2927063,1.2344126,1.0984565,1.6092834,1.5760976,0.9838303,0.9114022,0.0724281
