,pitney_male,pitney_female,tuple,bowes_male,bowes_female,inc_male,inc_female,average_male,average_female,male-female
69,2.3226628,2.4972024,"('lazy', 'industrious')",0.83961326,0.78838044,-0.5374161,-0.6138272,0.8749533,0.8905852,-0.0156319
10,-2.227866,-2.5720596,"('unsympathetic', 'sympathetic')",-1.5329373,-1.6749986,-0.31430224,-0.16194843,-1.3583686,-1.4696689,0.1113003
86,-1.825829,-1.9680048,"('uninfluential', 'influential')",-1.4918094,-1.6112906,-0.17959929,-0.2488357,-1.1657459,-1.2760437,0.1102978
43,-1.6727269,-1.6733388,"('irresponsible', 'responsible')",-0.64796245,-0.80735254,0.46826592,0.68715644,-0.6174744,-0.597845,-0.0196294
21,-1.6295578,-1.5962456,"('immoral', 'moral')",-0.33026358,-0.17954895,-1.0741729,-0.9636776,-1.0113314,-0.9131574,-0.098174
35,1.4979374,1.5407267,"('corrupt', 'incorrupt')",0.51373464,0.5581523,-0.14925985,-0.38540155,0.6208041,0.5711591,0.049645
57,-1.484278,-1.5997841,"('unimaginative', 'imaginative')",-1.2963481,-1.3023485,-2.3493862,-2.3029294,-1.7100042,-1.7350206,0.0250164
65,-1.455215,-1.811445,"('insecure', 'secure')",-0.08210168,-0.47601354,-0.53052115,-0.40484026,-0.6892792,-0.8974329,0.2081537
1,-1.4467674,-1.222783,"('unfriendly', 'friendly')",-1.3338169,-1.1420704,2.0681057,2.0094323,-0.2374929,-0.1184737,-0.1190192
46,-1.4160563,-1.5434276,"('uncompetitive', 'competitive')",-0.95264006,-1.0910479,-0.35679308,-0.3090558,-0.9084965,-0.9811771,0.0726806
48,-1.3539655,-1.472692,"('unintelligent', 'intelligent')",-1.2280656,-1.262222,0.38716966,0.53136414,-0.7316206,-0.7345166,0.002896
3,-1.3277415,-1.2685581,"('repellent', 'pleasant')",-1.3109157,-0.9750209,-0.1763605,-0.124767825,-0.9383392,-0.7894489,-0.1488903
63,-1.3032146,-1.2062919,"('unperceptive', 'insightful')",-0.6547829,-0.6763011,1.2886122,1.3694456,-0.2231284,-0.1710492,-0.0520792
