,apollo_male,apollo_female,tuple,education_male,education_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
48,2.004844,2.1309736,"('unintelligent', 'intelligent')",0.56866217,0.72362024,-0.1873799,-0.3275115,0.2506803,0.052475803,0.6592016,0.6448895,0.0143121
6,-1.5154352,-1.9084865,"('distant', 'open')",-0.3443693,-0.6880748,-2.005083,-2.3399432,0.19402719,0.09358311,-0.9177151,-1.2107303,0.2930152
26,1.3667238,1.042394,"('hardhearted', 'benevolent')",1.285086,1.0545906,1.1136904,1.0705783,1.9206165,1.6186455,1.4215292,1.1965522,0.224977
72,1.350505,1.6034465,"('unambitious', 'ambitious')",0.5286031,0.72043437,0.3960943,0.4084968,-0.910766,-0.6772269,0.3411091,0.5137877,-0.1726786
44,-1.3060293,-0.7685912,"('prejudiced', 'unprejudiced')",-0.35785836,-0.15767452,-0.7724266,-0.29572803,-1.6133773,-1.2213174,-1.0124229,-0.6108278,-0.4015951
5,-1.2720485,-1.5286323,"('distant', 'outgoing')",-0.27449962,-0.31824243,-1.6435883,-1.8020055,-0.46315193,-0.31472337,-0.9133221,-0.9909009,0.0775788
16,-1.2503796,-1.3322715,"('unpopular', 'popular')",-0.51698416,-0.48491943,-0.3321486,-0.29576367,0.21243314,0.2092152,-0.4717698,-0.4759349,0.0041651
47,-1.1789452,-1.103007,"('stupid', 'smart')",1.0864353,1.3381456,0.86951566,1.1484935,5.0922723,5.567672,1.4673195,1.737826,-0.2705065
12,1.1732452,1.114661,"('unsupportive', 'supportive')",1.5510612,1.7990404,1.3217249,1.2149657,-1.5169555,-1.5503201,0.6322689,0.6445868,-0.0123179
19,-1.1524807,-1.490284,"('inhospitable', 'hospitable')",0.2620441,0.030333329,-1.0262647,-1.3675439,-0.054633617,-0.13347185,-0.4928337,-0.7402416,0.2474079
69,-1.1006937,-1.1688514,"('lazy', 'industrious')",0.062145494,0.13541779,0.12425828,0.20876762,-0.72899646,-0.75902003,-0.4108216,-0.3959215,-0.0149001
62,1.0717236,1.3701228,"('incompetent', 'brilliant')",1.9517584,2.4544163,0.22384399,0.7544311,-0.48126045,0.14714538,0.6915163,1.1815289,-0.4900126
39,1.0460368,1.2087077,"('exploitative', 'cooperative')",0.23298132,0.21678598,1.9839308,2.0445921,0.25740618,0.57882875,0.8800888,1.0122286,-0.1321398
17,-1.0032111,-1.3139809,"('nasty', 'nice')",-0.14492309,-0.004086703,-0.8957472,-0.9603685,-0.644529,-0.56988037,-0.6721026,-0.7120792,0.0399766
36,-0.9350177,-1.3041954,"('hostile', 'amicable')",-1.4042627,-1.8228655,-1.3663173,-1.7976162,0.6344519,0.042484663,-0.7677864,-1.220548,0.4527616
