,reynolds_male,reynolds_female,tuple,american_male,american_female,inc_male,inc_female,average_male,average_female,male-female
73,2.0575416,2.0026908,"('helpless', 'self-reliant')",1.111842,1.1392624,-2.6552129,-2.3218594,0.1713902,0.2733646,-0.1019744
82,-1.9317497,-1.8414782,"('poor', 'rich')",-0.8174169,-0.46787322,5.57722,5.672143,0.9426845,1.1209305,-0.178246
71,1.9194996,1.5091505,"('diffident', 'self-confident')",1.0946051,0.9724095,0.66369545,0.725796,1.2259334,1.0691187,0.1568147
22,-1.9183515,-1.559534,"('untrustworthy', 'trustworthy')",-0.93693113,-0.59954643,-1.6085722,-1.6327623,-1.4879516,-1.2639476,-0.224004
45,-1.8703854,-1.328438,"('incompetent', 'competent')",-0.87513006,-0.34564322,-0.6047953,-0.5596839,-1.1167702,-0.7445884,-0.3721818
85,1.8326383,1.2558526,"('insignificant', 'prestigious')",-0.4079209,-0.93615204,1.0265521,1.0812951,0.8170899,0.4669986,0.3500913
68,-1.7446333,-2.1005397,"('dependent', 'independent')",-0.07784619,-0.35749018,-0.93224096,-1.2469419,-0.9182401,-1.2349906,0.3167505
29,-1.6724362,-1.6491945,"('unfair', 'fair')",-1.6837047,-1.6912433,-1.0125377,-1.0864896,-1.4562263,-1.4756425,0.0194162
33,1.6119447,1.3718538,"('wrong', 'right')",0.79524416,0.5114498,-0.5375823,-0.42849946,0.6232022,0.4849347,0.1382675
51,-1.5809084,-1.6747895,"('uneducated', 'educated')",0.2337648,0.2608623,0.021550186,-0.43631825,-0.4418645,-0.6167485,0.174884
74,1.5691833,1.4608428,"('undedicated', 'dedicated')",0.7121588,0.5758606,0.62896395,0.34294894,0.970102,0.7932175,0.1768845
14,-1.5329037,-1.4030743,"('antisocial', 'social')",-0.5626521,-0.262258,-1.2420456,-1.3545381,-1.1125338,-1.0066234,-0.1059104
80,-1.4221345,-1.1946877,"('dominated', 'dominating')",-0.31967297,-0.08808242,-1.2562237,-1.3095545,-0.9993437,-0.8641082,-0.1352355
9,1.4062829,1.2842038,"('unaffectionate', 'caring')",-0.39829424,-0.36874774,0.8270844,1.085293,0.611691,0.6669164,-0.0552254
86,-1.34089,-1.4393829,"('uninfluential', 'influential')",-0.6962182,-0.57563543,-0.55732113,-0.86567307,-0.8648098,-0.9602305,0.0954207
1,1.2957222,1.0684772,"('unfriendly', 'friendly')",-0.818385,-0.9638908,1.8630204,1.7971456,0.7801193,0.6339107,0.1462086
26,1.2362818,1.1674656,"('hardhearted', 'benevolent')",0.16922194,0.32514986,1.6536573,1.6704155,1.0197204,1.0543437,-0.0346233
55,-1.2194871,-1.2223667,"('incompetent', 'clever')",-0.8281434,-0.5176671,-0.2984949,-0.553742,-0.7820418,-0.7645919,-0.0174499
2,1.1719998,0.91208076,"('unlikable', 'likable')",0.48422477,0.3357421,0.75735223,0.7403012,0.8045256,0.662708,0.1418176
63,-1.153686,-1.1918765,"('unperceptive', 'insightful')",-0.10320164,0.057380505,0.73533237,0.68482465,-0.1738518,-0.1498904,-0.0239614
69,1.1235939,0.9284699,"('lazy', 'industrious')",1.514914,1.3349937,-0.1867267,0.17971204,0.8172603,0.8143919,0.0028684
84,1.109529,0.93027115,"('inferior', 'superior')",0.9143506,0.6855961,0.9962365,0.9437856,1.0067054,0.8532176,0.1534878
12,1.0576258,0.9438114,"('unsupportive', 'supportive')",0.10221529,0.25715405,-1.6068004,-1.5182707,-0.1489865,-0.1057684,-0.0432181
81,-0.987898,-1.1934658,"('submissive', 'aggressive')",0.60597247,0.8042543,-0.8073087,-1.0613776,-0.3964114,-0.4835297,0.0871183
21,-0.9732188,-0.8507654,"('immoral', 'moral')",-0.27990687,-0.13088651,-1.3032123,-1.5061922,-0.8521126,-0.8292813,-0.0228313
65,-0.9233905,-1.2375191,"('insecure', 'secure')",-0.18035403,-0.09842801,-0.7850952,-1.0853457,-0.6296132,-0.8070976,0.1774844
18,-0.89690304,-1.0506227,"('disagreeable', 'welcoming')",-0.0023691878,0.09235948,-0.71135306,-0.65383327,-0.5368751,-0.5373655,0.0004904
76,-0.8827908,-0.7732024,"('anxious', 'daring')",-0.14311884,0.09569936,0.13437742,0.033794478,-0.2971774,-0.2145695,-0.0826079
53,0.85967505,0.587386,"('uncreative', 'creative')",-0.8727299,-0.99406064,0.8392148,0.63917685,0.2753867,0.0775007,0.197886
24,-0.8008318,-0.58846104,"('dishonest', 'honest')",-0.49168438,-0.2595293,0.2523306,0.15242392,-0.3467286,-0.2318555,-0.1148731
44,-0.7861322,-0.50525457,"('prejudiced', 'unprejudiced')",-0.040158432,0.22168982,-1.158754,-0.8173116,-0.6616816,-0.3669588,-0.2947228
11,-0.76160955,-0.7317996,"('unhelpful', 'helpful')",-0.2253528,0.11434889,1.490244,1.5101937,0.1677606,0.297581,-0.1298204
49,-0.7400695,-0.6188458,"('unable', 'able')",-0.8134304,-0.6779232,-0.7642839,-0.4416179,-0.7725946,-0.5794623,-0.1931323
62,-0.7155272,-0.32260585,"('incompetent', 'brilliant')",-0.6589025,-0.100407586,-0.063526556,0.18667144,-0.4793187,-0.0787807,-0.400538
47,-0.6994148,-0.7993476,"('stupid', 'smart')",-0.802078,-0.5733663,4.9704514,5.0517445,1.1563195,1.2263436,-0.0700241
25,0.6916983,0.19561194,"('egoistic', 'altruistic')",0.029487351,-0.29826206,1.5452833,1.4272959,0.7554897,0.4415486,0.3139411
40,0.681907,0.785364,"('stingy', 'generous')",0.03957601,0.19938038,-1.3968242,-1.4376715,-0.2251137,-0.1509757,-0.074138
58,0.65653634,0.715469,"('undiscriminating', 'discriminating')",0.31548,0.24388397,0.2931636,0.0584333,0.4217266,0.3392621,0.0824645
8,0.63823056,0.44270167,"('unaffectionate', 'affectionate')",-0.79498595,-0.76584333,0.6348689,0.95324415,0.1593712,0.2100342,-0.050663
41,-0.62260836,-0.25281173,"('unforgiving', 'forgiving')",-0.61685526,-0.404855,-0.5061946,-0.61078435,-0.5818861,-0.422817,-0.1590691
70,-0.6172019,-0.3255852,"('lethargic', 'energetic')",0.1597734,0.57590574,0.37403527,0.45271698,-0.0277977,0.2343458,-0.2621435
57,-0.6048254,-0.53368247,"('unimaginative', 'imaginative')",-0.9795927,-0.8418919,-2.455808,-2.5772848,-1.346742,-1.3176197,-0.0291223
36,0.5822843,0.068933144,"('hostile', 'amicable')",0.07643023,-0.5702423,0.43509695,0.18825401,0.3646038,-0.1043517,0.4689555
83,0.5788972,0.29354966,"('powerless', 'powerful')",-0.28632247,-0.40840185,-0.8111344,-0.85980815,-0.1728532,-0.3248868,0.1520336
42,-0.54101443,-0.7153689,"('unreliable', 'reliable')",0.107852235,0.18098706,-2.8427057,-2.8542435,-1.091956,-1.1295418,0.0375858
60,-0.5183852,-0.42319775,"('inefficient', 'efficient')",-0.101512305,0.3192808,-0.46156907,-0.5279847,-0.3604889,-0.2106339,-0.149855
3,-0.49183193,-0.19301905,"('repellent', 'pleasant')",-0.65645254,-0.5973622,-0.13027468,-0.13797857,-0.4261864,-0.3094533,-0.1167331
17,0.47165757,0.38799632,"('nasty', 'nice')",-0.70296407,-0.63005817,-0.9410595,-0.8478221,-0.3907887,-0.3632947,-0.027494
35,-0.43731758,-0.55147374,"('corrupt', 'incorrupt')",0.3898642,-0.014130119,0.079392895,0.15920219,0.0106465,-0.1354672,0.1461137
46,-0.42813337,-0.29776543,"('uncompetitive', 'competitive')",-0.04566954,0.20707431,-0.4248371,-0.77766895,-0.2995467,-0.2894533,-0.0100934
13,0.41447383,0.3355028,"('impolite', 'polite')",-0.19258952,0.08834007,-0.82147306,-1.0306389,-0.1998629,-0.2022653,0.0024024
39,0.4086451,0.53613955,"('exploitative', 'cooperative')",0.67036957,0.8693681,-0.24258573,-0.20733713,0.2788096,0.3993901,-0.1205805
37,0.34375006,0.63052726,"('fake', 'genuine')",-0.6722887,-0.50797844,0.17173761,0.42269415,-0.052267,0.1817477,-0.2340147
50,-0.33057037,-0.48736596,"('clumsy', 'skillful')",0.9017146,0.95526564,0.76539004,0.9777958,0.4455114,0.4818985,-0.0363871
61,-0.32156223,-0.52630925,"('illogical', 'logical')",-0.38563073,-0.5274663,-0.026787363,-0.33345017,-0.2446601,-0.4624086,0.2177485
23,-0.28487948,-0.15111786,"('insincere', 'sincere')",-0.72462815,-0.48868498,5.0432105,4.9801064,1.3445676,1.4467678,-0.1022002
67,0.26396948,0.026864521,"('doubtful', 'determined')",0.8999872,0.6493849,-0.63935256,-0.73790663,0.174868,-0.0205524,0.1954204
30,0.25664598,0.4113767,"('intolerant', 'tolerant')",-0.25183597,-0.15310803,0.6658534,0.5509537,0.2235545,0.2697408,-0.0461863
31,-0.2504021,-0.17119145,"('evil', 'good')",-0.28993577,-0.49267504,-0.9584855,-0.87781084,-0.4996078,-0.5138925,0.0142847
88,-0.24122229,-0.56494206,"('low', 'eminent')",0.058098365,-0.077584505,0.36289263,0.2372163,0.0599229,-0.1351034,0.1950263
72,-0.23516248,-0.09176203,"('unambitious', 'ambitious')",-0.61693543,-0.30019733,-1.1164536,-0.84399974,-0.6561839,-0.4119864,-0.2441975
34,-0.23318245,-0.21789631,"('mean', 'honorable')",0.0753492,0.2015655,5.514579,5.581724,1.7855819,1.8551311,-0.0695492
20,-0.22242562,-0.051270537,"('rough', 'thoughtful')",-0.14621195,0.053115577,1.0480055,1.0639617,0.226456,0.3552689,-0.1288129
52,-0.21723147,-0.53318083,"('irrational', 'rational')",-0.5671656,-0.8071567,0.2193758,0.12746307,-0.1883404,-0.4042915,0.2159511
5,0.2124094,0.086229414,"('distant', 'outgoing')",0.02155599,-0.0920562,-0.12378997,0.17369294,0.0367251,0.0559554,-0.0192303
7,0.20763779,0.25003895,"('insensitive', 'sensitive')",-0.3224311,-0.12372408,0.42714354,0.369203,0.1041167,0.1651726,-0.0610559
32,-0.19549209,-0.42128125,"('unkind', 'kind')",-1.0401187,-0.9467511,0.37885702,0.25996733,-0.2855846,-0.369355,0.0837704
77,0.1882956,-0.03945337,"('unmotivated', 'motivated')",-0.5739241,-0.72347325,-1.2631897,-1.3711723,-0.5496061,-0.7113663,0.1617602
56,-0.18033677,-0.110944584,"('impractical', 'practical')",0.2957841,0.5671154,-0.4948099,-0.5112124,-0.1264542,-0.0183472,-0.108107
4,-0.17979968,-0.15481128,"('disliked', 'liked')",-0.19025809,-0.28399143,-5.8251843,-5.856719,-2.0650806,-2.0985072,0.0334266
87,-0.16462125,-0.3645504,"('unsuccessful', 'successful')",0.8485959,0.8768949,1.0436845,0.9839371,0.5758864,0.4987605,0.0771259
78,0.15679874,0.037044987,"('nonresilient', 'resilient')",0.018902794,0.18938267,0.66752964,0.7755419,0.2810771,0.3339899,-0.0529128
66,-0.14503495,-0.33258244,"('inactive', 'active')",1.3328558,1.092288,1.2931435,1.2961355,0.8269881,0.6852803,0.1417078
64,0.1402876,-0.034335464,"('shy', 'confident')",0.41472834,0.4191444,-6.0715923,-6.2576995,-1.8388588,-1.9576302,0.1187714
19,-0.13541193,-0.089788504,"('inhospitable', 'hospitable')",0.10275151,-0.05795949,-0.16460317,0.041478615,-0.0657545,-0.0354231,-0.0303314
28,-0.13361335,-0.116195895,"('disloyal', 'loyal')",-0.18507029,-0.14940234,0.6423401,0.56267446,0.1078855,0.0990254,0.0088601
43,0.13273606,0.2074472,"('irresponsible', 'responsible')",-0.07820473,0.18575317,0.31826904,0.33844632,0.1242668,0.2438822,-0.1196154
