,bristol_male,bristol_female,tuple,myers_male,myers_female,squibb_male,squibb_female,co_male,co_female,average_male,average_female,male-female
87,2.1302571,1.8150827,"('unsuccessful', 'successful')",1.0208123,0.8189141,0.42386872,0.31359702,0.49121284,0.51400495,1.0165377,0.8653997,0.151138
25,-1.8029644,-1.828626,"('egoistic', 'altruistic')",0.14743473,0.075426355,0.20323512,0.12623452,1.2668612,1.0933489,-0.0463583,-0.1334041,0.0870458
35,-1.5592656,-1.7528763,"('corrupt', 'incorrupt')",-0.16959181,-0.37638026,1.912304,1.6951257,-0.8468786,-0.99137914,-0.165858,-0.3563775,0.1905195
6,-1.544729,-1.592636,"('distant', 'open')",0.12809315,-0.004422426,0.67751455,0.61529,-0.043943785,-0.06716581,-0.1957663,-0.2622336,0.0664673
51,1.3774843,1.476866,"('uneducated', 'educated')",-0.06974621,0.28688058,-1.2865103,-1.0970098,0.2248757,0.4305668,0.0615259,0.2743259,-0.2128
46,1.34544,1.2919927,"('uncompetitive', 'competitive')",0.1052882,0.044246987,-1.7056829,-1.5057633,-0.53519523,-0.47076464,-0.1975375,-0.1600721,-0.0374654
58,1.2534745,1.2509902,"('undiscriminating', 'discriminating')",-0.12116431,-0.04818976,-1.2823972,-1.1456307,0.14844559,0.10748653,-0.0004104,0.0411641,-0.0415745
79,-1.2503955,-1.3588115,"('wavering', 'unwavering')",-0.2899735,-0.33621,0.3447921,0.26189023,-0.421971,-0.40824878,-0.404387,-0.460345,0.055958
8,-1.2308366,-1.4125828,"('unaffectionate', 'affectionate')",-0.19073313,-0.47627303,-1.9735171,-2.0196347,0.9424106,0.778026,-0.6131691,-0.7826161,0.169447
31,-1.2113546,-1.218021,"('evil', 'good')",-0.060353056,-0.0102235265,0.25114232,0.23364373,-0.92543525,-1.0336387,-0.4865001,-0.5070599,0.0205598
74,1.1864514,1.1291949,"('undedicated', 'dedicated')",0.41809192,0.47632873,-0.2073337,-0.06892464,0.18042845,0.2682051,0.3944095,0.451201,-0.0567915
5,-1.1635554,-1.2932627,"('distant', 'outgoing')",0.31981874,0.20253521,1.0504441,0.9943436,-0.1634908,-0.15207183,0.0108042,-0.062114,0.0729182
23,1.1396008,0.8516425,"('insincere', 'sincere')",0.6569946,0.45805022,-1.3831643,-1.3329633,6.5229764,6.4530344,1.7341019,1.6074409,0.126661
62,1.1227746,1.215174,"('incompetent', 'brilliant')",-0.238253,-0.13574839,-1.1129458,-0.9207923,0.02996582,0.43756422,-0.0496146,0.1490494,-0.198664
73,1.111675,1.0574287,"('helpless', 'self-reliant')",0.42916244,0.35127616,0.49057552,0.470326,-3.5190747,-3.610352,-0.3719154,-0.4328303,0.0609149
80,1.0912836,1.2177464,"('dominated', 'dominating')",-0.828055,-0.64697826,-0.11782446,0.020999812,-1.0175369,-0.6946315,-0.2180332,-0.0257159,-0.1923173
28,-1.0638739,-1.3345572,"('disloyal', 'loyal')",-0.63516355,-0.7994479,-1.471913,-1.398425,0.9985752,0.7592224,-0.5430938,-0.6933019,0.1502081
47,1.0550117,0.95096064,"('stupid', 'smart')",0.16657878,0.121046364,-0.15621065,-0.17212807,5.2272286,5.2692056,1.5731521,1.5422711,0.030881
36,-1.0159817,-1.278414,"('hostile', 'amicable')",0.28211644,0.05175846,0.3600398,0.1960913,-0.33832076,-0.60048974,-0.1780366,-0.4077635,0.2297269
11,0.97481453,0.7794072,"('unhelpful', 'helpful')",0.6146895,0.41679245,-1.2856579,-1.2046769,1.9820312,1.9152803,0.5714693,0.4767008,0.0947685
56,0.9729639,1.0577134,"('impractical', 'practical')",-0.06627594,-0.028020207,-0.74640316,-0.57022166,-0.48847306,-0.2778794,-0.0820471,0.045398,-0.1274451
65,0.9716696,0.7714456,"('insecure', 'secure')",-0.5130052,-0.5330191,-0.7097332,-0.7120658,0.21801195,0.3376352,-0.0082642,-0.034001,0.0257368
60,0.94836754,1.0524877,"('inefficient', 'efficient')",0.2706091,0.36939391,-1.3535178,-1.1766878,0.28685203,0.59611493,0.0380777,0.2103272,-0.1722495
69,-0.9071782,-0.9565469,"('lazy', 'industrious')",1.045016,0.9806696,1.659801,1.5306777,-1.3628765,-1.41403,0.1086906,0.0351926,0.073498
3,-0.89602035,-0.74772453,"('repellent', 'pleasant')",-1.3838892,-1.2205328,-1.4661989,-1.3169118,0.763281,0.7708894,-0.7457069,-0.62857,-0.1171369
18,-0.88478714,-0.9934771,"('disagreeable', 'welcoming')",0.41901553,0.45232534,-0.9811359,-0.9044611,-0.75320846,-0.60521185,-0.550029,-0.5127062,-0.0373228
55,0.8847415,1.1344149,"('incompetent', 'clever')",-0.26835284,-0.024614923,-1.0334921,-0.7123786,0.33578146,0.5074046,-0.0203305,0.2262065,-0.246537
54,-0.8747202,-0.98868436,"('incapable', 'capable')",0.39146605,0.19536313,-0.72857696,-0.87176824,0.95400226,0.9665542,-0.0644572,-0.1746338,0.1101766
45,0.87348104,0.87165326,"('incompetent', 'competent')",-0.104833834,-0.0055465735,-1.753552,-1.4972794,-0.07718052,0.096855745,-0.2655213,-0.1335792,-0.1319421
39,0.86339056,0.8507679,"('exploitative', 'cooperative')",0.5016359,0.38411993,0.50505126,0.48981953,0.3798135,0.4491672,0.5624728,0.5434687,0.0190041
63,0.85645694,0.77454644,"('unperceptive', 'insightful')",-0.14439929,-0.14142597,-1.3967601,-1.2392575,0.57632333,0.7663188,-0.0270948,0.0400455,-0.0671403
32,0.7625072,0.5648132,"('unkind', 'kind')",0.36124793,0.14941473,-0.8288202,-0.779663,1.111025,1.1569691,0.35149,0.2728835,0.0786065
83,0.7487884,0.8143723,"('powerless', 'powerful')",0.1417088,0.12682791,-0.5994385,-0.5317779,-1.2253337,-1.0299877,-0.2335687,-0.1551414,-0.0784273
48,-0.7253663,-0.5834252,"('unintelligent', 'intelligent')",-0.4385715,-0.35782903,-2.1155596,-1.9497229,-0.28083783,-0.14016655,-0.8900838,-0.7577859,-0.1322979
22,0.65218824,0.6077996,"('untrustworthy', 'trustworthy')",-0.39307687,-0.33476385,-0.7444404,-0.64768255,-0.6312294,-0.5556411,-0.2791396,-0.232572,-0.0465676
21,0.64718705,0.85979223,"('immoral', 'moral')",0.082408,0.20910037,-1.0700808,-0.7847493,-0.7174896,-0.43298492,-0.2644938,-0.0372104,-0.2272834
27,-0.6406018,-0.6862826,"('hardhearted', 'softhearted')",0.64216685,0.5035635,0.13123763,0.14246029,0.96696407,1.0858966,0.2749417,0.2614095,0.0135322
44,-0.63678855,-0.71830857,"('prejudiced', 'unprejudiced')",-0.6351596,-0.7847797,1.1855307,1.0527502,-1.4527084,-1.4341857,-0.3847815,-0.4711309,0.0863494
64,0.61268836,0.6084104,"('shy', 'confident')",-0.30118912,-0.23186368,-0.89439213,-0.8251297,-6.795206,-6.5372696,-1.8445247,-1.7464632,-0.0980615
19,-0.57368916,-0.5483207,"('inhospitable', 'hospitable')",-0.16338745,-0.13047077,0.010276843,-0.003247574,-0.0927443,-0.044837393,-0.204886,-0.1817191,-0.0231669
17,-0.5508476,-0.58369505,"('nasty', 'nice')",0.028180106,0.05466686,0.15412661,0.20540383,-0.6595589,-0.5545926,-0.2570249,-0.2195542,-0.0374707
2,0.54292405,0.19525343,"('unlikable', 'likable')",0.17259288,-0.010886241,-0.91952986,-0.97214144,0.2548777,0.31331527,0.0127162,-0.1186147,0.1313309
7,0.52460843,0.5471934,"('insensitive', 'sensitive')",0.19635472,0.22542378,-1.8655771,-1.674274,0.5993284,0.8139844,-0.1363214,-0.0219181,-0.1144033
30,0.51738507,0.49145448,"('intolerant', 'tolerant')",-0.13428056,-0.0055847764,-1.0137209,-0.85950434,0.2099248,0.3940598,-0.1051729,0.0051063,-0.1102792
14,0.5168955,0.51175046,"('antisocial', 'social')",-0.09365377,0.028501853,-1.5828018,-1.4880552,-0.10637798,0.029689621,-0.3164845,-0.2295283,-0.0869562
20,-0.506003,-0.21930417,"('rough', 'thoughtful')",0.06406785,0.22293912,-0.382017,-0.26162755,0.27347502,0.29924107,-0.1376193,0.0103121,-0.1479314
57,0.50427943,0.5827346,"('unimaginative', 'imaginative')",-0.7573408,-0.7083308,-1.6466761,-1.4055548,-3.052436,-2.9359245,-1.2380433,-1.1167688,-0.1212745
42,-0.49117383,-0.44001442,"('unreliable', 'reliable')",-0.5571736,-0.578507,-0.17424269,-0.09089928,-3.400134,-3.0755498,-1.1556811,-1.0462426,-0.1094385
52,-0.48930436,-0.7888832,"('irrational', 'rational')",0.41776323,0.12397809,-0.6491898,-0.7782172,-0.4329853,-0.5973852,-0.2884291,-0.5101269,0.2216978
68,-0.48656493,-0.33653656,"('dependent', 'independent')",-0.72440726,-0.5121486,0.15833208,0.23719944,-1.3880836,-1.2291361,-0.6101809,-0.4601555,-0.1500254
77,-0.47830808,-0.3768924,"('unmotivated', 'motivated')",0.15646496,0.3041069,-1.1287241,-1.0275031,-1.1239957,-0.9389604,-0.6436408,-0.5098122,-0.1338286
33,-0.47738466,-0.52312696,"('wrong', 'right')",0.094422475,0.041230362,0.63433635,0.67862624,-0.7702804,-0.6481839,-0.1297266,-0.1128636,-0.016863
12,0.46901014,0.6224936,"('unsupportive', 'supportive')",1.1122686,1.1992881,-1.9784727,-1.7712692,-1.9492735,-1.6434802,-0.5866169,-0.3982419,-0.188375
40,-0.46393907,-0.32051843,"('stingy', 'generous')",-0.26491547,-0.19061987,-1.1918156,-1.0125661,-2.4638324,-2.4064684,-1.0961256,-0.9825432,-0.1135824
43,0.44660896,0.4811943,"('irresponsible', 'responsible')",-0.23378992,-0.2358626,-2.0706756,-1.9395235,0.7342515,0.8743481,-0.2809013,-0.2049609,-0.0759404
41,0.37472302,0.26952997,"('unforgiving', 'forgiving')",0.13364542,0.14775446,-2.1873426,-1.969012,-0.16443811,-0.07437679,-0.4608531,-0.4065261,-0.054327
67,0.34755114,0.45753255,"('doubtful', 'determined')",-0.6779309,-0.5576013,0.13037294,0.098920725,-0.670673,-0.46366438,-0.21767,-0.1162031,-0.1014669
71,0.30882493,0.15863079,"('diffident', 'self-confident')",1.747497,1.5443251,0.7726267,0.75586206,0.47283265,0.58755434,0.8254453,0.7615931,0.0638522
49,0.27690354,0.21742773,"('unable', 'able')",0.717693,0.65981305,-0.19145973,-0.1536549,-0.32510546,-0.14069626,0.1195078,0.1457224,-0.0262146
82,0.26990724,0.20213118,"('poor', 'rich')",-0.8912793,-0.8838091,-0.7252041,-0.66486,6.7801127,6.605494,1.3583841,1.314739,0.0436451
81,0.26858446,0.3743579,"('submissive', 'aggressive')",-0.05765921,0.11975317,-0.9174577,-0.77566326,-0.69501036,-0.49385005,-0.3503857,-0.1938506,-0.1565351
10,-0.2566793,0.04110214,"('unsympathetic', 'sympathetic')",-0.7473423,-0.67875856,-2.7502038,-2.479645,0.0075072814,0.28283733,-0.9366795,-0.708616,-0.2280635
85,-0.24510984,-0.48244032,"('insignificant', 'prestigious')",1.244473,0.87893987,0.2475079,0.072827816,-0.5535909,-0.78206575,0.17332,-0.0781846,0.2515046
4,0.21763203,0.09935923,"('disliked', 'liked')",-0.30162826,-0.30932963,0.14715742,0.18036556,-7.8699293,-7.843849,-1.951692,-1.9683635,0.0166715
15,-0.21033499,-0.21904896,"('boring', 'funny')",0.89631057,0.8428674,1.5572221,1.5817828,0.41257933,0.51005816,0.6639442,0.6789148,-0.0149706
76,-0.20569132,-0.016253063,"('anxious', 'daring')",-0.54090047,-0.50671405,-0.17445831,-0.07591535,0.08398891,0.28271097,-0.2092653,-0.0790429,-0.1302224
26,0.1637299,-0.06365459,"('hardhearted', 'benevolent')",0.94391793,0.78620076,-0.550062,-0.5097271,1.4701749,1.3526249,0.5069402,0.391361,0.1155792
24,-0.15841514,-0.068573445,"('dishonest', 'honest')",-0.6815388,-0.7716708,-1.3140776,-1.2078228,0.67291,0.74259174,-0.3702804,-0.3263688,-0.0439116
70,0.15527347,0.04493203,"('lethargic', 'energetic')",-0.8979732,-0.9679288,-0.69014627,-0.6327248,0.93808377,1.0432713,-0.1236906,-0.1281126,0.004422
61,-0.14339945,-0.32614636,"('illogical', 'logical')",-0.29511297,-0.36832076,-1.1547389,-1.1085085,-0.027314961,0.031016238,-0.4051416,-0.4429899,0.0378483
0,0.1431288,0.008213665,"('unsociable', 'sociable')",-0.10988651,-0.13866621,-1.8650674,-1.7460597,-0.14757195,-0.09420393,-0.4948492,-0.492679,-0.0021702
13,0.14103678,0.037122585,"('impolite', 'polite')",-0.4263478,-0.47173446,-1.0476865,-0.8523394,-0.24824432,0.008208156,-0.3953104,-0.3196858,-0.0756246
37,-0.13149115,-0.048342634,"('fake', 'genuine')",0.21483418,0.17634597,-0.5384131,-0.53787285,0.19861826,0.23129207,-0.064113,-0.0446444,-0.0194686
16,-0.1289069,-0.31678274,"('unpopular', 'popular')",0.20508994,0.072892174,0.41417322,0.4070415,-0.23366027,-0.33642942,0.064174,-0.0433196,0.1074936
75,-0.12134686,-0.1844754,"('meek', 'impulsive')",-0.31394055,-0.3298843,0.4547384,0.40403774,-0.80097795,-0.86366725,-0.1953817,-0.2434973,0.0481156
50,-0.11354286,-0.39187703,"('clumsy', 'skillful')",0.104662046,-0.04612744,0.21174353,0.16664472,-0.090726346,-0.040888354,0.0280341,-0.078062,0.1060961
84,0.11198192,0.119956836,"('inferior', 'superior')",0.30141088,0.23414381,0.45251697,0.47325134,0.6547762,0.6110647,0.3801715,0.3596042,0.0205673
72,0.110611066,0.18408807,"('unambitious', 'ambitious')",-1.0857602,-1.0972576,-2.1203055,-2.092754,-0.43122423,-0.20270546,-0.8816698,-0.8021572,-0.0795126
78,0.101064086,0.10976334,"('nonresilient', 'resilient')",1.0469457,1.0050935,-0.029515672,0.03543177,0.24276839,0.34793615,0.3403156,0.3745562,-0.0342406
34,-0.07856741,-0.04690305,"('mean', 'honorable')",0.4519964,0.42266718,-0.37945044,-0.31389987,5.4067245,5.436404,1.3501757,1.3745672,-0.0243915
1,-0.07393963,-0.30255836,"('unfriendly', 'friendly')",1.4492488,1.2208998,-1.0064853,-0.9865795,1.7805858,1.4500554,0.5373524,0.3454543,0.1918981
86,-0.045815717,0.30107027,"('uninfluential', 'influential')",-0.45366058,-0.20531435,-2.3465567,-2.0494118,-0.27821285,-0.070477314,-0.7810614,-0.5060333,-0.2750281
59,0.039844256,-0.32803515,"('foolish', 'wise')",0.6649793,0.38307568,0.76208687,0.5908848,-0.22897783,-0.32111812,0.3094831,0.0812018,0.2282813
88,-0.028449945,-0.083362475,"('low', 'eminent')",-0.12683819,-0.24093719,-0.52968895,-0.5275604,-0.21283805,-0.18525673,-0.2244538,-0.2592792,0.0348254
29,0.02349133,-0.056519784,"('unfair', 'fair')",-0.066137195,0.0046871156,0.17982858,0.15091765,-0.65309274,-0.6938673,-0.1289775,-0.1486956,0.0197181
38,0.015668957,-0.10631084,"('untruthful', 'truthful')",-0.021504235,-0.043731704,-1.2992845,-1.2904646,-0.26963425,-0.22999716,-0.3936885,-0.4176261,0.0239376
53,-0.015257294,-0.0008984916,"('uncreative', 'creative')",-0.6312024,-0.6344129,-0.8580859,-0.71915174,0.6970024,0.58173925,-0.2018858,-0.193181,-0.0087048
66,-0.008647658,-0.25285178,"('inactive', 'active')",-0.7178942,-0.8953252,0.5841519,0.43209696,0.32593974,0.2060493,0.0458874,-0.1275077,0.1733951
9,-0.007784374,-0.25306028,"('unaffectionate', 'caring')",0.7154947,0.40339226,-1.4422113,-1.4099393,1.3911942,1.29081,0.1641733,0.0078007,0.1563726
