,masco_male,masco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-1.8372059,-1.3642277,"('distant', 'open')",-0.6990762,-0.35889813,-1.268141,-0.8615629,-0.4065781
19,-1.7348725,-1.6296109,"('inhospitable', 'hospitable')",-0.65798676,-0.44905958,-1.1964296,-1.0393353,-0.1570943
53,-1.4258399,-1.317289,"('uncreative', 'creative')",0.36493647,0.34055874,-0.5304517,-0.4883651,-0.0420866
31,-1.4174052,-1.1662202,"('evil', 'good')",-0.9652735,-0.7386067,-1.1913394,-0.9524134,-0.238926
86,-1.3945434,-1.4045789,"('uninfluential', 'influential')",-0.47186166,-0.70808786,-0.9332025,-1.0563334,0.1231309
8,-1.3852044,-1.1564132,"('unaffectionate', 'affectionate')",0.34137255,0.7433535,-0.5219159,-0.2065299,-0.315386
30,1.3260446,1.1201171,"('intolerant', 'tolerant')",1.2006114,0.79261166,1.263328,0.9563644,0.3069636
79,-1.3111894,-1.142688,"('wavering', 'unwavering')",-0.69811195,-0.4275537,-1.0046507,-0.7851208,-0.2195299
1,-1.2288005,-0.84103316,"('unfriendly', 'friendly')",1.2863574,1.4094121,0.0287784,0.2841895,-0.2554111
57,-1.1959089,-1.2793441,"('unimaginative', 'imaginative')",-3.3749897,-3.3071594,-2.2854493,-2.2932518,0.0078025
62,1.1691358,1.0905774,"('incompetent', 'brilliant')",1.0541465,0.97393227,1.1116412,1.0322548,0.0793864
60,1.1370071,1.1825519,"('inefficient', 'efficient')",0.56666267,0.24733567,0.8518349,0.7149438,0.1368911
9,-1.1327018,-0.95429116,"('unaffectionate', 'caring')",1.1126988,1.2974567,-0.0100015,0.1715828,-0.1815843
36,-1.1195065,-0.90666926,"('hostile', 'amicable')",-0.3964489,-0.20955083,-0.7579777,-0.5581101,-0.1998676
66,-1.1052934,-1.1665562,"('inactive', 'active')",-0.028785076,0.12062101,-0.5670393,-0.5229676,-0.0440717
5,-1.06166,-0.6798368,"('distant', 'outgoing')",-0.39434126,-0.0049495157,-0.7280006,-0.3423932,-0.3856074
81,1.0496298,0.75905526,"('submissive', 'aggressive')",-0.23320225,-0.40330392,0.4082138,0.1778757,0.2303381
28,-1.0425348,-0.775156,"('disloyal', 'loyal')",0.88341737,0.8463911,-0.0795587,0.0356175,-0.1151762
87,1.0061197,0.53601897,"('unsuccessful', 'successful')",1.0448546,1.0046878,1.0254872,0.7703534,0.2551338
52,-1.0027207,-1.0852864,"('irrational', 'rational')",0.051306136,0.07200618,-0.4757073,-0.5066401,0.0309328
