,truist_male,truist_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.2232647,-2.0735939,"('unfriendly', 'friendly')",1.2697718,1.2171918,0.9127001,0.8318701,-0.0135976,-0.0081773,-0.0054203
86,-2.0267086,-2.3557792,"('uninfluential', 'influential')",-0.4462922,-0.63157177,-0.16964458,-0.09731313,-0.8808818,-1.0282214,0.1473396
53,-1.6768159,-1.7779564,"('uncreative', 'creative')",1.336329,1.2211826,0.3449811,0.3902814,0.0014981,-0.0554975,0.0569956
9,-1.6640629,-1.6767365,"('unaffectionate', 'caring')",1.3301241,1.3765066,0.91669136,0.92153543,0.1942509,0.2071018,-0.0128509
8,-1.5993162,-1.4175161,"('unaffectionate', 'affectionate')",0.2542292,0.259655,0.06513805,-0.05487819,-0.4266496,-0.4042464,-0.0224032
18,-1.444199,-1.1880513,"('disagreeable', 'welcoming')",-0.5272784,-0.3599737,-0.8573538,-0.8628971,-0.9429437,-0.8036407,-0.139303
28,-1.428637,-1.4401801,"('disloyal', 'loyal')",0.22346401,0.1376974,1.0301968,1.1519337,-0.0583254,-0.050183,-0.0081424
19,-1.3899612,-0.99772936,"('inhospitable', 'hospitable')",-0.55600184,-0.37036508,-0.6647975,-0.4656848,-0.8702536,-0.6112597,-0.2589939
73,1.3889649,1.5748299,"('helpless', 'self-reliant')",1.050893,1.145899,-3.3959863,-3.322012,-0.3187095,-0.2004277,-0.1182818
88,-1.325546,-1.2535471,"('low', 'eminent')",-0.9044908,-0.88741386,-0.5260232,-0.51210386,-0.9186866,-0.8843549,-0.0343317
10,-1.287136,-1.8280109,"('unsympathetic', 'sympathetic')",-1.2092538,-1.5542144,-0.12496762,-0.03485086,-0.8737858,-1.1390254,0.2652396
6,-1.254014,-1.2186387,"('distant', 'open')",0.04503128,0.0098897815,-0.979142,-1.0985788,-0.7293749,-0.7691092,0.0397343
48,-1.1487031,-1.1620417,"('unintelligent', 'intelligent')",-0.94593483,-0.884152,0.33644596,0.5941552,-0.586064,-0.4840128,-0.1020512
32,-1.1442842,-1.1422043,"('unkind', 'kind')",-0.1906625,-0.22961786,0.36613658,0.41891724,-0.3229367,-0.317635,-0.0053017
57,-1.1125667,-1.5180978,"('unimaginative', 'imaginative')",-0.4718398,-0.78995496,-3.1047294,-3.1271224,-1.5630453,-1.811725,0.2486797
44,1.0452138,1.2088418,"('prejudiced', 'unprejudiced')",-0.32690454,-0.14093202,-1.4048297,-1.2255063,-0.2288402,-0.0525322,-0.176308
82,-1.0426166,-0.9058162,"('poor', 'rich')",-0.2751346,-0.090713605,6.4537797,6.742786,1.7120094,1.9154186,-0.2034092
25,-1.0214843,-0.74269766,"('egoistic', 'altruistic')",0.14332666,0.24669993,0.9494096,0.8622782,0.0237507,0.1220935,-0.0983428
78,-0.99566233,-1.1458757,"('nonresilient', 'resilient')",0.6092578,0.48425704,0.681309,0.81630164,0.0983015,0.051561,0.0467405
26,-0.9620907,-0.9524877,"('hardhearted', 'benevolent')",1.7316588,1.4869316,1.0401338,0.78780574,0.603234,0.4407499,0.1624841
0,-0.95329607,-1.4198751,"('unsociable', 'sociable')",-0.009308852,-0.18239374,-0.15192732,-0.12414017,-0.3715107,-0.5754697,0.203959
42,0.91900384,0.78106314,"('unreliable', 'reliable')",0.9286445,0.72489786,-2.3171647,-2.065676,-0.1565054,-0.1865717,0.0300663
54,-0.91409224,-0.841939,"('incapable', 'capable')",0.87894034,0.96970814,0.6352768,0.85338384,0.2000416,0.327051,-0.1270094
67,0.9070497,0.9697221,"('doubtful', 'determined')",0.13766587,0.1723869,-0.5534413,-0.6043106,0.1637581,0.1792662,-0.0155081
79,-0.8996954,-0.994711,"('wavering', 'unwavering')",-0.44039005,-0.58872414,-0.34179452,-0.34547272,-0.5606267,-0.6429693,0.0823426
