,valero_male,valero_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
6,-1.853328,-1.9184961,"('distant', 'open')",-0.28151476,-0.43119007,-1.4015043,-1.3178864,-1.1787824,-1.2225242,0.0437418
86,-1.7766601,-1.511099,"('uninfluential', 'influential')",0.6992555,0.47889286,0.09118388,-0.03608407,-0.3287402,-0.3560967,0.0273565
0,-1.7333755,-1.3320221,"('unsociable', 'sociable')",-0.27160174,-0.3258053,-0.09577996,0.018535353,-0.7002524,-0.5464307,-0.1538217
19,-1.4577098,-1.4587423,"('inhospitable', 'hospitable')",-0.924132,-1.0196722,-0.98799986,-0.98309386,-1.1232805,-1.1538361,0.0305556
8,-1.360928,-1.5243123,"('unaffectionate', 'affectionate')",-0.21164069,-0.5869121,0.03595979,-0.11129023,-0.512203,-0.7408382,0.2286352
53,-1.3350712,-1.2196109,"('uncreative', 'creative')",0.7297193,0.76393133,0.13317296,0.21190092,-0.157393,-0.0812596,-0.0761334
18,-1.2617286,-1.360519,"('disagreeable', 'welcoming')",-0.80110216,-1.0140697,-0.8606849,-0.85794944,-0.9745053,-1.0775127,0.1030074
1,-1.2299787,-1.520826,"('unfriendly', 'friendly')",0.8336192,0.3114294,0.3663889,0.17965549,-0.0099902,-0.343247,0.3332568
45,-1.2122166,-0.73097897,"('incompetent', 'competent')",-0.6138893,-0.64824057,-0.06522857,-0.08576143,-0.6304448,-0.488327,-0.1421178
82,-1.1956284,-0.8848879,"('poor', 'rich')",-0.43959805,-0.22415553,6.1575465,6.6943936,1.5074399,1.8617833,-0.3543434
5,-1.1598954,-1.2919033,"('distant', 'outgoing')",0.060751945,0.090327695,-1.3673362,-1.2681426,-0.8221599,-0.8232393,0.0010794
73,1.1457555,1.1741529,"('helpless', 'self-reliant')",1.5553664,1.3307652,-3.471659,-3.5459037,-0.2568457,-0.3469952,0.0901495
9,-1.1321058,-1.2990303,"('unaffectionate', 'caring')",0.6578815,0.37538075,0.69941485,0.5464596,0.0750635,-0.12573,0.2007935
26,-1.0066025,-1.0322233,"('hardhearted', 'benevolent')",0.7528489,0.52292573,1.2976613,0.99587226,0.3479692,0.1621915,0.1857777
43,-0.966763,-0.6771382,"('irresponsible', 'responsible')",0.74434257,0.85373926,0.27374434,0.2961135,0.017108,0.1575715,-0.1404635
56,-0.93273216,-0.3006663,"('impractical', 'practical')",0.62244385,0.9586666,-0.6852399,-0.5919828,-0.3318427,0.0220059,-0.3538486
61,-0.92882806,-0.7094242,"('illogical', 'logical')",0.89195484,1.0404611,0.6780828,0.7532012,0.2137365,0.3614127,-0.1476762
38,-0.8666772,-0.73806703,"('untruthful', 'truthful')",0.3645242,0.20866176,-0.850132,-0.8443889,-0.4507617,-0.4579314,0.0071697
16,-0.85431975,-0.74602956,"('unpopular', 'popular')",-0.3739184,-0.14401433,-0.14184451,0.0775408,-0.4566942,-0.2708343,-0.1858599
57,-0.85035294,-0.55550075,"('unimaginative', 'imaginative')",0.6952585,0.5067575,-2.596722,-2.764699,-0.9172721,-0.9378141,0.020542
37,0.8402285,0.7224581,"('fake', 'genuine')",0.64283705,0.15318349,-0.04606723,-0.2482951,0.4789995,0.2091155,0.269884
76,0.8353806,1.2435473,"('anxious', 'daring')",-0.34768268,-0.20227802,0.26742896,0.4695488,0.251709,0.503606,-0.251897
3,0.82712024,0.6512192,"('repellent', 'pleasant')",0.056069236,-0.07007247,1.4793686,1.4119558,0.7875194,0.6643675,0.1231519
32,-0.762052,-0.51334256,"('unkind', 'kind')",0.031105593,0.026931241,0.8436787,0.65148616,0.0375774,0.0550249,-0.0174475
10,-0.76061225,-0.4775115,"('unsympathetic', 'sympathetic')",-0.55970854,-0.8523635,-0.044936955,-0.04990585,-0.4550859,-0.459927,0.0048411
31,-0.74892896,-1.0696412,"('evil', 'good')",-0.7082827,-1.0415453,-1.8208036,-1.8023177,-1.0926718,-1.3045014,0.2118296
54,-0.7376664,-0.9568884,"('incapable', 'capable')",-0.23684026,-0.41976374,0.5031436,0.5828578,-0.157121,-0.2645981,0.1074771
69,0.71995735,0.32819882,"('lazy', 'industrious')",0.7453748,0.76573,-1.5835203,-1.699162,-0.039396,-0.2017444,0.1623484
60,-0.6959044,-0.29044372,"('inefficient', 'efficient')",1.3502157,1.6310177,0.42948127,0.40610588,0.3612642,0.5822266,-0.2209624
55,-0.67083573,-0.06189162,"('incompetent', 'clever')",-0.4291642,-0.42641065,0.7824124,0.86474437,-0.1058625,0.1254807,-0.2313432
47,-0.6682985,-0.3721021,"('stupid', 'smart')",0.47376856,0.5808234,5.100545,5.3751493,1.6353383,1.8612901,-0.2259518
24,-0.659899,-0.58638465,"('dishonest', 'honest')",0.7075039,0.4355779,0.13166371,0.10507999,0.0597562,-0.0152423,0.0749985
28,-0.64380676,-0.5061127,"('disloyal', 'loyal')",0.24701497,0.24148157,1.0363644,1.1926017,0.2131909,0.3093235,-0.0961326
65,-0.617006,-0.11992642,"('insecure', 'secure')",0.06548294,0.22549161,0.3097052,0.64977616,-0.080606,0.2517805,-0.3323865
41,-0.6029305,-0.24939844,"('unforgiving', 'forgiving')",-0.50229716,-0.8744398,-0.28152597,-0.48878607,-0.4622512,-0.5375414,0.0752902
71,-0.5901416,-0.8860059,"('diffident', 'self-confident')",1.3834066,1.4951688,0.20415714,0.023979396,0.3324741,0.2110475,0.1214266
79,-0.57489306,-0.83652693,"('wavering', 'unwavering')",-0.31461936,-0.34161928,-0.807589,-0.6325213,-0.5657005,-0.6035558,0.0378553
49,-0.564877,-0.24305327,"('unable', 'able')",-0.41972825,0.07011567,-0.42273954,-0.14295281,-0.4691149,-0.1052968,-0.3638181
64,0.55548495,0.37317267,"('shy', 'confident')",0.86241746,0.7852751,-5.6978784,-6.133834,-1.4266586,-1.658462,0.2318034
2,0.5429586,0.95001245,"('unlikable', 'likable')",1.2616096,1.26612,0.44436336,0.542509,0.7496438,0.9195472,-0.1699034
35,0.5417052,0.7082006,"('corrupt', 'incorrupt')",-0.53645116,-0.40742427,-1.430223,-1.1051137,-0.4749897,-0.2681125,-0.2068772
7,0.5228165,0.21637219,"('insensitive', 'sensitive')",0.9299005,0.6743951,0.9134608,0.60266364,0.7887259,0.4978103,0.2909156
51,-0.5109878,-0.5083507,"('uneducated', 'educated')",-0.21637584,-0.3360573,0.86764383,0.6680986,0.0467601,-0.0587698,0.1055299
80,0.509861,0.69273496,"('dominated', 'dominating')",0.17925495,0.31898528,0.49435407,0.44129452,0.39449,0.4843382,-0.0898482
88,-0.5067526,-0.9103201,"('low', 'eminent')",-0.026886348,-0.15036169,-0.36966547,-0.6254031,-0.3011015,-0.5620283,0.2609268
85,-0.45881936,-0.968451,"('insignificant', 'prestigious')",0.7312465,0.4538902,-0.9532787,-1.0300845,-0.2269505,-0.5148818,0.2879313
14,-0.45154697,0.38135672,"('antisocial', 'social')",0.6735244,1.001905,0.6252811,0.6260151,0.2824195,0.669759,-0.3873395
83,-0.44882718,-0.08982617,"('powerless', 'powerful')",0.8615035,1.1785524,-0.8095516,-0.67442787,-0.1322918,0.1380995,-0.2703913
40,0.44373658,0.42231497,"('stingy', 'generous')",0.514239,0.18099105,-2.1205344,-2.4055517,-0.3875196,-0.6007485,0.2132289
78,-0.440453,-0.54260117,"('nonresilient', 'resilient')",0.4863236,0.4775334,0.41516432,0.47434393,0.1536783,0.1364254,0.0172529
72,-0.43738177,-0.34023464,"('unambitious', 'ambitious')",0.63047653,0.6282114,-0.34764835,-0.20733976,-0.0515179,0.026879,-0.0783969
30,-0.43580317,-0.19859415,"('intolerant', 'tolerant')",0.5193339,0.57288706,0.3745318,0.4431266,0.1526875,0.2724732,-0.1197857
63,-0.43085775,-0.47442505,"('unperceptive', 'insightful')",0.6970609,0.49981874,0.7349898,0.48130003,0.333731,0.1688979,0.1648331
33,0.42755795,0.019772425,"('wrong', 'right')",1.3526758,1.0179875,-1.0053515,-1.2444592,0.2582941,-0.0688998,0.3271939
75,0.3962794,0.58295196,"('meek', 'impulsive')",-0.0570054,0.03155739,-0.7845097,-0.6424332,-0.1484119,-0.009308,-0.1391039
22,-0.39450222,-0.10398354,"('untrustworthy', 'trustworthy')",-0.5203367,-0.8217844,-0.33788612,-0.37339616,-0.417575,-0.4330547,0.0154797
20,-0.38576666,-0.120750315,"('rough', 'thoughtful')",-0.24746491,0.00042165443,0.36605075,0.4903121,-0.0890603,0.1233278,-0.2123881
68,-0.3716246,-0.24072376,"('dependent', 'independent')",-0.44885457,-0.16744523,-0.80294275,-0.76464665,-0.5411406,-0.3909385,-0.1502021
74,-0.34450436,0.0016087964,"('undedicated', 'dedicated')",0.10302941,-0.0008487925,-0.372904,-0.3316742,-0.204793,-0.1103047,-0.0944883
23,-0.31766337,-0.58580047,"('insincere', 'sincere')",0.09263303,-0.0671867,5.7602186,5.9855723,1.8450627,1.7775284,0.0675343
13,-0.31585276,0.0036317315,"('impolite', 'polite')",-0.20311628,-0.22217055,-0.39621902,-0.43416208,-0.3050627,-0.217567,-0.0874957
84,0.31012642,0.25189048,"('inferior', 'superior')",0.29230937,0.32176495,0.5401906,0.5120825,0.3808755,0.3619126,0.0189629
62,0.3094581,0.61641127,"('incompetent', 'brilliant')",0.46074468,0.66319716,0.66497076,0.72389686,0.4783912,0.6678351,-0.1894439
44,0.30234307,0.3394067,"('prejudiced', 'unprejudiced')",-0.40904644,-0.22993907,-1.2474197,-1.0947758,-0.4513744,-0.3284361,-0.1229383
12,-0.29152495,-0.4153552,"('unsupportive', 'supportive')",0.8418318,0.58342046,-1.9169555,-2.2283912,-0.4555496,-0.6867753,0.2312257
17,0.2845396,0.15910983,"('nasty', 'nice')",-1.0400683,-0.9052827,-0.7204015,-0.5552478,-0.4919767,-0.4338069,-0.0581698
50,0.26094753,-0.1376427,"('clumsy', 'skillful')",-0.019487172,-0.38794953,0.020942815,-0.024797136,0.0874677,-0.1834631,0.2709308
42,0.2605875,0.3870629,"('unreliable', 'reliable')",-0.067435965,-0.19305426,-2.672985,-2.6767786,-0.8266112,-0.82759,0.0009788
48,0.25075004,0.22554572,"('unintelligent', 'intelligent')",1.0156065,0.9387888,0.6778952,0.6203846,0.6480839,0.5949064,0.0531775
87,-0.2379599,-0.048127852,"('unsuccessful', 'successful')",0.11919582,0.201077,1.2154213,1.257435,0.3655524,0.4701281,-0.1045757
52,-0.22816177,-0.68292177,"('irrational', 'rational')",0.03986738,-0.36127347,-0.6402706,-0.7231097,-0.2761883,-0.5891016,0.3129133
