,ford_male,ford_female,tuple,motor_male,motor_female,co_male,co_female,del_male,del_female,average_male,average_female,male-female
39,2.1050906,1.6671188,"('exploitative', 'cooperative')",0.5106749,0.14539361,0.48787746,0.18756564,0.23151775,0.019991683,0.8337902,0.5050174,0.3287728
51,-1.711741,-1.5257038,"('uneducated', 'educated')",-1.5541342,-1.3159271,-0.88515544,-0.46989825,-0.25313404,-0.19043906,-1.1010412,-0.875492,-0.2255492
33,1.5742637,1.4979017,"('wrong', 'right')",1.956138,1.8225961,0.40457773,0.29820868,0.16997828,-0.06743848,1.0262394,0.887817,0.1384224
9,1.3262182,1.1032664,"('unaffectionate', 'caring')",1.1559925,1.0060067,-0.35685927,-0.39091688,2.1263072,2.2254763,1.0629146,0.9859581,0.0769565
43,1.2311879,0.83414245,"('irresponsible', 'responsible')",-0.26939562,-0.518201,0.0943756,0.028234296,0.3676419,0.63262784,0.3559525,0.2442009,0.1117516
8,1.1730367,1.2854508,"('unaffectionate', 'affectionate')",1.0115346,1.0032145,-0.41219813,-0.38779557,1.6031018,1.7958127,0.8438687,0.9241706,-0.0803019
68,-1.16445,-1.1918329,"('dependent', 'independent')",-1.6741258,-1.6741511,-1.3939977,-1.3289933,-1.1982331,-1.128176,-1.3577017,-1.3307884,-0.0269133
73,1.1232029,1.3336573,"('helpless', 'self-reliant')",1.6633713,1.7417634,1.4490024,1.4612834,-3.0795898,-3.3425841,0.2889967,0.29853,-0.0095333
46,1.0578599,0.44373956,"('uncompetitive', 'competitive')",-0.6799973,-0.94590145,0.18870626,-0.07147511,-1.3577883,-1.4435267,-0.1978049,-0.5042909,0.306486
69,1.0147973,1.0214809,"('lazy', 'industrious')",1.8124954,1.6994073,1.6972315,1.500121,-1.2673206,-1.495141,0.8143009,0.6814671,0.1328338
24,0.99964654,0.8370637,"('dishonest', 'honest')",0.058667995,-0.11084959,-0.04734145,0.053329952,1.0899639,1.1858602,0.5252342,0.4913511,0.0338831
71,0.97190493,0.7262709,"('diffident', 'self-confident')",1.0425895,0.9461921,0.35117656,-0.02023926,0.84880453,0.9787471,0.8036188,0.6577427,0.1458761
84,0.95914525,0.7693295,"('inferior', 'superior')",1.4788501,1.2502834,0.59035575,0.38483733,0.11387277,0.09448473,0.785556,0.6247337,0.1608223
12,0.91900855,0.7829979,"('unsupportive', 'supportive')",-0.35087496,-0.34981096,-0.78083146,-0.69644165,-1.6503873,-1.5699815,-0.4657713,-0.4583091,-0.0074622
59,0.9144428,0.7909699,"('foolish', 'wise')",2.3594666,2.22599,0.008565098,-0.118383676,0.6402158,0.68964547,0.9806726,0.8970554,0.0836172
26,0.88886064,0.7729111,"('hardhearted', 'benevolent')",1.2044206,0.8913251,1.7566946,1.4805185,1.273127,1.0125021,1.2807757,1.0393142,0.2414615
56,0.8705971,0.83625376,"('impractical', 'practical')",-0.9599081,-0.7913758,0.11736228,0.26913986,-0.42247963,-0.39034182,-0.0986071,-0.019081,-0.0795261
0,-0.824793,-1.0976079,"('unsociable', 'sociable')",-1.2420275,-1.31527,-0.050013497,0.10823808,-0.45270318,-0.42282808,-0.6423844,-0.681867,0.0394826
61,0.7981811,0.4702686,"('illogical', 'logical')",0.45385277,0.1250967,-0.106386945,-0.43242127,0.41546234,0.19904278,0.3902774,0.0904967,0.2997807
36,-0.7962016,-0.92725307,"('hostile', 'amicable')",0.7179719,0.47102174,-0.232458,-0.73871756,0.22919628,0.18387535,-0.0203728,-0.2527684,0.2323956
81,-0.772244,-0.87970954,"('submissive', 'aggressive')",-1.9199028,-1.745281,-0.019224226,0.34808683,-0.8324824,-0.93434,-0.8859633,-0.8028109,-0.0831524
1,0.7722306,0.38192648,"('unfriendly', 'friendly')",1.2008048,0.7385315,0.05677294,-0.15668288,1.862246,1.7808917,0.9730136,0.6861666,0.286847
85,0.7404346,0.5273745,"('insignificant', 'prestigious')",2.7683604,2.4696586,0.3610283,0.0026108995,0.6113435,0.36745447,1.1202917,0.8417746,0.2785171
31,-0.7248991,-0.5475175,"('evil', 'good')",0.5931152,0.6018144,-0.30771905,-0.4223023,-0.4981754,-0.6383057,-0.2344196,-0.2515778,0.0171582
32,0.7168125,0.7678342,"('unkind', 'kind')",-0.25621134,-0.19354497,-0.23841593,0.048027474,1.240088,1.5182164,0.3655683,0.5351332,-0.1695649
52,0.712657,0.5373849,"('irrational', 'rational')",1.6387444,1.3203593,-0.8461839,-0.8383497,0.78560174,0.5016467,0.5727048,0.3802603,0.1924445
2,0.69766176,0.47202152,"('unlikable', 'likable')",1.077958,0.78433007,1.5361588,1.4764551,0.5594524,0.5293078,0.9678078,0.8155286,0.1522792
30,-0.68141216,-0.7813018,"('intolerant', 'tolerant')",-2.240359,-2.082048,-0.0720014,0.22872964,0.21982808,0.35108542,-0.6934862,-0.5708836,-0.1226026
4,-0.67526585,-0.67626756,"('disliked', 'liked')",0.69513553,0.8102582,0.2559086,-0.036338765,-7.147402,-7.311067,-1.7179059,-1.8033538,0.0854479
88,-0.6582617,-0.66467047,"('low', 'eminent')",0.13249867,0.013989663,-0.6952614,-0.490011,-0.16060778,0.09290293,-0.3454081,-0.2619472,-0.0834609
82,-0.65293086,-0.5867614,"('poor', 'rich')",-0.84842515,-0.7925352,0.4546443,0.70146257,6.276899,6.545015,1.3075469,1.4667952,-0.1592483
57,-0.62692904,-1.0354513,"('unimaginative', 'imaginative')",-1.3568536,-1.4881546,-0.4918785,-1.0868572,-2.7837417,-3.0002596,-1.3148508,-1.6526806,0.3378298
74,0.6191764,0.45776635,"('undedicated', 'dedicated')",0.15700191,0.06923277,0.38865545,0.49499556,-0.04367751,-0.22117645,0.2802891,0.2002046,0.0800845
17,-0.6006479,-0.48819965,"('nasty', 'nice')",-0.6772789,-0.48372144,-0.8468623,-0.62715244,-1.1055051,-0.9589575,-0.8075736,-0.6395078,-0.1680658
25,0.58197963,0.46733752,"('egoistic', 'altruistic')",0.8081015,0.5973832,1.0681546,1.1548389,0.71951157,0.6632091,0.7944368,0.7206922,0.0737446
54,0.5547643,0.66907424,"('incapable', 'capable')",1.1536677,1.1507952,-0.12546605,0.04386138,1.238784,1.537204,0.7054374,0.8502337,-0.1447963
