,big_male,big_female,tuple,lots_male,lots_female,inc_male,inc_female,average_male,average_female,male-female
36,-3.1785398,-2.5831258,"('hostile', 'amicable')",-4.59205,-3.8520281,-0.48199606,-0.26730824,-2.7508621,-2.2341541,-0.516708
69,-3.01541,-2.7643628,"('lazy', 'industrious')",-2.1722999,-1.6860565,-0.80324864,-0.82302725,-1.9969861,-1.7578155,-0.2391706
31,-2.7200298,-2.2882066,"('evil', 'good')",-3.2464104,-2.8484004,-0.9745792,-0.7860581,-2.3136732,-1.9742217,-0.3394515
81,2.4111333,1.7416053,"('submissive', 'aggressive')",3.6106317,2.7751186,-0.025895938,-0.4190257,1.9986229,1.3658992,0.6327237
80,2.2997186,1.647771,"('dominated', 'dominating')",1.3300415,0.5455923,-1.4017899,-1.5479566,0.7426568,0.2151355,0.5275213
52,-2.2383897,-1.7934818,"('irrational', 'rational')",-3.4961362,-3.1962814,-0.39999345,-0.049859587,-2.0448397,-1.6798743,-0.3649654
62,2.1499608,1.9677981,"('incompetent', 'brilliant')",4.3611794,3.7624934,0.9074463,1.0316231,2.4728621,2.2539714,0.2188907
60,1.933792,1.364983,"('inefficient', 'efficient')",5.3667593,4.627875,0.8463794,0.46157274,2.7156436,2.1514769,0.5641667
26,-1.8131903,-1.3887326,"('hardhearted', 'benevolent')",-0.96403456,-0.52480036,0.8865266,1.2174492,-0.6302328,-0.2320279,-0.3982049
24,1.7300317,1.4569885,"('dishonest', 'honest')",2.1977718,1.9307302,1.0499125,1.1429137,1.6592387,1.5102108,0.1490279
46,1.7231631,1.1739584,"('uncompetitive', 'competitive')",3.960837,3.2368417,-0.29779917,-0.6919901,1.7954003,1.2396033,0.555797
55,1.7093781,1.23292,"('incompetent', 'clever')",4.065293,3.2754714,0.32184145,0.019425489,2.0321708,1.5092723,0.5228985
76,1.6851444,1.4383775,"('anxious', 'daring')",2.3710763,2.0706184,0.78840613,0.48553133,1.6148758,1.3315091,0.2833667
35,-1.6319565,-1.1782336,"('corrupt', 'incorrupt')",-3.889824,-3.0580804,-0.9185452,-0.51112765,-2.1467752,-1.5824804,-0.5642948
56,1.5688132,1.1894096,"('impractical', 'practical')",3.8075926,3.184551,0.33007917,0.13766707,1.9021616,1.5038759,0.3982857
11,1.5638345,1.4169406,"('unhelpful', 'helpful')",1.636071,1.1980698,2.5505016,2.5804267,1.9168024,1.7318123,0.1849901
32,1.5355502,1.2699836,"('unkind', 'kind')",1.1747066,0.8550493,1.1374854,1.0647762,1.2825807,1.0632697,0.219311
85,-1.4858799,-0.82737654,"('insignificant', 'prestigious')",-4.1413493,-3.4196515,-0.21762657,0.22895882,-1.9482853,-1.3393564,-0.6089289
63,1.4602095,1.1782341,"('unperceptive', 'insightful')",2.0779052,1.7119926,1.5667098,1.4816662,1.701608,1.4572976,0.2443104
16,-1.396286,-1.1435671,"('unpopular', 'popular')",-1.0120888,-0.8705516,0.42705637,0.33309773,-0.6604395,-0.5603403,-0.1000992
19,-1.3885527,-1.1227385,"('inhospitable', 'hospitable')",-2.2110193,-2.0898798,-0.21851934,0.06100546,-1.2726971,-1.0505377,-0.2221594
