,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.5504634,-3.376936,"('unsympathetic', 'sympathetic')",-0.73483056,-0.7348573,-2.142647,-2.0558968,-0.0867502
86,-2.7978547,-2.6505249,"('uninfluential', 'influential')",-0.72587055,-0.66131437,-1.7618626,-1.6559196,-0.105943
28,-2.5897737,-2.547378,"('disloyal', 'loyal')",1.0021499,0.9936156,-0.7938119,-0.7768812,-0.0169307
45,-2.3568013,-2.2454684,"('incompetent', 'competent')",-0.2219866,-0.17159176,-1.2893939,-1.2085301,-0.0808638
13,-2.1045504,-1.8654442,"('impolite', 'polite')",-0.755013,-0.6946776,-1.4297817,-1.2800609,-0.1497208
55,-2.1032813,-1.8114305,"('incompetent', 'clever')",0.2117041,0.30331874,-0.9457886,-0.7540559,-0.1917327
43,-2.0857847,-2.047722,"('irresponsible', 'responsible')",0.39738372,0.4494559,-0.8442005,-0.7991331,-0.0450674
24,-2.0682642,-2.1644902,"('dishonest', 'honest')",0.80579174,0.74075043,-0.6312363,-0.7118699,0.0806336
57,-2.0038915,-1.6652765,"('unimaginative', 'imaginative')",-3.4665873,-3.292247,-2.7352395,-2.4787617,-0.2564778
0,-1.9858383,-1.7601739,"('unsociable', 'sociable')",-0.49291924,-0.36735046,-1.2393788,-1.0637622,-0.1756166
46,-1.9564968,-1.807424,"('uncompetitive', 'competitive')",-1.013928,-0.99476016,-1.4852124,-1.4010921,-0.0841203
81,-1.9274089,-1.6230714,"('submissive', 'aggressive')",-0.54601383,-0.4403586,-1.2367114,-1.031715,-0.2049964
12,-1.8762935,-1.7785444,"('unsupportive', 'supportive')",-1.9298246,-1.8794388,-1.903059,-1.8289917,-0.0740673
23,-1.8596364,-1.81871,"('insincere', 'sincere')",5.9218245,5.8391113,2.0310941,2.0102007,0.0208934
70,-1.8373063,-1.619281,"('lethargic', 'energetic')",-0.14924245,-0.08225904,-0.9932743,-0.8507701,-0.1425042
35,1.7980586,1.5999355,"('corrupt', 'incorrupt')",-0.3136748,-0.43664002,0.7421919,0.5816478,0.1605441
11,-1.789854,-1.6073978,"('unhelpful', 'helpful')",1.9410728,2.0095246,0.0756094,0.2010634,-0.125454
30,-1.783436,-1.5188389,"('intolerant', 'tolerant')",0.6145938,0.7788264,-0.584421,-0.3700062,-0.2144148
14,-1.6949384,-1.4276689,"('antisocial', 'social')",-0.895987,-0.6755448,-1.2954627,-1.0516069,-0.2438558
48,-1.6883396,-1.4967049,"('unintelligent', 'intelligent')",1.203367,1.2148455,-0.2424863,-0.1409297,-0.1015566
7,-1.6485709,-1.546283,"('insensitive', 'sensitive')",0.13223407,0.17139123,-0.7581684,-0.6874459,-0.0707225
21,-1.5769901,-1.4404702,"('immoral', 'moral')",-0.5554301,-0.5816276,-1.0662102,-1.0110489,-0.0551613
62,-1.5453132,-1.287156,"('incompetent', 'brilliant')",0.8848582,0.9763268,-0.3302275,-0.1554146,-0.1748129
41,-1.5251898,-1.4245983,"('unforgiving', 'forgiving')",-0.53764015,-0.5058546,-1.031415,-0.9652265,-0.0661885
60,-1.4800049,-1.187182,"('inefficient', 'efficient')",0.18743205,0.40014365,-0.6462864,-0.3935192,-0.2527672
69,1.4782419,1.3153573,"('lazy', 'industrious')",-0.5461755,-0.50204426,0.4660332,0.4066565,0.0593767
65,-1.3898208,-1.3204736,"('insecure', 'secure')",-0.36740547,-0.31777313,-0.8786131,-0.8191233,-0.0594898
44,1.3707706,1.1701365,"('prejudiced', 'unprejudiced')",-1.1624537,-1.3371646,0.1041585,-0.0835141,0.1876726
1,-1.3645115,-1.4123163,"('unfriendly', 'friendly')",1.398616,1.3582864,0.0170522,-0.027015,0.0440672
22,-1.3344166,-1.2801416,"('untrustworthy', 'trustworthy')",-1.0200077,-1.035359,-1.1772122,-1.1577504,-0.0194618
73,1.3148868,1.348577,"('helpless', 'self-reliant')",-2.8356903,-2.8525279,-0.7604017,-0.7519754,-0.0084263
63,-1.2565633,-1.0953006,"('unperceptive', 'insightful')",0.6968872,0.7314206,-0.2798381,-0.18194,-0.0978981
3,-1.239626,-1.2339834,"('repellent', 'pleasant')",0.18957175,0.12173493,-0.5250272,-0.5561242,0.031097
47,-1.2348603,-0.92738926,"('stupid', 'smart')",5.347786,5.4522777,2.0564628,2.2624443,-0.2059815
85,1.2257212,1.0215636,"('insignificant', 'prestigious')",-0.23665231,-0.3635676,0.4945345,0.328998,0.1655365
51,-1.2098671,-0.9733137,"('uneducated', 'educated')",-0.059611022,0.09417042,-0.634739,-0.4395716,-0.1951674
61,-1.2084978,-1.139153,"('illogical', 'logical')",0.2754364,0.39861807,-0.4665307,-0.3702675,-0.0962632
75,1.147265,1.2357337,"('meek', 'impulsive')",-0.67110306,-0.66818374,0.2380809,0.283775,-0.0456941
34,-1.0992086,-1.0515271,"('mean', 'honorable')",5.5893297,5.59112,2.2450604,2.2697964,-0.024736
74,-1.0908365,-0.8993764,"('undedicated', 'dedicated')",-0.79149044,-0.6798751,-0.9411635,-0.7896258,-0.1515377
20,-1.0758607,-0.88383514,"('rough', 'thoughtful')",0.87177896,0.88298213,-0.1020409,-0.0004265,-0.1016144
2,-1.0757165,-1.108364,"('unlikable', 'likable')",0.3588141,0.32814372,-0.3584512,-0.3901101,0.0316589
32,-1.0538987,-1.0669928,"('unkind', 'kind')",0.6931306,0.68453103,-0.180384,-0.1912309,0.0108469
9,-1.0283022,-1.123361,"('unaffectionate', 'caring')",1.5522072,1.4519329,0.2619525,0.164286,0.0976665
8,-1.0130196,-1.0315176,"('unaffectionate', 'affectionate')",0.7990868,0.7174288,-0.1069664,-0.1570444,0.050078
88,-0.9956312,-0.8475834,"('low', 'eminent')",-0.12629814,-0.19691896,-0.5609647,-0.5222512,-0.0387135
38,-0.95401573,-1.0043527,"('untruthful', 'truthful')",0.2073334,0.20309898,-0.3733412,-0.4006268,0.0272856
56,-0.91026336,-0.62377393,"('impractical', 'practical')",-0.29262874,-0.055586558,-0.601446,-0.3396803,-0.2617657
53,-0.9058077,-0.7614799,"('uncreative', 'creative')",0.3338254,0.39887822,-0.2859911,-0.1813008,-0.1046903
40,-0.9010039,-0.8390265,"('stingy', 'generous')",-2.1516256,-2.1396365,-1.5263147,-1.4893315,-0.0369832
5,0.8662183,0.9277456,"('distant', 'outgoing')",0.14472674,0.09415354,0.5054725,0.5109496,-0.0054771
59,0.8577168,0.75124496,"('foolish', 'wise')",0.45527384,0.3715646,0.6564953,0.5614048,0.0950905
82,-0.80043906,-0.7058373,"('poor', 'rich')",6.448767,6.3890624,2.8241642,2.8416126,-0.0174484
77,-0.7530184,-0.7528091,"('unmotivated', 'motivated')",-0.7860406,-0.80689114,-0.7695295,-0.7798501,0.0103206
15,0.6346148,0.73213446,"('boring', 'funny')",-0.06961018,0.0012642788,0.2825023,0.3666994,-0.0841971
18,-0.6320212,-0.62876165,"('disagreeable', 'welcoming')",-0.73442125,-0.7246492,-0.6832212,-0.6767054,-0.0065158
72,-0.5952221,-0.6055297,"('unambitious', 'ambitious')",0.06977241,-0.055384465,-0.2627248,-0.3304571,0.0677323
