,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.152538,-2.0187733,"('unsympathetic', 'sympathetic')",-0.21609133,-0.16486695,-1.1843147,-1.0918201,-0.0924946
86,-1.9461396,-2.1736298,"('uninfluential', 'influential')",-0.2669363,-0.051563617,-1.1065379,-1.1125966,0.0060587
46,-1.7997373,-1.4312115,"('uncompetitive', 'competitive')",-0.37998205,-0.3247714,-1.0898597,-0.8779914,-0.2118683
57,-1.7723184,-1.5054882,"('unimaginative', 'imaginative')",-2.7589252,-2.5654078,-2.2656217,-2.0354481,-0.2301736
1,-1.7137208,-2.0573566,"('unfriendly', 'friendly')",1.9643024,1.9267215,0.1252908,-0.0653176,0.1906084
45,-1.657711,-1.3342568,"('incompetent', 'competent')",-0.18241704,-0.16355881,-0.920064,-0.7489078,-0.1711562
38,-1.552499,-1.1277467,"('untruthful', 'truthful')",-0.16350941,-0.13550626,-0.8580042,-0.6316265,-0.2263777
43,-1.5409089,-1.1586163,"('irresponsible', 'responsible')",0.8713559,0.9117139,-0.3347765,-0.1234512,-0.2113253
9,-1.4964476,-2.012453,"('unaffectionate', 'caring')",1.2271165,1.1611089,-0.1346655,-0.4256721,0.2910066
53,-1.4377946,-1.8220739,"('uncreative', 'creative')",0.747395,0.6713734,-0.3451998,-0.5753503,0.2301505
6,-1.4319984,-1.2733582,"('distant', 'open')",-0.08328089,0.106351815,-0.7576396,-0.5835032,-0.1741364
24,-1.281319,-1.191176,"('dishonest', 'honest')",0.79430073,0.8476034,-0.2435091,-0.1717863,-0.0717228
61,-1.2809696,-1.410083,"('illogical', 'logical')",0.4101397,0.38675225,-0.435415,-0.5116654,0.0762504
23,-1.2501203,-1.4579972,"('insincere', 'sincere')",6.1006436,5.9432936,2.4252617,2.2426481,0.1826136
0,-1.2344098,-1.4242102,"('unsociable', 'sociable')",0.074760064,-0.14972249,-0.5798249,-0.7869663,0.2071414
66,-1.2000669,-0.919004,"('inactive', 'active')",0.20811146,0.405628,-0.4959777,-0.256688,-0.2392897
11,-1.1958337,-0.9729742,"('unhelpful', 'helpful')",1.9201205,1.9509056,0.3621434,0.4889657,-0.1268223
12,-1.1912643,-1.0877539,"('unsupportive', 'supportive')",-1.6105903,-1.40301,-1.4009273,-1.245382,-0.1555453
63,-1.1505713,-0.9234522,"('unperceptive', 'insightful')",1.0029148,1.248229,-0.0738283,0.1623884,-0.2362167
35,1.1485697,0.75897,"('corrupt', 'incorrupt')",-0.4994283,-0.65577316,0.3245707,0.0515984,0.2729723
73,1.1237484,1.2882272,"('helpless', 'self-reliant')",-2.9949825,-2.8962939,-0.935617,-0.8040333,-0.1315837
5,-1.0812266,-0.77306145,"('distant', 'outgoing')",-0.38792437,-0.2059372,-0.7345755,-0.4894993,-0.2450762
13,-1.0754822,-0.68219656,"('impolite', 'polite')",-0.26877794,-0.3784057,-0.6721301,-0.5303011,-0.141829
77,-1.0593649,-1.1959349,"('unmotivated', 'motivated')",-1.131748,-1.1783451,-1.0955565,-1.18714,0.0915835
74,-1.0566925,-0.59983224,"('undedicated', 'dedicated')",-0.16304284,0.0753867,-0.6098677,-0.2622228,-0.3476449
56,-1.0328467,-0.47721344,"('impractical', 'practical')",-0.11838387,0.13436139,-0.5756153,-0.171426,-0.4041893
19,-1.0273254,-0.9942984,"('inhospitable', 'hospitable')",-0.17003776,-0.10174241,-0.5986816,-0.5480204,-0.0506612
7,-0.992681,-1.2694192,"('insensitive', 'sensitive')",0.91920024,0.8785965,-0.0367404,-0.1954114,0.158671
54,-0.98219633,-1.0775989,"('incapable', 'capable')",1.261449,1.3862303,0.1396263,0.1543157,-0.0146894
3,-0.9478024,-0.90081096,"('repellent', 'pleasant')",0.23847806,0.15194628,-0.3546622,-0.3744323,0.0197701
