,integrys_male,integrys_female,tuple,energy_male,energy_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.3327436,-2.5175452,"('unfriendly', 'friendly')",0.33656922,0.2318887,-0.959267,-0.7311211,1.5423312,1.6688303,-0.3532776,-0.3369868,-0.0162908
86,-2.1004877,-2.1261933,"('uninfluential', 'influential')",0.37122035,0.36127853,-0.28111118,0.10861465,-0.8356107,-0.32031515,-0.7114973,-0.4941538,-0.2173435
31,-1.6344774,-1.1526237,"('evil', 'good')",-1.5630275,-1.064737,-2.1576245,-1.5072908,-1.06838,-0.7627514,-1.6058773,-1.1218507,-0.4840266
45,-1.5304457,-1.5732106,"('incompetent', 'competent')",-0.255473,-0.1801123,0.26033735,0.53748095,-0.61988336,-0.35069495,-0.5363662,-0.3916342,-0.144732
6,-1.4026655,-1.0675138,"('distant', 'open')",-0.40700176,-0.23061688,-2.5913398,-2.0136259,0.18808101,0.41079754,-1.0532316,-0.7252398,-0.3279918
9,-1.258384,-1.3680929,"('unaffectionate', 'caring')",0.49178475,0.4797907,-0.54967237,-0.31464824,1.0074909,1.2389371,-0.0771952,0.0089967,-0.0861919
8,-1.2583038,-1.4214439,"('unaffectionate', 'affectionate')",-0.5062352,-0.57206357,-0.79391104,-0.67232037,0.50769854,0.5235808,-0.5126879,-0.5355617,0.0228738
57,-1.1476202,-1.1995779,"('unimaginative', 'imaginative')",0.62252176,0.61004746,-0.16401482,-0.22946355,-2.7630305,-2.3583882,-0.8630359,-0.7943456,-0.0686903
67,1.1273179,0.9490826,"('doubtful', 'determined')",0.21802327,0.06786364,1.1578228,0.8864935,-0.23341642,-0.55618984,0.5674369,0.3368125,0.2306244
80,1.1253301,1.0298241,"('dominated', 'dominating')",0.4600037,0.30831343,2.3538084,2.1233613,-1.4131584,-1.3448453,0.631496,0.5291634,0.1023326
27,-1.1236745,-0.74242395,"('hardhearted', 'softhearted')",-0.35513884,0.03854338,-1.4089417,-0.40335527,0.722366,1.3272285,-0.5413473,0.0549982,-0.5963455
73,1.0084764,1.0316871,"('helpless', 'self-reliant')",1.2452176,1.2098097,-0.08347137,-0.29271376,-3.3770304,-3.151602,-0.3017019,-0.3007047,-0.0009972
0,-0.99329305,-1.4120088,"('unsociable', 'sociable')",0.22220598,-0.19451672,0.9108502,0.6977752,-0.48774105,-0.6600474,-0.0869945,-0.3921994,0.3052049
