,sprint_male,sprint_female,tuple,corp_male,corp_female,average_male,average_female,male-female
62,2.1459756,1.9304357,"('incompetent', 'brilliant')",0.9262987,0.75124264,1.5361371,1.3408391,0.195298
60,1.8172611,1.6194704,"('inefficient', 'efficient')",0.48405862,0.430819,1.1506598,1.0251447,0.1255151
79,-1.6379739,-1.2661053,"('wavering', 'unwavering')",-0.4012992,-0.50542694,-1.0196365,-0.8857661,-0.1338704
39,1.6340343,1.7946,"('exploitative', 'cooperative')",-0.043958224,0.061922934,0.795038,0.9282615,-0.1332235
48,1.5863147,1.187044,"('unintelligent', 'intelligent')",1.2251314,0.9070562,1.4057231,1.0470501,0.358673
61,1.4522194,1.4077332,"('illogical', 'logical')",0.4776405,0.6421709,0.9649299,1.0249521,-0.0600222
66,-1.3535175,-1.0849935,"('inactive', 'active')",0.45094085,0.6791997,-0.4512883,-0.2028969,-0.2483914
57,-1.2881563,-0.89757645,"('unimaginative', 'imaginative')",-3.5033436,-3.2189336,-2.39575,-2.058255,-0.337495
71,1.2787535,1.5705578,"('diffident', 'self-confident')",0.5703652,0.6030288,0.9245594,1.0867933,-0.1622339
36,-1.2268262,-0.9510605,"('hostile', 'amicable')",-0.41529962,-0.47933862,-0.8210629,-0.7151995,-0.1058634
50,-1.2189784,-1.2958032,"('clumsy', 'skillful')",0.26571313,0.05094271,-0.4766327,-0.6224303,0.1457976
9,1.2121006,1.6190078,"('unaffectionate', 'caring')",1.3667668,1.3163188,1.2894337,1.4676633,-0.1782296
31,-1.207105,-0.914258,"('evil', 'good')",-1.3783817,-1.3062973,-1.2927434,-1.1102777,-0.1824657
16,-1.169457,-1.0219662,"('unpopular', 'popular')",0.17945394,0.16446629,-0.4950015,-0.42875,-0.0662515
75,-1.1470956,-1.2718402,"('meek', 'impulsive')",-0.811702,-0.91186625,-0.9793988,-1.0918533,0.1124545
37,1.1455206,1.1336601,"('fake', 'genuine')",0.40272927,0.46855956,0.7741249,0.8011098,-0.0269849
83,1.104396,1.0845218,"('powerless', 'powerful')",-0.7526593,-0.8011726,0.1758683,0.1416746,0.0341937
33,1.0952982,1.0143399,"('wrong', 'right')",-0.4297309,-0.5493984,0.3327836,0.2324708,0.1003128
55,1.0854914,0.969416,"('incompetent', 'clever')",0.59939647,0.6039514,0.8424439,0.7866837,0.0557602
72,1.0810903,0.78693104,"('unambitious', 'ambitious')",0.07350896,-0.29137036,0.5772997,0.2477803,0.3295194
52,-1.0606468,-1.1852592,"('irrational', 'rational')",-0.33430788,-0.46601442,-0.6974773,-0.8256368,0.1281595
19,-0.9694406,-0.784132,"('inhospitable', 'hospitable')",-0.62831265,-0.69750005,-0.7988766,-0.740816,-0.0580606
64,-0.96649194,-1.0027728,"('shy', 'confident')",-6.7063227,-6.5733795,-3.8364072,-3.7880762,-0.048331
4,-0.9499358,-0.7429936,"('disliked', 'liked')",-7.763195,-7.6932993,-4.3565655,-4.2181463,-0.1384192
30,0.9409427,0.8060346,"('intolerant', 'tolerant')",0.80309045,0.6739992,0.8720165,0.7400169,0.1319996
17,-0.931873,-0.7644934,"('nasty', 'nice')",-0.7962028,-0.75597835,-0.8640379,-0.7602359,-0.103802
80,0.9213792,0.6609432,"('dominated', 'dominating')",-0.45720416,-0.49652693,0.2320875,0.0822081,0.1498794
35,-0.9169408,-0.9811694,"('corrupt', 'incorrupt')",-0.72646606,-0.7560468,-0.8217034,-0.8686081,0.0469047
6,-0.9166044,-0.61434114,"('distant', 'open')",-0.54953706,-0.5532606,-0.7330707,-0.5838009,-0.1492698
44,-0.8846239,-0.7267236,"('prejudiced', 'unprejudiced')",-1.4441475,-1.2286909,-1.1643857,-0.9777073,-0.1866784
56,0.8648302,0.86554384,"('impractical', 'practical')",-0.20741574,-0.20353661,0.3287072,0.3310036,-0.0022964
46,0.80454093,0.9775573,"('uncompetitive', 'competitive')",-0.7773099,-0.70882165,0.0136155,0.1343678,-0.1207523
77,0.8020331,0.70297456,"('unmotivated', 'motivated')",-0.8098031,-0.98867327,-0.003885,-0.1428494,0.1389644
27,0.7991101,0.88674855,"('hardhearted', 'softhearted')",1.3550965,1.415365,1.0771033,1.1510568,-0.0739535
24,0.7959117,0.7911024,"('dishonest', 'honest')",0.8361107,0.7334831,0.8160112,0.7622927,0.0537185
