,mondelez_male,mondelez_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
81,-2.5902948,-2.4693887,"('submissive', 'aggressive')",-0.32684988,-0.17424564,-0.9295611,-0.79502785,-1.2822353,-1.1462207,-0.1360146
10,-2.564888,-2.4755201,"('unsympathetic', 'sympathetic')",-1.2947804,-1.0902108,-0.6364161,-0.628113,-1.4986947,-1.3979479,-0.1007468
85,2.3464568,2.2733529,"('insignificant', 'prestigious')",-0.043413684,-0.19065872,0.600929,0.46442783,0.9679907,0.8490407,0.11895
69,2.137338,2.066577,"('lazy', 'industrious')",1.8727298,1.6689348,-0.5969658,-0.6517297,1.1377007,1.0279274,0.1097733
57,-2.0541255,-2.0278585,"('unimaginative', 'imaginative')",-0.8033153,-0.676605,-2.89298,-2.9904425,-1.916807,-1.8983021,-0.0185049
11,-2.0032444,-1.9846443,"('unhelpful', 'helpful')",-0.2589886,-0.16065197,1.7956834,1.8349315,-0.1555165,-0.1034549,-0.0520616
70,-1.987016,-1.9035901,"('lethargic', 'energetic')",-0.31484795,-0.124079965,0.37934923,0.53011477,-0.6408382,-0.4991851,-0.1416531
65,-1.9780939,-1.89104,"('insecure', 'secure')",-0.27310032,-0.10112955,-0.4007354,-0.1841875,-0.8839765,-0.7254523,-0.1585242
14,-1.9333012,-1.833375,"('antisocial', 'social')",0.42282727,0.56123054,-0.9234029,-0.76917225,-0.8112923,-0.6804389,-0.1308534
35,1.847788,1.7205647,"('corrupt', 'incorrupt')",-0.2504586,-0.44974965,-0.043807752,-0.20394115,0.5178405,0.3556247,0.1622158
60,-1.8432847,-1.7303098,"('inefficient', 'efficient')",0.36914545,0.517888,-0.43443826,-0.2589056,-0.6361925,-0.4904425,-0.14575
73,1.7956387,1.645671,"('helpless', 'self-reliant')",0.53007567,0.41522002,-3.0812967,-3.095214,-0.2518608,-0.3447742,0.0929134
5,1.7911357,1.7090468,"('distant', 'outgoing')",0.02137781,-0.090862334,-0.009430792,-0.009661607,0.6010276,0.5361743,0.0648533
86,-1.7243445,-1.7413291,"('uninfluential', 'influential')",-0.25269356,-0.192139,-0.16381645,-0.21618024,-0.7136181,-0.7165495,0.0029314
36,1.7187338,1.5749822,"('hostile', 'amicable')",0.97071517,0.75259554,0.46590453,0.23290807,1.0517844,0.8534952,0.1982892
45,-1.683477,-1.5121064,"('incompetent', 'competent')",-0.2897724,-0.09216839,-0.5789264,-0.5375976,-0.8507253,-0.7139575,-0.1367678
3,-1.6704617,-1.5612503,"('repellent', 'pleasant')",-0.19851619,0.08223389,0.18392333,0.3156162,-0.5616848,-0.3878001,-0.1738847
33,1.6213588,1.522569,"('wrong', 'right')",0.8624215,0.738292,-0.11912689,-0.2331551,0.7882179,0.675902,0.1123159
6,1.5469671,1.4860151,"('distant', 'open')",-0.0847837,-0.15428254,0.5162058,0.43199083,0.6594631,0.5879078,0.0715553
21,-1.5261893,-1.566627,"('immoral', 'moral')",-0.1941198,-0.13896719,-0.8229939,-0.7467396,-0.8477677,-0.8174446,-0.0303231
16,1.5192851,1.4724252,"('unpopular', 'popular')",0.71334696,0.639608,0.85522217,0.81553197,1.0292848,0.9758551,0.0534297
23,-1.4594136,-1.3806698,"('insincere', 'sincere')",-0.7794401,-0.70211303,5.874539,6.0400124,1.2118951,1.3190765,-0.1071814
71,1.4064316,1.4535905,"('diffident', 'self-confident')",0.4841062,0.5091746,0.36727458,0.33258894,0.7526041,0.765118,-0.0125139
79,1.391206,1.3800757,"('wavering', 'unwavering')",0.22014064,0.1623007,0.24626514,0.17234851,0.619204,0.571575,0.047629
52,1.3260363,1.2494613,"('irrational', 'rational')",-0.6383248,-0.7518466,0.31727025,0.18347271,0.3349939,0.2270291,0.1079648
80,-1.283046,-1.1309783,"('dominated', 'dominating')",0.22291687,0.4004842,-1.0615835,-0.8992629,-0.7072376,-0.5432523,-0.1639853
48,-1.2817607,-1.2476298,"('unintelligent', 'intelligent')",-0.6645911,-0.64305526,0.2128491,0.123810455,-0.5778342,-0.5889582,0.011124
24,-1.2490348,-1.31953,"('dishonest', 'honest')",-1.0464951,-1.1329395,0.8859875,0.8586487,-0.4698474,-0.5312735,0.0614261
55,-1.2080281,-1.0672958,"('incompetent', 'clever')",-0.451884,-0.29338935,0.0132670775,0.17906801,-0.5488817,-0.3938724,-0.1550093
59,1.1918712,1.055389,"('foolish', 'wise')",-0.26688614,-0.48545134,0.6028393,0.46281505,0.5092748,0.3442509,0.1650239
72,-1.1847165,-1.1929171,"('unambitious', 'ambitious')",-0.5476988,-0.5661511,-0.882663,-0.8571117,-0.8716927,-0.87206,0.0003673
51,-1.1714483,-1.0916824,"('uneducated', 'educated')",0.7679619,0.8569523,0.626397,0.5932231,0.0743035,0.1194977,-0.0451942
25,1.1561036,1.1296761,"('egoistic', 'altruistic')",0.68233794,0.674161,1.6621977,1.7407141,1.1668798,1.181517,-0.0146372
