,eastman_male,eastman_female,tuple,kodak_male,kodak_female,co_male,co_female,average_male,average_female,male-female
26,2.5749114,2.0500512,"('hardhearted', 'benevolent')",1.4529506,1.0650814,2.04499,1.7745539,2.024284,1.6298955,0.3943885
69,2.4657068,2.2119358,"('lazy', 'industrious')",2.8238466,2.9876516,-1.0144113,-1.0692593,1.4250474,1.3767761,0.0482713
85,2.407266,2.113473,"('insignificant', 'prestigious')",2.9790542,2.8043368,-0.8693675,-0.740077,1.5056508,1.3925775,0.1130733
43,-2.3361876,-1.9096512,"('irresponsible', 'responsible')",-2.6323931,-2.594184,0.27255327,0.26299053,-1.5653424,-1.4136149,-0.1517275
76,-2.2741828,-1.8326089,"('anxious', 'daring')",-1.8586999,-1.7170017,-0.21909824,-0.07889046,-1.4506602,-1.2095004,-0.2411598
36,2.2437308,1.5339001,"('hostile', 'amicable')",2.1144807,1.9357182,-0.07178977,-0.12044669,1.4288073,1.1163905,0.3124168
21,-2.2260575,-1.846888,"('immoral', 'moral')",-2.2275615,-2.101133,-0.61987793,-0.69145125,-1.6911656,-1.5464907,-0.1446749
70,-2.2072806,-1.8080648,"('lethargic', 'energetic')",-2.5892065,-2.4402616,0.29752827,0.16952747,-1.4996529,-1.3595996,-0.1400533
1,2.1731982,1.5964196,"('unfriendly', 'friendly')",0.80063784,0.40604237,1.5220499,1.2839274,1.4986286,1.0954631,0.4031655
10,-2.0654297,-1.752862,"('unsympathetic', 'sympathetic')",-3.1258116,-3.33543,-0.13035122,-0.42185864,-1.7738641,-1.836717,0.0628529
44,-1.9825916,-1.5729035,"('prejudiced', 'unprejudiced')",-1.2279713,-0.6820522,-1.8235006,-1.4073042,-1.6780211,-1.2207534,-0.4572677
65,-1.9524702,-1.3957195,"('insecure', 'secure')",-2.4702964,-2.3085303,0.518073,0.47148114,-1.3015645,-1.0775896,-0.2239749
40,1.8577435,1.5799606,"('stingy', 'generous')",0.44665647,0.23367742,-1.9303647,-2.3684084,0.1246784,-0.1849235,0.3096019
81,-1.8026087,-1.2032757,"('submissive', 'aggressive')",-2.0265863,-1.8417566,-0.29152516,-0.60936743,-1.3735735,-1.2181332,-0.1554403
13,-1.7828095,-1.2077583,"('impolite', 'polite')",-2.0596607,-1.8477026,0.24384715,0.13916497,-1.199541,-0.9720987,-0.2274423
55,-1.773224,-1.4257232,"('incompetent', 'clever')",-2.1710265,-2.2220762,0.42009026,0.1963022,-1.1747201,-1.1504991,-0.024221
46,-1.7527143,-1.6896327,"('uncompetitive', 'competitive')",-2.0636468,-2.2903984,-0.5975877,-0.79948735,-1.4713162,-1.5931727,0.1218565
6,1.7333233,1.304136,"('distant', 'open')",0.7148426,0.5523773,-0.9326418,-1.148917,0.5051747,0.2358654,0.2693093
5,1.7065117,1.4392349,"('distant', 'outgoing')",1.0242996,0.9172265,-1.009462,-1.1427743,0.5737831,0.4045623,0.1692208
33,1.6697575,1.5234782,"('wrong', 'right')",1.2461561,1.4037483,-0.6251693,-0.6254236,0.7635814,0.7672676,-0.0036862
60,-1.6412498,-0.95974755,"('inefficient', 'efficient')",-2.8096948,-2.601503,-0.22066092,-0.27677506,-1.5572017,-1.2793419,-0.2778598
59,1.5715364,1.3770871,"('foolish', 'wise')",1.8350072,1.7035979,-0.16051224,-0.24308987,1.0820105,0.9458651,0.1361454
11,-1.5537533,-1.1576035,"('unhelpful', 'helpful')",-2.0371795,-2.015982,2.4925423,2.5273018,-0.3661302,-0.2154279,-0.1507023
53,1.5253347,1.1729466,"('uncreative', 'creative')",0.2246452,-0.118222654,0.8609028,0.8304787,0.8702943,0.6284009,0.2418934
74,1.4363724,1.4760275,"('undedicated', 'dedicated')",-0.32815287,-0.4059453,0.13856126,0.17903464,0.4155936,0.4163723,-0.0007787
22,-1.4203626,-1.3017138,"('untrustworthy', 'trustworthy')",-1.4217216,-1.3952876,-0.37388882,-0.37067658,-1.071991,-1.0225593,-0.0494317
45,-1.3912169,-1.2333819,"('incompetent', 'competent')",-2.0314987,-2.1540642,-0.47502843,-0.8630365,-1.2992481,-1.4168275,0.1175794
31,1.305235,0.85289645,"('evil', 'good')",1.5485544,1.4021673,-1.3763891,-1.5617491,0.4924667,0.2311049,0.2613618
80,-1.2980319,-0.9555384,"('dominated', 'dominating')",-1.4033843,-1.5042368,-0.1587049,-0.3266758,-0.9533738,-0.928817,-0.0245568
15,1.2797977,1.2593123,"('boring', 'funny')",1.530374,1.725358,1.0583249,1.1179469,1.2894988,1.3675391,-0.0780403
56,-1.2739595,-0.679206,"('impractical', 'practical')",-1.3120509,-1.1389141,-0.36002302,-0.019635081,-0.9820112,-0.6125851,-0.3694261
71,1.2546717,1.4503516,"('diffident', 'self-confident')",0.82792765,0.8911653,0.04070375,0.1251396,0.7077677,0.8222189,-0.1144512
42,-1.227725,-0.79334474,"('unreliable', 'reliable')",-0.84348416,-0.75113815,-3.291627,-3.1253686,-1.787612,-1.5566171,-0.2309949
9,1.2225065,1.0321796,"('unaffectionate', 'caring')",0.215193,-0.024595052,0.76294243,0.6100197,0.7335474,0.5392014,0.194346
62,-1.1950371,-0.84917957,"('incompetent', 'brilliant')",-1.5436884,-1.4667441,-0.06078764,-0.15260904,-0.9331711,-0.8228443,-0.1103268
30,-1.1580411,-0.7056239,"('intolerant', 'tolerant')",-1.0004671,-0.8105433,0.61354613,0.66328245,-0.5149874,-0.2842949,-0.2306925
52,1.147011,0.7084203,"('irrational', 'rational')",0.8581737,0.8175538,-0.3048436,-0.41988382,0.5667803,0.3686967,0.1980836
0,-1.1247209,-0.9242229,"('unsociable', 'sociable')",-1.5633411,-1.6966213,0.11243478,-0.13952607,-0.8585424,-0.9201234,0.061581
63,-1.122154,-1.1608466,"('unperceptive', 'insightful')",-1.1533178,-1.411217,0.3816148,-0.04073255,-0.6312856,-0.870932,0.2396464
64,-1.108654,-0.8054664,"('shy', 'confident')",-1.9055349,-1.6081735,-6.1263537,-5.7814336,-3.0468477,-2.7316914,-0.3151563
3,-1.0937724,-0.90709186,"('repellent', 'pleasant')",-1.2626364,-1.4501371,0.68935186,0.6775144,-0.5556857,-0.5599049,0.0042192
8,1.0112619,0.5509818,"('unaffectionate', 'affectionate')",0.38537225,0.053085595,0.4138078,0.18046865,0.6034807,0.261512,0.3419687
35,1.0040746,0.6776058,"('corrupt', 'incorrupt')",1.8374366,1.8262479,-0.90683967,-0.79796743,0.6448905,0.5686288,0.0762617
2,0.98344934,1.2500226,"('unlikable', 'likable')",0.49748066,0.77456343,1.0783609,1.2499295,0.853097,1.0915052,-0.2384082
18,0.9471015,1.0353856,"('disagreeable', 'welcoming')",0.6344973,0.856401,-0.80740565,-0.7145763,0.2580644,0.3924034,-0.134339
82,-0.944398,-0.979503,"('poor', 'rich')",-0.95751,-1.1666186,6.0353236,6.045125,1.3778052,1.2996678,0.0781374
4,0.91936916,0.67932695,"('disliked', 'liked')",1.1829996,1.1004683,-6.639432,-6.2700725,-1.5123544,-1.4967591,-0.0155953
14,-0.88403213,-0.42728475,"('antisocial', 'social')",-1.0858747,-0.9783355,0.22056222,0.23139426,-0.5831149,-0.3914086,-0.1917063
