,honeywell_male,honeywell_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.9062253,-1.8230761,"('unsympathetic', 'sympathetic')",-1.0622201,-1.0451016,-0.72334653,-0.949373,-1.2305973,-1.272517,0.0419197
69,1.6872679,1.6934205,"('lazy', 'industrious')",1.7522582,1.7328682,-0.147367,0.00030536577,1.0973864,1.142198,-0.0448116
3,-1.4816312,-1.391445,"('repellent', 'pleasant')",-0.34742427,-0.33779925,0.08752929,0.072657876,-0.5805087,-0.5521955,-0.0283132
77,-1.4677309,-1.4117757,"('unmotivated', 'motivated')",-0.387304,-0.4356259,-1.3716186,-1.3495846,-1.0755512,-1.0656621,-0.0098891
57,-1.4299039,-1.6891309,"('unimaginative', 'imaginative')",-0.30699086,-0.35608217,-2.4295137,-2.4638536,-1.3888028,-1.5030222,0.1142194
82,-1.3752654,-1.0689999,"('poor', 'rich')",-1.3410751,-0.91867507,5.299323,5.4198437,0.8609942,1.1440562,-0.283062
70,-1.3509265,-1.3360156,"('lethargic', 'energetic')",0.30194968,0.28121758,0.39551237,0.36168987,-0.2178215,-0.231036,0.0132145
86,-1.3420601,-1.5096209,"('uninfluential', 'influential')",-0.53694236,-0.5416592,-0.65726143,-0.7944851,-0.8454213,-0.9485884,0.1031671
72,-1.300318,-1.2133735,"('unambitious', 'ambitious')",-0.31129086,-0.32055384,-1.3158381,-1.3059126,-0.9758156,-0.9466133,-0.0292023
35,1.2105591,1.2655101,"('corrupt', 'incorrupt')",-0.2823251,-0.104519956,0.12543553,0.1682086,0.3512232,0.4430662,-0.091843
65,-1.1647263,-1.0486683,"('insecure', 'secure')",0.1372631,0.12712479,-0.5343761,-0.57611614,-0.5206131,-0.4992199,-0.0213932
71,1.1575028,1.3295375,"('diffident', 'self-confident')",0.8624129,0.80840886,0.6533779,0.5517244,0.8910979,0.8965569,-0.005459
43,-1.1487916,-1.0064198,"('irresponsible', 'responsible')",0.14815274,0.1466522,0.2339832,0.31447726,-0.2555519,-0.1817634,-0.0737885
33,1.1114935,1.1927296,"('wrong', 'right')",0.83791983,0.68499875,-0.36265236,-0.2646002,0.5289203,0.5377094,-0.0087891
21,-1.1026037,-0.9054875,"('immoral', 'moral')",-0.100769065,-0.0010105465,-1.1184272,-0.986739,-0.7739333,-0.631079,-0.1428543
81,-1.0832627,-0.9947885,"('submissive', 'aggressive')",0.18459663,0.31377423,-1.1410124,-1.0782286,-0.6798929,-0.5864143,-0.0934786
85,1.0467199,0.89794725,"('insignificant', 'prestigious')",-0.44802544,-0.32625213,0.82833356,0.8666652,0.475676,0.4794534,-0.0037774
51,-1.0047289,-1.103202,"('uneducated', 'educated')",0.31332886,0.34515762,0.17923295,0.07546296,-0.1707224,-0.2275271,0.0568047
87,0.94874173,0.9242831,"('unsuccessful', 'successful')",1.2782383,1.2344419,1.0555145,1.0624212,1.0941648,1.0737154,0.0204494
