,pfizer_male,pfizer_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-3.8084989,-3.6922505,"('unsympathetic', 'sympathetic')",-0.5710085,-0.65601206,-2.1897538,-2.1741314,-0.0156224
46,-2.8398015,-2.9656615,"('uncompetitive', 'competitive')",-0.89351594,-1.1959652,-1.8666587,-2.0808134,0.2141547
35,2.7799528,2.7492719,"('corrupt', 'incorrupt')",0.14588335,0.16503727,1.462918,1.4571545,0.0057635
85,2.7764332,2.9101937,"('insignificant', 'prestigious')",1.2151158,1.5019108,1.9957745,2.2060523,-0.2102778
69,2.5584035,2.6606097,"('lazy', 'industrious')",-0.62831974,-0.20581901,0.9650419,1.2273953,-0.2623534
11,-2.5475476,-2.5788217,"('unhelpful', 'helpful')",1.4714899,1.3269593,-0.5380288,-0.6259312,0.0879024
23,-2.353433,-2.3365505,"('insincere', 'sincere')",5.7690115,5.3633575,1.7077893,1.5134035,0.1943858
45,-2.304992,-2.3511698,"('incompetent', 'competent')",-0.37686923,-0.46937725,-1.3409306,-1.4102736,0.069343
57,-2.2324116,-2.2122257,"('unimaginative', 'imaginative')",-2.6931655,-2.6829042,-2.4627886,-2.4475651,-0.0152235
70,-2.1571295,-2.1228247,"('lethargic', 'energetic')",0.3928634,0.30169025,-0.8821331,-0.9105672,0.0284341
86,-2.1380606,-2.0239148,"('uninfluential', 'influential')",-0.29304248,-0.30682832,-1.2155515,-1.1653715,-0.05018
0,-2.122478,-2.0514474,"('unsociable', 'sociable')",-0.43343672,-0.5500179,-1.2779573,-1.3007326,0.0227753
65,-2.11592,-2.1216881,"('insecure', 'secure')",-0.40112117,-0.40363324,-1.2585206,-1.2626607,0.0041401
13,-2.1003551,-2.1155727,"('impolite', 'polite')",-0.6637246,-0.7323507,-1.3820399,-1.4239616,0.0419217
43,-2.0522065,-1.9530833,"('irresponsible', 'responsible')",0.60777587,0.59508514,-0.7222153,-0.6789991,-0.0432162
55,-2.000963,-1.8755974,"('incompetent', 'clever')",0.022501498,0.02443657,-0.9892308,-0.9255804,-0.0636504
3,-1.9229654,-1.9839634,"('repellent', 'pleasant')",-0.22490662,-0.17879833,-1.073936,-1.0813808,0.0074448
30,-1.9060701,-1.7601541,"('intolerant', 'tolerant')",0.9855581,1.0534943,-0.460256,-0.3533299,-0.1069261
21,-1.8875444,-1.7982036,"('immoral', 'moral')",-1.1540045,-1.0357803,-1.5207744,-1.4169919,-0.1037825
60,-1.8341774,-1.8090369,"('inefficient', 'efficient')",0.19006048,0.11632135,-0.8220584,-0.8463578,0.0242994
6,1.8335632,1.9250145,"('distant', 'open')",0.76097983,0.8359007,1.2972715,1.3804576,-0.0831861
7,-1.8041617,-1.6077741,"('insensitive', 'sensitive')",0.60045135,0.54343283,-0.6018552,-0.5321707,-0.0696845
22,-1.7793175,-1.7093861,"('untrustworthy', 'trustworthy')",-1.3387722,-1.1268588,-1.5590448,-1.4181225,-0.1409223
24,-1.7719241,-1.6696587,"('dishonest', 'honest')",0.58212125,0.62499946,-0.5949014,-0.5223296,-0.0725718
