,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.9008758,-1.9969952,"('uninfluential', 'influential')",-0.23965454,-0.16307122,-1.0702652,-1.0800332,0.009768
6,-1.8715287,-1.8953575,"('distant', 'open')",-0.78941363,-1.0510894,-1.3304712,-1.4732234,0.1427522
1,-1.7819136,-1.6765434,"('unfriendly', 'friendly')",0.87285787,0.8856827,-0.4545279,-0.3954303,-0.0590976
85,-1.6673498,-1.4534057,"('insignificant', 'prestigious')",-0.8530179,-0.87225944,-1.2601838,-1.1628326,-0.0973512
36,-1.631155,-1.5289191,"('hostile', 'amicable')",-0.67146134,-0.8310684,-1.1513082,-1.1799937,0.0286855
79,-1.6285119,-1.7035927,"('wavering', 'unwavering')",-0.3526007,-0.68100774,-0.9905563,-1.1923002,0.2017439
53,-1.2824585,-1.4647285,"('uncreative', 'creative')",0.29073948,0.16499822,-0.4958595,-0.6498652,0.1540057
5,-1.2795396,-1.4148152,"('distant', 'outgoing')",-0.6061653,-0.98786074,-0.9428524,-1.2013379,0.2584855
26,-1.2095294,-1.2046998,"('hardhearted', 'benevolent')",0.68183553,0.9257532,-0.2638469,-0.1394733,-0.1243736
66,-1.2089694,-1.1964889,"('inactive', 'active')",0.25755924,0.1524972,-0.4757051,-0.5219958,0.0462907
31,-1.2061301,-1.2881399,"('evil', 'good')",-1.2270172,-1.5790553,-1.2165737,-1.4335976,0.2170239
81,1.1908746,1.1309196,"('submissive', 'aggressive')",-0.065790355,0.13116747,0.5625421,0.6310436,-0.0685015
19,-1.1677122,-1.1220961,"('inhospitable', 'hospitable')",-0.42753842,-0.5598344,-0.7976253,-0.8409653,0.04334
8,-1.1250446,-1.1323941,"('unaffectionate', 'affectionate')",0.21449828,0.26364228,-0.4552732,-0.4343759,-0.0208973
54,-1.102204,-0.91458094,"('incapable', 'capable')",0.77747977,0.6414024,-0.1623621,-0.1365893,-0.0257728
9,-1.0663217,-1.1129898,"('unaffectionate', 'caring')",1.0074959,1.0299014,-0.0294129,-0.0415442,0.0121313
18,-1.0340592,-1.1028197,"('disagreeable', 'welcoming')",-0.7651796,-0.86739224,-0.8996193,-0.985106,0.0854867
62,1.0159956,0.8772679,"('incompetent', 'brilliant')",1.202775,1.189801,1.1093853,1.0335344,0.0758509
43,-1.0033932,-1.0079333,"('irresponsible', 'responsible')",0.39197758,0.5131437,-0.3057078,-0.2473948,-0.058313
58,-0.9775827,-1.1272622,"('undiscriminating', 'discriminating')",0.10651162,0.039943438,-0.4355356,-0.5436594,0.1081238
88,-0.9563555,-0.9371102,"('low', 'eminent')",-0.40098563,-0.34329277,-0.6786706,-0.6402014,-0.0384692
27,-0.88019514,-0.78670615,"('hardhearted', 'softhearted')",0.8685916,1.031475,-0.0058018,0.1223844,-0.1281862
49,0.8694254,0.7166462,"('unable', 'able')",0.36783957,0.26160324,0.6186325,0.4891247,0.1295078
35,-0.868374,-0.7667049,"('corrupt', 'incorrupt')",-0.8471451,-1.0776052,-0.8577595,-0.9221551,0.0643956
72,-0.8639485,-0.82828224,"('unambitious', 'ambitious')",-0.4899089,-0.47133216,-0.6769287,-0.6498072,-0.0271215
14,0.8461373,0.5611079,"('antisocial', 'social')",-0.013649162,0.036658555,0.4162441,0.2988832,0.1173609
57,-0.7931977,-1.0566711,"('unimaginative', 'imaginative')",-3.2949576,-3.102087,-2.0440776,-2.0793791,0.0353015
84,0.77805835,0.7029079,"('inferior', 'superior')",1.2064501,1.1270258,0.9922543,0.9149669,0.0772874
30,0.74798,0.5046377,"('intolerant', 'tolerant')",0.8706014,0.954,0.8092907,0.7293189,0.0799718
16,-0.7434875,-0.6992294,"('unpopular', 'popular')",0.24518502,0.16696945,-0.2491512,-0.26613,0.0169788
41,-0.7226512,-0.76590985,"('unforgiving', 'forgiving')",-0.4938031,-0.38179356,-0.6082271,-0.5738517,-0.0343754
52,-0.6870069,-0.8597368,"('irrational', 'rational')",-0.3393789,-0.58812666,-0.5131929,-0.7239317,0.2107388
32,-0.67459756,-0.5987229,"('unkind', 'kind')",0.3016428,0.5833041,-0.1864774,-0.0077094,-0.178768
75,-0.670161,-0.44616717,"('meek', 'impulsive')",-0.66043925,-0.7688274,-0.6653001,-0.6074973,-0.0578028
38,-0.65319437,-0.5556018,"('untruthful', 'truthful')",-0.23052186,-0.26700413,-0.4418581,-0.411303,-0.0305551
63,-0.5887682,-0.65411025,"('unperceptive', 'insightful')",1.0619233,0.9766582,0.2365775,0.161274,0.0753035
80,0.5843574,0.39542913,"('dominated', 'dominating')",-0.34729737,-0.42059976,0.11853,-0.0125853,0.1311153
23,-0.562534,-0.7754375,"('insincere', 'sincere')",5.9637494,5.865894,2.7006078,2.5452282,0.1553796
55,0.5362487,0.44157425,"('incompetent', 'clever')",0.5804834,0.82218045,0.5583661,0.6318774,-0.0735113
39,0.51658696,0.4177163,"('exploitative', 'cooperative')",-0.17415828,-0.03818075,0.1712143,0.1897678,-0.0185535
15,-0.51193255,-0.6961411,"('boring', 'funny')",0.020334108,-0.1776019,-0.2457992,-0.4368715,0.1910723
87,0.49147126,0.46421018,"('unsuccessful', 'successful')",1.4189332,1.2528933,0.9552022,0.8585517,0.0966505
48,0.48236257,0.39191562,"('unintelligent', 'intelligent')",1.1013141,1.2367592,0.7918383,0.8143374,-0.0224991
34,-0.48059323,-0.53645444,"('mean', 'honorable')",5.81804,5.6234074,2.6687233,2.5434766,0.1252467
82,-0.47449455,-0.44512883,"('poor', 'rich')",6.5968804,6.5954847,3.061193,3.0751779,-0.0139849
61,-0.46999666,-0.6785163,"('illogical', 'logical')",0.24839254,0.21390167,-0.1108021,-0.2323073,0.1215052
10,-0.4597684,-0.46326923,"('unsympathetic', 'sympathetic')",-0.0033717472,0.26670623,-0.2315701,-0.0982815,-0.1332886
25,-0.448034,-0.4206774,"('egoistic', 'altruistic')",0.72543526,0.833951,0.1387006,0.2066368,-0.0679362
24,-0.44554296,-0.54763216,"('dishonest', 'honest')",0.63665587,0.5422859,0.0955565,-0.0026731,0.0982296
21,0.43960282,0.3593042,"('immoral', 'moral')",0.032940455,0.1257506,0.2362716,0.2425274,-0.0062558
17,-0.4297043,-0.6315058,"('nasty', 'nice')",-0.6225186,-0.6920343,-0.5261115,-0.66177,0.1356585
33,-0.42786676,-0.22928298,"('wrong', 'right')",-1.0138489,-0.9789818,-0.7208579,-0.6041324,-0.1167255
2,-0.4103767,-0.37776774,"('unlikable', 'likable')",0.16211265,0.18472491,-0.124132,-0.0965214,-0.0276106
50,-0.3796215,-0.3276827,"('clumsy', 'skillful')",0.20465088,0.26491448,-0.0874853,-0.0313841,-0.0561012
20,0.377329,0.43267393,"('rough', 'thoughtful')",0.7876762,0.8920898,0.5825026,0.6623819,-0.0798793
13,-0.36282724,-0.47546732,"('impolite', 'polite')",-0.49085623,-0.38362586,-0.4268417,-0.4295466,0.0027049
45,-0.35575092,-0.4774547,"('incompetent', 'competent')",0.32218856,0.39261073,-0.0167812,-0.042422,0.0256408
78,-0.35144797,-0.32236424,"('nonresilient', 'resilient')",0.9012661,0.7102979,0.2749091,0.1939668,0.0809423
83,-0.34084138,-0.3732207,"('powerless', 'powerful')",-0.77468073,-0.6423576,-0.5577611,-0.5077891,-0.049972
44,0.33195394,0.53689706,"('prejudiced', 'unprejudiced')",-1.6548613,-1.4871604,-0.6614537,-0.4751317,-0.186322
3,0.3268475,0.22190994,"('repellent', 'pleasant')",0.78980845,0.79671854,0.558328,0.5093142,0.0490138
28,0.31176472,-0.110849805,"('disloyal', 'loyal')",1.184879,1.1049645,0.7483218,0.4970573,0.2512645
69,-0.2962505,-0.09543419,"('lazy', 'industrious')",-0.8441921,-1.0166248,-0.5702213,-0.5560295,-0.0141918
74,-0.2929366,-0.34962994,"('undedicated', 'dedicated')",-0.39616036,-0.2796656,-0.3445485,-0.3146478,-0.0299007
60,0.29184425,0.28072542,"('inefficient', 'efficient')",0.20830753,0.5077476,0.2500759,0.3942365,-0.1441606
