,twenty_male,twenty_female,tuple,first_male,first_female,century_male,century_female,fox_male,fox_female,inc_male,inc_female,average_male,average_female,male-female
85,-2.4199526,-3.7428172,"('insignificant', 'prestigious')",1.4341261,1.1299379,1.7270553,1.6817207,0.12049618,-0.041644365,0.16491774,0.20226175,0.2053285,-0.1541082,0.3594367
80,2.0772252,2.7135344,"('dominated', 'dominating')",-0.2638767,-0.2951006,-0.8491494,-1.0255002,-0.15062717,-0.27105248,-1.2492647,-1.2883614,-0.0871386,-0.0332961,-0.0538425
79,-1.9827893,-2.7750037,"('wavering', 'unwavering')",2.2072535,1.8471658,0.51606995,0.6091912,-0.74871176,-0.8107897,-0.12828691,-0.024760356,-0.0272929,-0.2308393,0.2035464
31,-1.7714658,-2.5960457,"('evil', 'good')",1.4034884,1.024895,0.6501459,0.6704577,-0.91493446,-1.03289,-1.492321,-1.6310289,-0.4250174,-0.7129224,0.287905
4,-1.6953318,-2.2333708,"('disliked', 'liked')",0.81769943,0.9367535,0.16347016,0.14409165,-1.3935901,-1.4026917,-6.5246897,-6.6725817,-1.7264885,-1.8455597,0.1190712
8,-1.6593224,-2.1568956,"('unaffectionate', 'affectionate')",-0.91896087,-0.9995106,0.36556876,0.33053863,0.43920207,0.25132737,0.41497472,0.34360737,-0.2717076,-0.4461866,0.174479
18,-1.638371,-1.7173399,"('disagreeable', 'welcoming')",0.79073095,0.7368965,-0.7577054,-0.81619567,-0.5336585,-0.7297299,-0.53584576,-0.5935496,-0.5349699,-0.6239837,0.0890138
16,-1.6341482,-2.1079767,"('unpopular', 'popular')",-0.098436825,-0.23492643,-0.47574812,-0.8177874,-0.8239189,-1.0340612,0.37515232,0.12750994,-0.5314199,-0.8134483,0.2820284
37,1.4776586,1.9473703,"('fake', 'genuine')",0.73152864,0.9565644,0.66175574,0.95077085,-0.2207831,-0.0073029026,0.31553543,0.38742787,0.5931391,0.8469661,-0.253827
52,-1.2861154,-2.2902515,"('irrational', 'rational')",0.50149196,0.18113247,1.151964,0.920474,-0.29654628,-0.47514185,-0.123971865,-0.2869102,-0.0106355,-0.3901394,0.3795039
50,-1.2399378,-1.6564376,"('clumsy', 'skillful')",1.2397,1.2249013,-0.32922685,-0.3593466,-0.9342172,-1.0866922,0.47641894,0.43287653,-0.1574526,-0.2889397,0.1314871
28,-1.225035,-1.0591246,"('disloyal', 'loyal')",-1.3161764,-1.2190151,-1.1163683,-1.1462156,0.1179671,-0.0007038787,0.5950695,0.56297237,-0.5889086,-0.5724173,-0.0164913
36,-1.2218564,-2.2445693,"('hostile', 'amicable')",1.192035,0.9562963,1.1626122,1.4265039,-0.41637218,-0.53199357,-0.33261526,-0.39361104,0.0767607,-0.1574747,0.2342354
74,1.1697128,1.453422,"('undedicated', 'dedicated')",-0.0041605905,-0.090131044,-0.91971433,-0.83865005,0.23575148,0.3511646,-0.17650764,-0.2329163,0.0610163,0.1285778,-0.0675615
55,1.0721259,1.9567505,"('incompetent', 'clever')",-2.7726862,-2.8623524,-1.481093,-1.5302012,0.60265255,0.7209098,0.10834756,-0.06724237,-0.4941307,-0.3564271,-0.1377036
46,1.0681665,2.2038157,"('uncompetitive', 'competitive')",-1.3018428,-1.0083086,-2.867256,-2.9666152,0.14168322,0.26848102,-0.36224037,-0.44166046,-0.6642979,-0.3888575,-0.2754404
58,-0.9369074,-0.9460076,"('undiscriminating', 'discriminating')",-1.0114007,-1.2107986,-1.2099869,-1.4117197,0.25527224,0.2243127,0.2648837,0.24297363,-0.5276278,-0.6202479,0.0926201
10,-0.9152796,0.031144492,"('unsympathetic', 'sympathetic')",-2.8588943,-2.6392348,-2.8234966,-2.902706,-0.33693126,-0.38242948,-0.16809656,-0.280536,-1.4205397,-1.2347525,-0.1857872
41,-0.89960706,-0.93845105,"('unforgiving', 'forgiving')",-1.3831267,-1.3089114,-1.2678485,-1.5024887,0.22301872,0.016534997,-0.23018332,-0.4868986,-0.7115494,-0.844043,0.1324936
59,-0.8981202,-1.5966599,"('foolish', 'wise')",1.2206104,1.0586927,0.90451896,1.0187743,-0.015152385,0.0020398013,0.4315202,0.5429071,0.3286754,0.2051508,0.1235246
68,0.88045794,1.1661389,"('dependent', 'independent')",1.0031271,0.8064774,-0.7690461,-0.69462675,-1.2698783,-1.0426909,-0.20855716,-0.124595016,-0.0727793,0.0221407,-0.09492
6,-0.83914065,-1.4947618,"('distant', 'open')",2.1370242,2.0836399,0.87991595,0.93004405,-0.27028346,-0.28846446,0.40485108,0.49035034,0.4624734,0.3441616,0.1183118
54,-0.83248067,-0.76040035,"('incapable', 'capable')",0.60836464,0.55797476,0.3566751,0.39896882,0.5852409,0.5733444,1.3023562,1.688952,0.4040312,0.4917679,-0.0877367
1,-0.82979363,-1.2339721,"('unfriendly', 'friendly')",-1.4789581,-1.6577352,-0.43440443,-0.69930995,1.2118529,0.8551082,1.739924,1.5590156,0.0417241,-0.2353787,0.2771028
19,-0.8060714,-1.0919081,"('inhospitable', 'hospitable')",0.91656786,0.8157381,1.6458459,1.8920838,-0.7631771,-0.6990677,-0.14971064,-0.016026452,0.1686909,0.1801639,-0.011473
23,0.7907921,1.4068571,"('insincere', 'sincere')",-1.8697568,-1.7455434,-1.0374281,-1.0437826,1.0462949,1.0155982,5.921399,5.8280234,0.9702602,1.0922306,-0.1219704
20,0.7882091,1.3291824,"('rough', 'thoughtful')",-0.082589254,0.057459444,0.22012347,0.38825625,-0.091979496,0.10975721,1.4326459,1.3309845,0.4532819,0.6431279,-0.189846
38,-0.77066916,-0.9785639,"('untruthful', 'truthful')",-1.1691723,-1.2823408,-0.7120899,-0.68098176,-0.06257067,0.0889468,0.07329169,0.18595919,-0.528242,-0.5333961,0.0051541
15,0.76548475,0.43792486,"('boring', 'funny')",1.4457517,1.2236527,2.3753085,2.326713,1.9502943,1.7260249,0.6722449,0.67635816,1.4418169,1.2781347,0.1636822
57,-0.75353813,-0.21369427,"('unimaginative', 'imaginative')",-1.8317608,-1.780637,-2.047661,-1.9980581,-0.13097496,-0.21408999,-2.6403377,-2.8215501,-1.4808546,-1.4056059,-0.0752487
13,0.74976397,1.3243976,"('impolite', 'polite')",-2.006578,-1.9514488,-2.0780916,-2.112551,-0.42384636,-0.68447655,0.08114781,-0.03472589,-0.7355208,-0.6917609,-0.0437599
56,0.6699512,1.412138,"('impractical', 'practical')",-1.4816444,-1.4585172,-0.7119663,-0.62025833,1.2428306,1.4104555,0.28277788,0.23609494,0.0003898,0.1959826,-0.1955928
7,0.6682909,1.152247,"('insensitive', 'sensitive')",-1.2789792,-1.0934056,-1.032783,-0.9880119,0.121886626,0.20899652,0.5910128,0.51623225,-0.1861144,-0.0407884,-0.145326
27,0.6682803,0.8789444,"('hardhearted', 'softhearted')",-0.13316295,-0.089317635,-0.5835607,-0.4754208,-0.7239407,-0.6848368,1.2138548,1.175218,0.0882942,0.1609174,-0.0726232
62,0.66377264,1.5236543,"('incompetent', 'brilliant')",-2.494739,-2.4102185,-1.172047,-1.181112,1.0768542,1.3231258,0.62708235,0.7484388,-0.2598154,0.0007777,-0.2605931
76,0.6550809,1.4828064,"('anxious', 'daring')",-1.0532879,-0.7528074,-1.4481114,-1.4551364,0.49361777,0.65819293,0.55055964,0.60761803,-0.1604282,0.1081347,-0.2685629
5,-0.65057594,-1.3184254,"('distant', 'outgoing')",0.6810159,0.6098828,0.8065798,0.77492887,-0.28887242,-0.36392048,0.060695264,0.15219851,0.1217685,-0.0290671,0.1508356
14,-0.63384765,-0.07335957,"('antisocial', 'social')",-2.9664001,-2.789236,-1.7364823,-1.9122907,0.7282418,0.52670616,-1.1109759,-1.3100822,-1.1438928,-1.1116524,-0.0322404
11,0.6244106,1.1302282,"('unhelpful', 'helpful')",-2.1092699,-2.1568286,-0.8009456,-0.6740772,0.48240307,0.590873,2.226009,2.2014878,0.0845214,0.2183366,-0.1338152
65,0.6166445,1.2743665,"('insecure', 'secure')",-1.5583949,-1.6080514,-1.7385527,-1.8378311,0.10535285,0.12001702,0.14182918,0.023409003,-0.4866242,-0.405618,-0.0810062
21,0.6130012,1.3104311,"('immoral', 'moral')",0.047792822,0.14905483,-1.3252822,-1.3978996,0.8232617,0.908174,-0.7932208,-0.8903483,-0.1268895,0.0158824,-0.1427719
