,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
85,1.9287928,2.3671234,"('insignificant', 'prestigious')",-1.0352851,-0.44248253,0.4467539,0.9623204,-0.5155665
71,1.7524657,1.9313954,"('diffident', 'self-confident')",1.0945706,1.4902611,1.4235182,1.7108283,-0.2873101
2,1.69866,1.37416,"('unlikable', 'likable')",0.39914912,0.5016713,1.0489045,0.9379157,0.1109888
30,1.6568749,1.2821996,"('intolerant', 'tolerant')",1.9715775,1.4884075,1.8142262,1.3853035,0.4289227
26,1.6375672,2.2444386,"('hardhearted', 'benevolent')",0.9416897,1.5394213,1.2896285,1.89193,-0.6023015
12,1.5738521,2.0915596,"('unsupportive', 'supportive')",-0.9390168,-0.52195895,0.3174176,0.7848004,-0.4673828
15,1.4487392,1.2168887,"('boring', 'funny')",0.57303303,0.07668236,1.0108861,0.6467855,0.3641006
34,1.3593287,1.6447282,"('mean', 'honorable')",5.145005,5.1062536,3.252167,3.3754909,-0.1233239
23,1.3484702,1.1291063,"('insincere', 'sincere')",7.5958304,7.142295,4.4721503,4.1357007,0.3364496
86,-1.326739,-0.57471424,"('uninfluential', 'influential')",0.007015832,0.4204716,-0.6598616,-0.0771213,-0.5827403
37,-1.292707,-0.5950232,"('fake', 'genuine')",0.20337309,0.70048463,-0.5446669,0.0527307,-0.5973976
31,-1.2829183,-0.98952067,"('evil', 'good')",-2.3785028,-1.6308525,-1.8307106,-1.3101866,-0.520524
73,1.2810996,1.223168,"('helpless', 'self-reliant')",-3.941324,-3.4327466,-1.3301122,-1.1047893,-0.2253229
9,1.279272,2.134573,"('unaffectionate', 'caring')",1.2265426,2.120883,1.2529073,2.127728,-0.8748207
22,-1.2204934,-1.1915724,"('untrustworthy', 'trustworthy')",-0.5803548,-0.6722135,-0.9004241,-0.931893,0.0314689
43,1.2119912,1.2083648,"('irresponsible', 'responsible')",2.1053026,1.8769606,1.6586468,1.5426627,0.1159841
39,1.1962035,1.452284,"('exploitative', 'cooperative')",0.7062218,0.7383001,0.9512126,1.0952921,-0.1440795
83,1.1933964,1.1607194,"('powerless', 'powerful')",-0.19440864,-0.1458199,0.4994939,0.5074497,-0.0079558
68,-1.1513929,-1.0508777,"('dependent', 'independent')",-1.289044,-1.3274875,-1.2202184,-1.1891825,-0.0310359
45,-1.0224273,-1.1076521,"('incompetent', 'competent')",0.598127,0.606815,-0.2121502,-0.2504185,0.0382683
80,-0.9730927,-1.0485716,"('dominated', 'dominating')",-0.14492664,-0.4350267,-0.5590097,-0.7417991,0.1827894
54,0.9711001,0.7222168,"('incapable', 'capable')",1.1078112,1.3142395,1.0394557,1.0182282,0.0212275
29,-0.96957266,-0.94658995,"('unfair', 'fair')",-1.2013031,-1.0714206,-1.0854379,-1.0090053,-0.0764326
33,0.9678432,1.2704806,"('wrong', 'right')",-0.07341023,0.48018968,0.4472165,0.8753352,-0.4281187
56,0.94963586,0.26625642,"('impractical', 'practical')",1.7031451,0.8374703,1.3263905,0.5518634,0.7745271
59,0.94447505,0.75365895,"('foolish', 'wise')",-0.13901602,0.36414605,0.4027295,0.5589025,-0.156173
88,0.9301996,0.3560701,"('low', 'eminent')",0.5205871,-0.092758425,0.7253934,0.1316558,0.5937376
16,-0.896153,-1.3316324,"('unpopular', 'popular')",0.11932696,0.066912815,-0.388413,-0.6323598,0.2439468
69,0.87481093,0.6274548,"('lazy', 'industrious')",-1.5226285,-0.8487236,-0.3239088,-0.1106344,-0.2132744
5,0.840234,0.95586526,"('distant', 'outgoing')",-0.8623803,-0.30599463,-0.0110732,0.3249353,-0.3360085
