,lilly_male,lilly_female,tuple,eli_male,eli_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
5,2.391829,3.5934188,"('distant', 'outgoing')",1.1598629,1.6481911,0.58746475,0.68865925,-0.14971486,0.11433248,0.9973605,1.5111505,-0.51379
6,2.2073894,3.2704875,"('distant', 'open')",1.6300932,2.0675523,0.8475429,1.0960776,0.091389455,0.5681802,1.1941037,1.7505744,-0.5564707
3,-2.069888,-2.3671677,"('repellent', 'pleasant')",-1.703664,-1.6911179,-1.4690896,-1.5220467,0.38928056,0.2387264,-1.2133403,-1.3354014,0.1220611
71,1.9393874,2.5622494,"('diffident', 'self-confident')",1.6437727,2.0013003,0.34371176,0.6899605,0.12378693,0.50088423,1.0126648,1.4385986,-0.4259338
35,1.7908678,2.8920774,"('corrupt', 'incorrupt')",0.26639265,0.78910255,0.6004405,0.8466935,0.1293265,0.80546004,0.6967569,1.3333334,-0.6365765
9,1.777734,2.2164044,"('unaffectionate', 'caring')",1.4705724,1.7541631,0.6810692,0.9619753,1.2754688,1.4552827,1.3012111,1.5969564,-0.2957453
46,-1.7537788,-2.5240495,"('uncompetitive', 'competitive')",-0.5945563,-0.8679068,-0.981478,-0.74357176,-0.40824223,-0.6113719,-0.9345138,-1.186725,0.2522112
57,-1.7299767,-2.0793154,"('unimaginative', 'imaginative')",-1.8591312,-2.0144453,-1.383339,-1.3925134,-3.088119,-2.9235377,-2.0151415,-2.1024528,0.0873113
85,1.6466271,3.307986,"('insignificant', 'prestigious')",0.47551268,1.2929776,1.8434111,2.5717132,0.7504212,1.6338366,1.178993,2.2016284,-1.0226354
68,-1.4857074,-1.4479624,"('dependent', 'independent')",-1.1599143,-1.0552095,-1.2606578,-1.3665257,-1.733492,-1.7032616,-1.4099429,-1.3932397,-0.0167032
69,1.4787314,2.136056,"('lazy', 'industrious')",0.8622423,1.4477724,1.5118334,1.5913315,0.070174195,0.7810196,0.9807453,1.4890449,-0.5082996
76,-1.4007211,-1.8473465,"('anxious', 'daring')",-1.645817,-1.9177469,0.16833034,0.111655176,-0.21920408,-0.46538976,-0.774353,-1.029707,0.255354
65,-1.3819325,-2.2117355,"('insecure', 'secure')",-1.6346117,-1.7938455,-0.6254775,-0.6738913,-0.8693542,-1.2804296,-1.127844,-1.4899755,0.3621315
79,1.3677527,2.0070202,"('wavering', 'unwavering')",0.92645043,1.1277689,1.0681524,1.37166,0.47066873,0.73885244,0.9582561,1.3113253,-0.3530692
45,-1.3517877,-2.362674,"('incompetent', 'competent')",-0.90541327,-1.3812886,-0.69723135,-0.9273079,-0.98769027,-1.3875985,-0.9855306,-1.5147173,0.5291867
10,-1.3213918,-1.9819435,"('unsympathetic', 'sympathetic')",-0.9398629,-1.2759905,-1.0966798,-0.9414126,-0.06782393,-0.42268702,-0.8564396,-1.1555084,0.2990688
26,1.2919842,1.6900151,"('hardhearted', 'benevolent')",2.006152,2.092804,2.522499,2.4356916,1.4289505,1.5611604,1.8123965,1.9449178,-0.1325213
0,-1.2771587,-1.7458916,"('unsociable', 'sociable')",-0.21521403,-0.55593145,0.10033657,0.06594508,-0.27516502,-0.50560623,-0.4168003,-0.685371,0.2685707
59,1.2713811,1.6780429,"('foolish', 'wise')",1.1604478,1.270111,1.4823844,1.4899268,-0.24942277,-0.14855745,0.9161977,1.0723808,-0.1561831
33,1.2699347,1.8131877,"('wrong', 'right')",0.5676539,0.9602897,1.0711057,1.5383046,-0.74491733,-0.2875947,0.5409442,1.0060468,-0.4651026
70,-1.1684138,-1.7985364,"('lethargic', 'energetic')",-1.0161408,-1.3480262,-0.39511698,-0.34327924,-0.32183594,-0.6367588,-0.7253769,-1.0316502,0.3062733
22,-1.1378219,-1.6910307,"('untrustworthy', 'trustworthy')",-1.4055244,-1.3911872,-0.8616175,-0.81283146,-1.6566335,-1.9062442,-1.2653993,-1.4503233,0.184924
55,-1.0977517,-1.8899226,"('incompetent', 'clever')",-0.34392893,-0.790264,-0.6453209,-0.56251085,-0.8665022,-1.119111,-0.738376,-1.0904522,0.3520762
80,-1.0566871,-1.8998067,"('dominated', 'dominating')",-0.479809,-0.8087336,-0.2576007,-0.44228876,-0.5459368,-0.72432107,-0.5850084,-0.9687876,0.3837792
47,-1.0526059,-1.1614162,"('stupid', 'smart')",-0.28189847,-0.23045476,0.22690791,0.083194695,4.0216,3.431357,0.7285008,0.5306702,0.1978306
19,1.0283322,2.1007094,"('inhospitable', 'hospitable')",0.38053498,0.85613275,-0.44403672,-0.09952275,0.21389654,0.48505816,0.2946818,0.8355944,-0.5409126
44,-1.0239837,-1.211172,"('prejudiced', 'unprejudiced')",-1.5397222,-1.3517061,-0.99608105,-0.84692526,-1.3638082,-1.1120675,-1.2308989,-1.1304677,-0.1004312
41,-1.0109079,-1.2555482,"('unforgiving', 'forgiving')",-0.39975107,-0.34159088,0.18264842,0.30376753,-0.17578599,-0.12641752,-0.3509491,-0.3549473,0.0039982
58,-0.9715289,-0.88590145,"('undiscriminating', 'discriminating')",-1.744632,-1.8073992,-1.1470653,-0.99662876,-0.007199675,-0.13920225,-0.9676064,-0.957283,-0.0103234
