,dr_male,dr_female,tuple,horton_male,horton_female,inc_male,inc_female,average_male,average_female,male-female
56,3.0878649,2.580855,"('impractical', 'practical')",1.6938691,1.3575672,0.84336746,0.5276839,1.8750339,1.488702,0.3863319
62,2.7974613,2.5926497,"('incompetent', 'brilliant')",1.7262514,1.6177005,1.1077347,1.1058518,1.8771491,1.7720672,0.1050819
60,2.7659085,2.2274408,"('inefficient', 'efficient')",2.3100076,1.846727,1.0536426,0.8217146,2.0431863,1.6319607,0.4112256
6,-2.6364038,-2.3784199,"('distant', 'open')",-2.0052755,-1.408543,-0.66011924,-0.11936945,-1.7672661,-1.3021108,-0.4651553
36,-2.6326604,-2.464415,"('hostile', 'amicable')",-1.575618,-1.4972076,-0.6500919,-0.51339996,-1.6194569,-1.4916743,-0.1277826
51,2.4767926,2.4038377,"('uneducated', 'educated')",1.2737591,1.2049673,0.45597365,0.46413863,1.4021751,1.3576479,0.0445272
55,2.4429667,1.926932,"('incompetent', 'clever')",1.6477684,1.2620615,0.57806486,0.20606674,1.5562666,1.1316868,0.4245798
32,2.4414988,2.298379,"('unkind', 'kind')",0.40196958,0.17739184,1.2388887,1.2675935,1.3607858,1.2477881,0.1129977
35,-2.4273574,-2.0292735,"('corrupt', 'incorrupt')",-1.1327747,-1.0212923,-0.7668685,-0.540135,-1.4423335,-1.1969002,-0.2454333
13,2.406656,2.0011544,"('impolite', 'polite')",2.993276,2.7091608,0.45046258,0.25345525,1.9501314,1.6545901,0.2955413
31,-2.389677,-2.2407334,"('evil', 'good')",-2.242379,-1.7138792,-1.6098642,-1.3558831,-2.0806402,-1.7701653,-0.3104749
45,2.3601508,1.6734821,"('incompetent', 'competent')",2.3081844,1.8304558,0.5780079,-0.041408837,1.7487809,1.1541763,0.5946046
12,2.3034925,2.0395408,"('unsupportive', 'supportive')",0.6568408,0.73677987,-1.1409639,-1.2215085,0.6064565,0.5182707,0.0881858
46,2.2193215,1.4414586,"('uncompetitive', 'competitive')",1.8857311,1.2268325,0.51754487,-0.10308199,1.5408657,0.8550697,0.685796
5,-2.1620317,-1.9931494,"('distant', 'outgoing')",-1.686536,-1.1592929,-0.74190336,-0.29377523,-1.5301569,-1.1487393,-0.3814176
85,-2.1273937,-1.9575317,"('insignificant', 'prestigious')",-2.161141,-2.2693238,-0.2523444,0.068998344,-1.5136264,-1.3859523,-0.1276741
0,2.0885267,1.6197097,"('unsociable', 'sociable')",1.9541123,1.5321989,0.079216115,-0.29719162,1.3739516,0.9515723,0.4223793
81,1.9486333,1.6805419,"('submissive', 'aggressive')",0.68378973,0.3413077,0.055646464,0.017550677,0.8960231,0.6798001,0.216223
11,1.9318217,1.6190574,"('unhelpful', 'helpful')",0.9529641,0.7177207,2.6537998,2.5406585,1.8461952,1.6258122,0.220383
30,1.9220594,1.6876343,"('intolerant', 'tolerant')",1.327397,1.1816417,1.4814831,1.3196713,1.5769798,1.3963157,0.1806641
52,-1.8639684,-1.4464616,"('irrational', 'rational')",-1.9828682,-1.6046284,-0.78579813,-0.52262187,-1.5442115,-1.1912373,-0.3529742
66,-1.8248092,-1.6457787,"('inactive', 'active')",-0.7492521,-0.8735573,0.23867872,0.3202814,-0.7784609,-0.7330182,-0.0454427
25,-1.824406,-1.5262792,"('egoistic', 'altruistic')",-0.23952666,0.0970625,0.5677804,0.7376384,-0.4987174,-0.2305261,-0.2681913
63,1.7550452,1.5063657,"('unperceptive', 'insightful')",1.5721768,1.372568,1.705266,1.7095966,1.677496,1.5295102,0.1479858
14,1.7038795,1.0563136,"('antisocial', 'social')",1.046256,0.50874305,-0.06636251,-0.601972,0.8945909,0.3210282,0.5735627
44,-1.6806922,-1.817347,"('prejudiced', 'unprejudiced')",-1.2656808,-1.1302031,-1.3724488,-1.5405865,-1.4396073,-1.4960456,0.0564383
79,-1.6440238,-1.4581625,"('wavering', 'unwavering')",-1.8573747,-1.953042,-0.23811133,0.040674683,-1.2465033,-1.12351,-0.1229933
69,-1.6438879,-1.3908663,"('lazy', 'industrious')",-0.5002865,-0.887136,-0.61002004,-0.70152915,-0.9180648,-0.9931771,0.0751123
43,1.6326094,1.1034986,"('irresponsible', 'responsible')",2.6119523,2.0511565,1.0386361,0.8064954,1.761066,1.3203835,0.4406825
57,1.5793802,1.1087017,"('unimaginative', 'imaginative')",-0.70474476,-0.8694186,-1.6766087,-2.2898538,-0.2673244,-0.6835236,0.4161992
21,1.5482658,1.2027024,"('immoral', 'moral')",1.0982658,0.7289559,-0.37116826,-0.50141734,0.7584545,0.476747,0.2817075
23,1.5059766,1.3158848,"('insincere', 'sincere')",0.7114011,0.46008092,5.455373,5.8871536,2.5575835,2.5543731,0.0032104
10,1.4915273,0.8466686,"('unsympathetic', 'sympathetic')",0.8129756,0.22569747,0.50797224,0.18727991,0.9374917,0.419882,0.5176097
41,1.4172988,0.9168614,"('unforgiving', 'forgiving')",0.964256,1.1289674,0.16504669,-0.04274048,0.8488672,0.6676961,0.1811711
70,1.3407902,0.7401181,"('lethargic', 'energetic')",1.6087689,1.09428,1.533244,1.3339891,1.4942678,1.0561291,0.4381387
48,1.3076973,1.3308566,"('unintelligent', 'intelligent')",0.98496443,0.94124246,0.92192155,1.0414636,1.0715277,1.1045209,-0.0329932
86,1.2876368,0.8245811,"('uninfluential', 'influential')",0.61928797,0.35732424,-0.033022754,-0.26140654,0.624634,0.3068329,0.3178011
47,1.2678154,1.3684194,"('stupid', 'smart')",0.5026117,0.15566547,5.0134935,5.485114,2.2613068,2.3363997,-0.0750929
22,1.231946,0.79071045,"('untrustworthy', 'trustworthy')",1.2522267,1.1710813,-0.2694218,-0.3337605,0.7382503,0.5426771,0.1955732
74,1.2156917,0.8590645,"('undedicated', 'dedicated')",1.1245947,1.0130457,0.20041166,-0.036710437,0.8468993,0.6117999,0.2350994
65,1.2001691,0.7878627,"('insecure', 'secure')",1.9692343,1.5599673,0.16875455,0.03902974,1.1127194,0.79562,0.3170994
