,boeing_male,boeing_female,tuple,co_male,co_female,average_male,average_female,male-female
56,1.9695454,1.8017286,"('impractical', 'practical')",0.64057887,0.6637694,1.3050621,1.232749,0.0723131
71,1.7366755,1.9529271,"('diffident', 'self-confident')",0.2683114,0.35886562,1.0024935,1.1558964,-0.1534029
39,1.7142159,1.6843026,"('exploitative', 'cooperative')",0.75615406,0.738829,1.2351849,1.2115657,0.0236192
23,1.7132903,1.2455479,"('insincere', 'sincere')",5.960907,5.921938,3.8370986,3.5837429,0.2533557
62,1.6471708,1.6092162,"('incompetent', 'brilliant')",0.5572023,0.82036006,1.1021866,1.2147882,-0.1126016
74,1.519203,1.4855269,"('undedicated', 'dedicated')",0.32365224,0.48847714,0.9214276,0.987002,-0.0655744
54,1.4637581,1.0916293,"('incapable', 'capable')",1.0047246,0.7099219,1.2342414,0.9007756,0.3334658
26,1.4316536,1.7155386,"('hardhearted', 'benevolent')",0.69042945,0.98366475,1.0610416,1.3496017,-0.2885601
47,1.3573493,1.2270461,"('stupid', 'smart')",4.869454,4.9216824,3.1134017,3.0743642,0.0390375
40,-1.2628305,-0.55636436,"('stingy', 'generous')",-3.301817,-2.5447004,-2.2823238,-1.5505323,-0.7317915
60,1.2565813,1.0726038,"('inefficient', 'efficient')",0.24187322,0.6256156,0.7492273,0.8491097,-0.0998824
61,1.2365881,1.4666402,"('illogical', 'logical')",-0.007956466,0.13219316,0.6143158,0.7994167,-0.1851009
72,1.2103851,1.0738328,"('unambitious', 'ambitious')",-0.5444927,-0.443725,0.3329462,0.3150539,0.0178923
33,1.1571507,1.3519667,"('wrong', 'right')",-0.74900174,-0.8653648,0.2040745,0.243301,-0.0392265
25,1.1382701,1.1164199,"('egoistic', 'altruistic')",0.9850807,0.8290834,1.0616754,0.9727516,0.0889238
83,1.1116807,0.9813429,"('powerless', 'powerful')",-0.91940033,-0.86995924,0.0961402,0.0556918,0.0404484
31,-1.1063361,-0.7115102,"('evil', 'good')",-1.7893687,-1.6256528,-1.4478524,-1.1685815,-0.2792709
87,1.0777891,0.64017844,"('unsuccessful', 'successful')",0.48712873,0.37117845,0.7824589,0.5056784,0.2767805
44,-1.0552342,-1.5768212,"('prejudiced', 'unprejudiced')",-0.8342598,-1.3656105,-0.944747,-1.4712158,0.5264688
21,1.0227193,0.893528,"('immoral', 'moral')",-0.37007877,-0.52250636,0.3263202,0.1855108,0.1408094
30,0.99967396,0.6872011,"('intolerant', 'tolerant')",0.46691957,0.38196215,0.7332968,0.5345816,0.1987152
17,-0.97040504,-0.9657895,"('nasty', 'nice')",-0.18431418,-0.17791086,-0.5773596,-0.5718502,-0.0055094
