,expedia_male,expedia_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0489922,-2.005342,"('uninfluential', 'influential')",0.20952643,0.14696543,-0.22573437,-0.22446781,-0.6884,-0.6942815,0.0058815
53,-1.9581777,-1.9817272,"('uncreative', 'creative')",0.032982454,-0.09121997,1.050491,1.1630284,-0.2915681,-0.3033063,0.0117382
8,-1.8683974,-1.843363,"('unaffectionate', 'affectionate')",-0.7734258,-0.7433584,0.60394,0.6408665,-0.6792944,-0.6486183,-0.0306761
57,-1.7743232,-1.8342127,"('unimaginative', 'imaginative')",-0.5410917,-0.61917764,-2.9347136,-2.779269,-1.7500429,-1.7442198,-0.0058231
10,-1.7035003,-1.6752377,"('unsympathetic', 'sympathetic')",0.3789137,0.34944856,0.009392335,-0.16537006,-0.4383981,-0.4970531,0.058655
73,1.6464032,1.5536888,"('helpless', 'self-reliant')",-0.047262292,-0.19622411,-3.5137484,-3.4382324,-0.6382025,-0.6935892,0.0553867
1,-1.5385722,-1.6373178,"('unfriendly', 'friendly')",-0.26194605,-0.40766189,1.7945095,1.9608022,-0.0020029,-0.0280591,0.0260562
9,-1.4563712,-1.3709059,"('unaffectionate', 'caring')",-0.19732179,-0.21169104,1.4705611,1.4790878,-0.0610439,-0.034503,-0.0265409
69,1.4339073,1.4650661,"('lazy', 'industrious')",0.32254925,0.32577065,-0.35348278,-0.0957216,0.4676579,0.5650384,-0.0973805
46,-1.3926182,-1.3216305,"('uncompetitive', 'competitive')",1.473324,1.6872394,-0.7684316,-0.74656194,-0.2292419,-0.1269843,-0.1022576
67,1.3819671,1.4933491,"('doubtful', 'determined')",0.7087551,0.6486611,-0.53241473,-0.31506625,0.5194358,0.6089813,-0.0895455
55,-1.2958372,-1.2190171,"('incompetent', 'clever')",1.2882466,1.5162432,-0.10635367,-0.12594463,-0.0379814,0.0570938,-0.0950752
78,-1.2074991,-1.3045979,"('nonresilient', 'resilient')",1.322994,1.007604,0.4709421,0.3005633,0.195479,0.0011898,0.1942892
82,-1.130465,-1.0597706,"('poor', 'rich')",0.07843365,0.43481156,6.7086287,6.4999366,1.8855324,1.9583259,-0.0727935
0,-1.0818394,-1.1062577,"('unsociable', 'sociable')",0.6707684,0.7299096,-0.5093654,-0.4772093,-0.3068121,-0.2845191,-0.022293
28,-1.0633298,-0.936163,"('disloyal', 'loyal')",-0.26395625,-0.08566449,0.7683602,0.770887,-0.1863086,-0.0836468,-0.1026618
