,xerox_male,xerox_female,tuple,holdings_male,holdings_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.9736452,-3.0989218,"('unsympathetic', 'sympathetic')",-0.3805232,-0.7764041,0.1719501,-0.13226952,-1.0607394,-1.3358652,0.2751258
45,-2.765126,-2.6443636,"('incompetent', 'competent')",0.25489435,-0.21433559,0.19408189,-0.22595817,-0.77205,-1.0282191,0.2561691
63,-2.4807725,-2.409963,"('unperceptive', 'insightful')",1.2635175,1.0256646,0.74601144,0.6313712,-0.1570812,-0.2509757,0.0938945
21,-2.2586424,-2.6506982,"('immoral', 'moral')",0.46756822,-0.2638487,0.013200218,-0.6134666,-0.5926247,-1.1760046,0.5833799
46,-2.2054935,-2.3688214,"('uncompetitive', 'competitive')",1.436531,0.6465047,0.008977834,-0.5357956,-0.2533282,-0.7527041,0.4993759
41,-2.055406,-2.0597014,"('unforgiving', 'forgiving')",-0.6676996,-0.9797934,-0.08821974,-0.33569777,-0.9371084,-1.1250642,0.1879558
12,-2.0095634,-1.9614255,"('unsupportive', 'supportive')",0.14143011,0.005311966,-2.0320406,-2.0472748,-1.300058,-1.3344628,0.0344048
0,-2.0044022,-2.281291,"('unsociable', 'sociable')",0.030237377,-0.5867516,0.18950912,-0.3941847,-0.5948852,-1.087409,0.4925238
57,-1.9426312,-1.9773036,"('unimaginative', 'imaginative')",0.021718442,-0.32804215,-2.7941415,-2.7593489,-1.5716848,-1.6882315,0.1165467
13,-1.9328547,-2.0900192,"('impolite', 'polite')",-0.36373544,-0.38260013,-0.107779086,-0.53949255,-0.8014564,-1.0040373,0.2025809
43,-1.925179,-1.9334145,"('irresponsible', 'responsible')",-0.5994823,-0.33051443,0.5743348,0.36941174,-0.6501088,-0.6315057,-0.0186031
14,-1.8898617,-2.2826242,"('antisocial', 'social')",2.050304,1.3419896,0.4458514,-0.2548417,0.2020979,-0.3984921,0.60059
86,-1.8894153,-1.8576028,"('uninfluential', 'influential')",0.37892246,-0.17685302,-0.08005277,-0.45117438,-0.5301818,-0.8285433,0.2983615
51,-1.8795054,-2.080327,"('uneducated', 'educated')",1.1808538,0.37679845,0.45488435,0.10751329,-0.0812557,-0.5320051,0.4507494
70,-1.8458459,-2.0157368,"('lethargic', 'energetic')",1.1592042,1.0164988,1.0764865,0.8619408,0.1299483,-0.0457657,0.175714
55,-1.8423505,-2.212352,"('incompetent', 'clever')",0.5647082,-0.20875843,0.8189458,0.20394947,-0.1528988,-0.7390536,0.5861548
