,jefferies_male,jefferies_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
48,-1.8620036,-1.9106827,"('unintelligent', 'intelligent')",-1.4052224,-1.346852,-0.6006951,-0.6302281,0.39394468,0.21895011,-0.8684941,-0.9172031,0.048709
1,-1.8529744,-2.4002237,"('unfriendly', 'friendly')",1.7685554,1.37092,0.16524626,-0.5325963,1.6760293,1.1941286,0.4392141,-0.0919429,0.531157
57,-1.6662532,-1.274993,"('unimaginative', 'imaginative')",-0.66586876,-0.4205663,-0.6083913,-0.3667045,-2.5273669,-2.9335303,-1.3669701,-1.2489486,-0.1180215
10,-1.4134008,-1.1370813,"('unsympathetic', 'sympathetic')",-1.7596163,-1.4188756,-0.11385966,0.05374352,0.16555025,0.16496488,-0.7803316,-0.5843121,-0.1960195
88,-1.3957453,-1.6260146,"('low', 'eminent')",-1.0003227,-0.9815428,-1.0836145,-1.1120051,0.49153236,0.37572813,-0.7470375,-0.8359586,0.0889211
45,-1.2752384,-1.2687072,"('incompetent', 'competent')",-1.1347406,-0.7463956,-0.28804034,-0.20762557,-0.43600836,-0.5688372,-0.7835069,-0.6978914,-0.0856155
28,-1.2711933,-1.4754246,"('disloyal', 'loyal')",0.20084389,0.15724263,0.029666845,-0.15780453,1.5341411,1.3309714,0.1233647,-0.0362538,0.1596185
86,-1.2418675,-1.0821759,"('uninfluential', 'influential')",-0.704497,-0.58701277,0.4085496,0.23324801,0.0035277791,-0.088515684,-0.3835718,-0.3811141,-0.0024577
3,-1.2184238,-1.0827811,"('repellent', 'pleasant')",-1.184365,-1.0259753,0.81232715,0.9012243,0.14232965,0.2697109,-0.362033,-0.2344553,-0.1275777
69,1.2092444,0.8797213,"('lazy', 'industrious')",1.682606,1.5083946,0.7109085,0.51882935,-0.91562736,-1.0728875,0.6717829,0.4585144,0.2132685
43,-1.1762353,-0.8958109,"('irresponsible', 'responsible')",0.21130216,0.6250273,0.7867807,0.93954194,0.76087344,0.7999312,0.1456802,0.3671724,-0.2214922
73,1.1607443,1.1339738,"('helpless', 'self-reliant')",1.6609799,1.3841665,0.1624926,0.01676799,-3.5169065,-3.7550786,-0.1331725,-0.3050426,0.1718701
0,-1.0113463,-0.85692763,"('unsociable', 'sociable')",-0.345398,-0.18847056,0.7037561,0.59360844,-0.3277916,-0.42506734,-0.2451949,-0.2192143,-0.0259806
