,yum_male,yum_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.7673615,-1.5924844,"('uninfluential', 'influential')",0.031831108,0.07833791,0.1376606,0.17891178,-0.5326233,-0.4450782,-0.0875451
10,-1.7438678,-1.4527664,"('unsympathetic', 'sympathetic')",0.37315252,0.464779,0.07329858,0.06388673,-0.4324722,-0.3080335,-0.1244387
73,1.57399,1.477943,"('helpless', 'self-reliant')",1.2673165,1.0086641,-2.8392096,-2.8301177,0.000699,-0.1145035,0.1152025
57,-1.4975882,-1.4828805,"('unimaginative', 'imaginative')",-0.5938884,-0.6245693,-2.199073,-2.12193,-1.4301831,-1.4097932,-0.0203899
66,-1.4071229,-1.2980874,"('inactive', 'active')",-0.7384047,-0.66405755,0.6156456,0.7506207,-0.5099607,-0.4038414,-0.1061193
81,-1.3111002,-0.80231553,"('submissive', 'aggressive')",0.44790864,0.38582465,-0.055002958,-0.08201286,-0.3060648,-0.1661679,-0.1398969
14,-1.2427646,-0.7405506,"('antisocial', 'social')",0.5965645,0.7196805,-0.70828795,-0.6433951,-0.451496,-0.2214217,-0.2300743
40,-1.1916106,-1.2525507,"('stingy', 'generous')",-0.92219615,-0.71939236,-1.9974167,-1.6934204,-1.3704077,-1.2217879,-0.1486198
8,-1.1547794,-1.4441482,"('unaffectionate', 'affectionate')",-0.80039364,-0.75428563,-0.23464417,-0.06733756,-0.7299391,-0.7552571,0.025318
48,-1.1384698,-0.97981703,"('unintelligent', 'intelligent')",-0.56015825,-0.54230833,0.54444844,0.6052802,-0.3847265,-0.305615,-0.0791115
9,-1.1365815,-1.1920307,"('unaffectionate', 'caring')",0.32625824,0.2893219,0.621785,0.67428535,-0.0628461,-0.0761411,0.013295
0,-1.1351054,-0.8855886,"('unsociable', 'sociable')",1.0537692,1.114052,-0.11905183,-0.024962623,-0.066796,0.0678336,-0.1346296
50,1.0962076,0.9657272,"('clumsy', 'skillful')",0.22587182,0.09944129,0.3765448,0.5392695,0.5662081,0.5348127,0.0313954
3,-1.0830625,-1.2935092,"('repellent', 'pleasant')",-0.38324112,-0.46674022,-0.089951664,-0.14918572,-0.5187517,-0.6364784,0.1177267
64,-1.028361,-0.59970564,"('shy', 'confident')",-0.005198095,-0.029851304,-5.3854012,-5.299764,-2.1396535,-1.9764404,-0.1632131
46,-1.0163057,-0.8719762,"('uncompetitive', 'competitive')",1.9368136,1.9473376,0.4786681,0.39823326,0.466392,0.4911983,-0.0248063
65,-1.0131311,-0.57972294,"('insecure', 'secure')",0.29854104,0.252466,0.0374876,0.030831218,-0.2257008,-0.0988086,-0.1268922
88,-1.0075704,-0.93871486,"('low', 'eminent')",0.22129658,0.22571771,0.09089087,0.17027472,-0.2317943,-0.1809075,-0.0508868
59,0.926635,1.0610932,"('foolish', 'wise')",-0.43172333,-0.3575982,-0.13700359,0.0823641,0.1193027,0.261953,-0.1426503
26,-0.8881452,-0.8988157,"('hardhearted', 'benevolent')",0.32240182,0.39168757,0.86232835,1.1121281,0.0988617,0.2016667,-0.102805
69,0.88789266,0.8653016,"('lazy', 'industrious')",0.19806862,0.2338997,-0.4906414,-0.41786924,0.19844,0.2271107,-0.0286707
56,0.88504577,1.0477308,"('impractical', 'practical')",2.134471,2.0078678,0.81043017,0.6488018,1.276649,1.2348002,0.0418488
53,-0.8645586,-1.1119709,"('uncreative', 'creative')",0.755563,0.6396808,0.7250581,0.7404819,0.2053542,0.0893973,0.1159569
72,-0.84648263,-0.92935336,"('unambitious', 'ambitious')",-0.74551547,-0.8420269,-1.1847926,-1.0787327,-0.9255969,-0.9500376,0.0244407
28,-0.8074309,-0.75021166,"('disloyal', 'loyal')",-0.5563891,-0.45442352,0.61247647,0.6111102,-0.2504479,-0.1978416,-0.0526063
42,0.802024,1.0692773,"('unreliable', 'reliable')",1.0836551,0.9612748,-2.0792139,-2.083758,-0.0645116,-0.0177353,-0.0467763
33,0.76761085,1.0024668,"('wrong', 'right')",0.23189561,0.35610986,-0.7756155,-0.635474,0.0746303,0.2410342,-0.1664039
83,-0.7515541,-0.39784,"('powerless', 'powerful')",0.68052495,0.6647901,-0.5557517,-0.5566491,-0.2089269,-0.0965663,-0.1123606
11,-0.7341469,-0.59756,"('unhelpful', 'helpful')",0.8510957,0.70393354,2.505701,2.3381984,0.8742166,0.8148573,0.0593593
1,-0.7150945,-0.98323935,"('unfriendly', 'friendly')",0.16472495,0.21382773,0.9082352,1.1076336,0.1192885,0.1127407,0.0065478
77,-0.6942934,-0.650832,"('unmotivated', 'motivated')",0.61941373,0.67906237,-0.5349783,-0.67615026,-0.203286,-0.2159733,0.0126873
70,-0.6561247,-0.58229613,"('lethargic', 'energetic')",0.97055197,0.82088643,1.2898512,1.2562208,0.5347595,0.4982704,0.0364891
21,-0.6412529,-0.35231766,"('immoral', 'moral')",0.76379776,0.8292268,-0.19398782,-0.32165748,-0.0238143,0.0517506,-0.0755649
34,-0.6352565,-0.642676,"('mean', 'honorable')",0.1776018,-0.029515233,6.1222963,5.904939,1.8882138,1.7442493,0.1439645
45,-0.6351707,-0.42536196,"('incompetent', 'competent')",0.44291228,0.4326974,-0.069770336,-0.09220883,-0.0873429,-0.0282911,-0.0590518
78,-0.630265,-0.5382902,"('nonresilient', 'resilient')",1.177916,1.1877966,1.0244734,0.9404288,0.5240415,0.5299784,-0.0059369
31,-0.5844985,-0.65459645,"('evil', 'good')",-2.1741052,-2.038624,-2.015656,-1.647239,-1.5914199,-1.4468199,-0.1446
15,0.5754708,0.9198031,"('boring', 'funny')",0.25151643,0.2567708,0.26799273,0.39497057,0.3649933,0.5238481,-0.1588548
