,dupont_male,dupont_female,tuple,de_male,de_female,nemours_male,nemours_female,inc_male,inc_female,average_male,average_female,male-female
85,2.4648242,2.1356115,"('insignificant', 'prestigious')",0.82106054,0.2841942,2.9595554,2.821366,1.3437338,1.1377918,1.8972936,1.5947409,0.3025527
69,2.2659156,2.2371423,"('lazy', 'industrious')",2.561878,2.2217212,3.502746,3.3860662,-0.06639183,-0.10230452,2.0660369,1.9356563,0.1303806
25,2.0533154,1.9527912,"('egoistic', 'altruistic')",0.96091294,0.53905183,1.0596199,1.0145892,1.614668,1.7538934,1.422129,1.3150814,0.1070476
71,1.7850504,1.6003898,"('diffident', 'self-confident')",0.18894368,-0.06322699,0.10092071,-0.091810256,0.6503744,0.6289704,0.6813223,0.5185808,0.1627415
45,-1.7080061,-1.9216195,"('incompetent', 'competent')",-1.427225,-1.0804389,-2.7869856,-2.515038,-0.5338776,-0.63643146,-1.6140234,-1.5383821,-0.0756413
13,-1.5482793,-1.5315411,"('impolite', 'polite')",-1.4554926,-1.1811762,-2.4097683,-2.3211343,-0.86751735,-0.85300463,-1.5702643,-1.471714,-0.0985503
26,1.5196081,1.5319945,"('hardhearted', 'benevolent')",-0.41542983,-0.37536243,0.03213673,0.063242115,1.6336087,1.6564732,0.6924809,0.7190868,-0.0266059
76,-1.5064824,-1.4437166,"('anxious', 'daring')",-0.3268783,-0.114715666,-1.7914021,-1.6250029,0.05098161,0.19987606,-0.8934453,-0.7458898,-0.1475555
65,-1.5018469,-1.5610062,"('insecure', 'secure')",-0.87340117,-0.9646948,-2.822463,-2.8800058,-0.67219454,-0.7443599,-1.4674764,-1.5375167,0.0700403
9,1.3978567,1.3371775,"('unaffectionate', 'caring')",-1.0192423,-1.0260749,-0.5427544,-0.48380172,1.045065,1.262816,0.2202313,0.2725292,-0.0522979
1,1.3668922,1.1815498,"('unfriendly', 'friendly')",-1.353024,-1.399323,-0.622042,-0.53095806,1.6922765,1.7071561,0.2710257,0.2396062,0.0314195
11,-1.3467172,-1.3815303,"('unhelpful', 'helpful')",-1.0823743,-0.8484141,-1.906598,-1.7868899,1.5819415,1.6227994,-0.688437,-0.5985087,-0.0899283
