,starwood_male,starwood_female,tuple,hotels_male,hotels_female,&_male,&_female,rest_male,rest_female,wldwd_male,wldwd_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.0290735,-1.8932916,"('unfriendly', 'friendly')",0.44140673,0.47007948,-0.30279934,-0.46082595,-0.40873826,-0.3439696,-1.8885211,-1.8422213,2.0216005,2.0518808,-0.3610208,-0.3363913,-0.0246295
42,1.5641525,1.6017537,"('unreliable', 'reliable')",1.3162394,1.314009,1.6411626,1.5704708,1.3092349,1.2439644,0.6947121,0.59703463,-2.5241623,-2.4624894,0.6668899,0.6441238,0.0227661
31,-1.3281958,-1.2405304,"('evil', 'good')",-1.5481389,-1.5470679,-0.47240987,-0.45974252,-3.579595,-3.417687,-2.1555464,-1.7674452,-1.677279,-1.7650778,-1.7935276,-1.6995918,-0.0939358
53,-1.2724932,-1.1792029,"('uncreative', 'creative')",0.87547314,0.7971539,0.19321048,0.11386266,-0.18228143,-0.3359175,-0.28618658,-0.32629138,1.7093124,1.5359808,0.1728391,0.1009309,0.0719082
36,-1.239275,-1.184839,"('hostile', 'amicable')",-1.4056069,-1.2136064,0.29973465,0.41260093,-2.6995287,-2.398525,-2.672159,-2.0390224,-0.05391403,-0.11434612,-1.2951248,-1.089623,-0.2055018
6,-1.1339651,-1.0244719,"('distant', 'open')",-0.052288137,0.08063771,0.024068654,-0.0298924,-2.640238,-2.4121068,-1.7374684,-1.54942,0.6313019,0.5380491,-0.8180982,-0.7328673,-0.0852309
64,1.0332932,1.0870609,"('shy', 'confident')",1.2000475,1.1003846,0.942106,1.0009291,0.95811963,0.79390234,1.1339304,1.1366543,-6.1926928,-6.0839214,-0.1541993,-0.1608317,0.0066324
76,1.0222837,0.95793545,"('anxious', 'daring')",0.93643725,0.83308077,1.1686183,1.1927979,1.6803613,1.5588106,0.9195434,0.7247848,0.50507987,0.7125737,1.0387206,0.9966639,0.0420567
20,-0.99704915,-0.82933354,"('rough', 'thoughtful')",-0.46078628,-0.31892908,-0.08382297,-0.039787844,0.2573164,0.2521815,-0.53622514,-0.46460116,0.70136094,0.9476738,-0.1865344,-0.0754661,-0.1110683
50,0.9751961,0.83769864,"('clumsy', 'skillful')",-0.17721418,-0.008192729,1.9655716,2.0088613,-0.2210797,-0.18370119,0.6165636,0.80928695,0.87806475,0.79431933,0.6728504,0.709712,-0.0368616
86,-0.94283736,-1.2268155,"('uninfluential', 'influential')",0.6341784,0.39496472,-0.8525476,-1.1327183,1.3847128,1.2391717,-0.68631554,-1.1924837,-0.010623336,0.034277,-0.0789054,-0.313934,0.2350286
87,0.9405457,0.8597719,"('unsuccessful', 'successful')",1.6318061,1.5336629,1.4994327,1.414619,1.8432566,1.5832927,1.034635,0.92037076,0.70442414,0.7778944,1.2756834,1.1816019,0.0940815
26,-0.90924805,-0.66630334,"('hardhearted', 'benevolent')",1.5269948,1.5396422,1.8438863,1.7474954,-0.28893694,-0.17152622,-1.0523695,-1.0788057,1.4241298,1.6080015,0.4240761,0.4964173,-0.0723412
57,-0.89590615,-1.1231006,"('unimaginative', 'imaginative')",0.00035329536,-0.19093686,-0.6428298,-0.81230396,1.143003,0.8979796,-0.23920378,-0.59010607,-2.185769,-2.1635091,-0.4700588,-0.6636629,0.1936041
47,-0.8536275,-0.7304613,"('stupid', 'smart')",1.1153712,1.0971724,0.9307353,0.8091995,2.1609914,2.18127,0.530319,0.72243154,5.138354,5.190334,1.5036906,1.544991,-0.0413004
25,-0.84690595,-0.7946465,"('egoistic', 'altruistic')",-0.49902278,-0.4234133,-0.14994395,-0.04478638,-0.56631356,-0.53470606,-1.7510359,-1.5147592,0.9335194,1.0266339,-0.4799505,-0.3809462,-0.0990043
39,0.7639903,1.0193552,"('exploitative', 'cooperative')",0.8950943,1.0917224,0.80362046,0.8310104,1.4127817,1.5748558,-0.17236164,0.1692356,-0.49564627,-0.16259904,0.5345798,0.7539301,-0.2193503
62,0.75467384,0.733758,"('incompetent', 'brilliant')",1.43837,1.2640171,-0.308483,-0.49281895,2.4657137,2.2156503,0.45022675,0.27249002,-0.16194785,0.07181783,0.7730923,0.6774857,0.0956066
48,-0.74822694,-0.8410119,"('unintelligent', 'intelligent')",-0.23890716,-0.34931797,-1.0330528,-1.2317965,1.2524759,1.0569563,-0.8370522,-1.087108,0.53154385,0.64849406,-0.1788699,-0.3006307,0.1217608
2,0.7389789,1.008874,"('unlikable', 'likable')",1.4597757,1.5016015,1.8138752,1.8960485,2.3263762,2.4049282,0.22637376,0.65307945,0.55985284,0.72119206,1.1875386,1.3642874,-0.1767488
5,-0.7338925,-0.59741086,"('distant', 'outgoing')",-0.12265164,-0.0112703275,-0.001645863,0.0045004115,-2.7507815,-2.5547523,-1.254163,-1.1170363,-0.0925464,-0.20892493,-0.8259468,-0.7474824,-0.0784644
73,0.7289609,0.9647661,"('helpless', 'self-reliant')",0.2861961,0.3830373,0.6356634,0.7858033,-0.3680703,-0.20361085,-0.3153215,-0.053941775,-3.9220092,-3.7782192,-0.4924301,-0.3170275,-0.1754026
27,-0.70296186,-0.4939501,"('hardhearted', 'softhearted')",-0.5372372,-0.5381245,-0.34981102,-0.4347055,0.36928105,0.3626311,-0.2689012,-0.37801194,1.482881,1.3814733,-0.0011249,-0.0167813,0.0156564
34,-0.66901255,-0.56546396,"('mean', 'honorable')",0.26001522,0.26104453,0.09446731,-0.028745838,0.8015609,0.86296797,0.14594257,0.12530804,6.2828207,6.265991,1.1526324,1.153517,-0.0008846
46,0.6652959,0.26522285,"('uncompetitive', 'competitive')",1.5315851,1.2917967,0.21053174,0.05017488,2.351497,2.1219327,0.581408,0.08035089,-0.035120297,-0.006039232,0.8841995,0.6339064,0.2502931
19,-0.64847535,-0.72569036,"('inhospitable', 'hospitable')",-1.3969755,-1.2962683,-1.1042796,-1.0693989,-2.5391712,-2.280546,-0.75910443,-0.72110194,-0.09775715,-0.140912,-1.0909606,-1.0389862,-0.0519744
16,0.6323805,0.7428163,"('unpopular', 'popular')",0.47230724,0.46093494,1.2341813,1.2493013,-0.07157375,-0.18889311,-0.08383224,0.24210033,0.97136915,0.8999667,0.5258054,0.5677044,-0.041899
80,0.6309827,0.44125018,"('dominated', 'dominating')",0.11144147,-0.0031677664,0.47283053,0.43992943,1.906713,1.5798374,1.2194008,0.84423524,-1.7204192,-1.5243007,0.4368249,0.2962973,0.1405276
84,0.610755,0.5745698,"('inferior', 'superior')",-0.8504333,-0.82631373,-0.27401522,-0.16596422,-1.6968608,-1.4296913,-0.7865502,-0.8410781,0.36810085,0.5012732,-0.4381673,-0.3645341,-0.0736332
8,-0.6040956,-0.63112396,"('unaffectionate', 'affectionate')",-0.38340932,-0.32478994,-1.1435277,-1.2178667,-0.49485528,-0.43159512,-2.7532434,-2.6462133,0.31085226,0.4002257,-0.8447132,-0.8085605,-0.0361527
