,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,male-female
69,2.7855468,2.8959553,"('lazy', 'industrious')",-1.0824311,-1.0313932,0.8515579,0.9322811,-0.0807232
35,2.6823394,2.7638016,"('corrupt', 'incorrupt')",-0.79135853,-1.0345029,0.9454905,0.8646494,0.0808411
10,-2.4454215,-2.6942222,"('unsympathetic', 'sympathetic')",-0.052531943,-0.046496063,-1.2489767,-1.3703592,0.1213825
57,-2.24645,-2.4094167,"('unimaginative', 'imaginative')",-3.5200682,-3.346783,-2.8832591,-2.8780999,-0.0051592
86,-2.1299243,-2.2990112,"('uninfluential', 'influential')",-0.51993316,-0.59358215,-1.3249288,-1.4462967,0.1213679
55,-2.1028512,-2.2896276,"('incompetent', 'clever')",0.55580205,0.5040301,-0.7735245,-0.8927987,0.1192742
59,2.0856047,2.0816443,"('foolish', 'wise')",0.05188755,0.03285113,1.0687461,1.0572478,0.0114983
48,-1.8182205,-2.0591912,"('unintelligent', 'intelligent')",0.15158452,0.011600928,-0.833318,-1.0237951,0.1904771
0,-1.8176147,-2.029925,"('unsociable', 'sociable')",0.04518065,-0.13771531,-0.886217,-1.0838202,0.1976032
46,-1.7913349,-1.8867514,"('uncompetitive', 'competitive')",-0.8286347,-0.7323427,-1.3099848,-1.3095471,-0.0004377
85,1.7016878,1.7757816,"('insignificant', 'prestigious')",-0.9273008,-1.0304372,0.3871935,0.3726722,0.0145213
62,-1.6504631,-1.6404036,"('incompetent', 'brilliant')",0.23113096,0.5494642,-0.7096661,-0.5454697,-0.1641964
45,-1.6490828,-1.7705363,"('incompetent', 'competent')",-0.34394166,-0.2457265,-0.9965122,-1.0081314,0.0116192
14,-1.6414912,-1.890286,"('antisocial', 'social')",-0.20572127,-0.45222154,-0.9236062,-1.1712538,0.2476476
76,-1.6282799,-1.7015458,"('anxious', 'daring')",-0.048174772,0.08593951,-0.8382273,-0.8078032,-0.0304241
22,-1.619372,-1.6525656,"('untrustworthy', 'trustworthy')",-0.660947,-0.74961174,-1.1401595,-1.2010887,0.0609292
3,-1.6093142,-1.7075088,"('repellent', 'pleasant')",0.54395765,0.52223104,-0.5326782,-0.5926389,0.0599607
21,-1.5571543,-1.6374072,"('immoral', 'moral')",-0.60929674,-0.6730099,-1.0832255,-1.1552086,0.0719831
82,-1.513949,-1.3877218,"('poor', 'rich')",5.1796494,5.246434,1.8328502,1.9293562,-0.096506
73,1.4845285,1.5191958,"('helpless', 'self-reliant')",-3.0434222,-2.9341197,-0.7794468,-0.707462,-0.0719848
81,-1.4015684,-1.6028122,"('submissive', 'aggressive')",-0.89166784,-0.9804507,-1.1466181,-1.2916315,0.1450134
41,-1.3640715,-1.4846369,"('unforgiving', 'forgiving')",0.07083098,-0.1103252,-0.6466203,-0.7974811,0.1508608
11,-1.3576276,-1.5039456,"('unhelpful', 'helpful')",2.2483418,2.3210826,0.4453571,0.4085685,0.0367886
23,-1.3042413,-1.4127367,"('insincere', 'sincere')",5.971419,5.844102,2.3335888,2.2156825,0.1179063
72,-1.2899132,-1.3143935,"('unambitious', 'ambitious')",-0.54693824,-0.44720554,-0.9184257,-0.8807995,-0.0376262
6,1.2872162,1.4705147,"('distant', 'open')",-0.70756066,-0.5378984,0.2898278,0.4663081,-0.1764803
65,-1.2809662,-1.4715463,"('insecure', 'secure')",0.48707047,0.42152256,-0.3969479,-0.5250119,0.128064
60,-1.2555711,-1.4811457,"('inefficient', 'efficient')",0.76199204,0.86924547,-0.2467895,-0.3059501,0.0591606
24,-1.2108195,-1.3847325,"('dishonest', 'honest')",0.8936321,0.88894373,-0.1585937,-0.2478944,0.0893007
63,-1.1420448,-1.234812,"('unperceptive', 'insightful')",0.15362284,0.3083671,-0.494211,-0.4632224,-0.0309886
61,-1.1190677,-1.1300399,"('illogical', 'logical')",0.03047245,-0.054767784,-0.5442976,-0.5924038,0.0481062
79,1.113028,1.2145963,"('wavering', 'unwavering')",-0.62572074,-0.58248955,0.2436537,0.3160534,-0.0723997
28,-1.1046345,-1.3265237,"('disloyal', 'loyal')",0.9140459,0.6542761,-0.0952943,-0.3361238,0.2408295
51,-1.0774968,-1.1624006,"('uneducated', 'educated')",0.34162077,0.23997733,-0.367938,-0.4612116,0.0932736
25,1.0687219,1.0938843,"('egoistic', 'altruistic')",0.90524364,0.9540238,0.9869828,1.023954,-0.0369712
5,1.0596342,1.2404388,"('distant', 'outgoing')",-0.7725901,-0.60623497,0.1435221,0.3171019,-0.1735798
30,-1.0136466,-1.1996804,"('intolerant', 'tolerant')",0.6914932,0.6237985,-0.1610767,-0.287941,0.1268643
49,-1.0026786,-1.0066422,"('unable', 'able')",-0.4011299,-0.40512037,-0.7019043,-0.7058813,0.003977
33,0.99064386,1.1027509,"('wrong', 'right')",-0.9096387,-0.960951,0.0405026,0.0709,-0.0303974
58,-0.9788544,-1.0866892,"('undiscriminating', 'discriminating')",0.08254714,0.018085219,-0.4481536,-0.534302,0.0861484
70,-0.94378537,-1.1086286,"('lethargic', 'energetic')",0.19161247,0.4295461,-0.3760864,-0.3395413,-0.0365451
31,0.9402561,1.1379887,"('evil', 'good')",-1.5919949,-1.4866053,-0.3258694,-0.1743083,-0.1515611
71,0.935456,0.95894945,"('diffident', 'self-confident')",0.4071899,0.4255175,0.6713229,0.6922334,-0.0209105
88,-0.9304184,-1.0265127,"('low', 'eminent')",-0.6972193,-0.6871733,-0.8138188,-0.856843,0.0430242
7,-0.9131348,-0.9942763,"('insensitive', 'sensitive')",-0.050393797,0.12528518,-0.4817643,-0.4344956,-0.0472687
43,-0.9002102,-1.0788035,"('irresponsible', 'responsible')",0.9123113,1.112576,0.0060506,0.0168862,-0.0108356
53,-0.8915132,-0.88862675,"('uncreative', 'creative')",0.7063217,0.77126807,-0.0925958,-0.0586793,-0.0339165
13,-0.8909584,-1.0332388,"('impolite', 'polite')",-0.045449268,-0.015278259,-0.4682038,-0.5242585,0.0560547
52,0.83524776,0.7957233,"('irrational', 'rational')",-0.35984093,-0.48004553,0.2377034,0.1578389,0.0798645
77,-0.8049737,-0.83555984,"('unmotivated', 'motivated')",-0.5267687,-0.61141306,-0.6658712,-0.7234864,0.0576152
50,0.796689,0.80214864,"('clumsy', 'skillful')",-0.16665167,0.020534039,0.3150187,0.4113413,-0.0963226
36,0.771374,0.89119095,"('hostile', 'amicable')",-0.36570612,-0.6501582,0.2028339,0.1205164,0.0823175
12,-0.7603234,-0.82631534,"('unsupportive', 'supportive')",-2.0454652,-1.8100241,-1.4028943,-1.3181697,-0.0847246
68,-0.7396003,-0.7656437,"('dependent', 'independent')",-1.3950416,-1.431581,-1.0673209,-1.0986123,0.0312914
39,0.71006566,0.46373698,"('exploitative', 'cooperative')",1.1738414,1.0008448,0.9419535,0.7322909,0.2096626
38,-0.693341,-0.7026957,"('untruthful', 'truthful')",0.0011799242,0.075907916,-0.3460805,-0.3133939,-0.0326866
32,-0.65257245,-0.82851744,"('unkind', 'kind')",0.9976449,1.0623013,0.1725362,0.1168919,0.0556443
8,-0.5029546,-0.5847166,"('unaffectionate', 'affectionate')",0.19996393,0.30375338,-0.1514953,-0.1404816,-0.0110137
4,0.4852672,0.6517936,"('disliked', 'liked')",-7.2157307,-7.038939,-3.3652318,-3.1935728,-0.171659
19,0.4620446,0.60999393,"('inhospitable', 'hospitable')",-0.5090421,-0.34186354,-0.0234987,0.1340652,-0.1575639
84,0.45310998,0.5128147,"('inferior', 'superior')",0.85381484,0.83654094,0.6534624,0.6746778,-0.0212154
66,0.45299986,0.59473884,"('inactive', 'active')",-0.1665444,-0.10443554,0.1432277,0.2451517,-0.101924
40,0.36124644,0.26541364,"('stingy', 'generous')",-2.5554655,-2.5688734,-1.0971096,-1.1517298,0.0546202
1,-0.3538772,-0.34491354,"('unfriendly', 'friendly')",0.90225196,0.8814113,0.2741874,0.2682489,0.0059385
75,0.35310304,0.5055409,"('meek', 'impulsive')",-0.8869756,-0.7176235,-0.2669363,-0.1060413,-0.160895
9,-0.3305633,-0.4944971,"('unaffectionate', 'caring')",1.1039271,1.1583197,0.3866819,0.3319113,0.0547706
27,-0.29174685,-0.33164838,"('hardhearted', 'softhearted')",0.29570034,0.36250716,0.0019767,0.0154294,-0.0134527
67,0.29046017,0.30133837,"('doubtful', 'determined')",-0.05904037,-0.03775318,0.1157099,0.1317926,-0.0160827
34,-0.28605574,-0.2097394,"('mean', 'honorable')",5.3868017,5.321947,2.5503731,2.5561039,-0.0057308
56,-0.27863288,-0.3992829,"('impractical', 'practical')",0.34126094,0.54559153,0.031314,0.0731543,-0.0418403
78,-0.26359427,-0.15095393,"('nonresilient', 'resilient')",-0.09840065,0.117350094,-0.1809975,-0.0168019,-0.1641956
74,0.2610646,0.13094407,"('undedicated', 'dedicated')",0.21472324,0.36426017,0.2378939,0.2476021,-0.0097082
64,0.22284418,0.11519604,"('shy', 'confident')",-5.4025955,-5.335673,-2.5898757,-2.6102383,0.0203626
20,-0.2187648,-0.34468722,"('rough', 'thoughtful')",0.8299353,0.71828234,0.3055853,0.1867976,0.1187877
87,-0.20953055,-0.19307512,"('unsuccessful', 'successful')",0.160594,0.22411826,-0.0244683,0.0155216,-0.0399899
83,-0.20479453,-0.42114937,"('powerless', 'powerful')",-0.7565551,-0.9300124,-0.4806748,-0.6755809,0.1949061
80,-0.18768008,-0.32209268,"('dominated', 'dominating')",-0.25902885,-0.44577193,-0.2233545,-0.3839323,0.1605778
26,-0.16848409,-0.34847122,"('hardhearted', 'benevolent')",1.3982105,1.3216794,0.6148632,0.4866041,0.1282591
29,-0.15798286,-0.046565246,"('unfair', 'fair')",-0.7042694,-0.6831387,-0.4311261,-0.364852,-0.0662741
15,0.15630655,0.11310736,"('boring', 'funny')",0.4545478,0.48763725,0.3054272,0.3003723,0.0050549
37,0.15373467,0.11532896,"('fake', 'genuine')",0.2019549,0.30384007,0.1778448,0.2095845,-0.0317397
17,-0.14708826,-0.116916254,"('nasty', 'nice')",-0.42467755,-0.516044,-0.2858829,-0.3164801,0.0305972
44,0.120345876,0.18631199,"('prejudiced', 'unprejudiced')",-1.1928883,-1.1588883,-0.5362712,-0.4862882,-0.049983
2,-0.096672595,0.036380284,"('unlikable', 'likable')",0.4560687,0.70645934,0.1796981,0.3714198,-0.1917217
47,0.06683725,-0.03339135,"('stupid', 'smart')",4.874939,4.8635435,2.4708881,2.415076,0.0558121
16,0.035207115,0.09578429,"('unpopular', 'popular')",-0.20303911,-0.19696239,-0.083916,-0.050589,-0.033327
54,0.030702766,0.10296134,"('incapable', 'capable')",0.54502666,0.6778915,0.2878647,0.3904264,-0.1025617
42,0.022017755,-0.034769215,"('unreliable', 'reliable')",-2.9498172,-2.710041,-1.4638997,-1.3724052,-0.0914945
18,0.0059607327,0.14682743,"('disagreeable', 'welcoming')",-1.2082,-1.1973175,-0.6011196,-0.525245,-0.0758746
