,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,male-female
36,3.2636204,3.4686627,"('hostile', 'amicable')",2.185785,2.4328246,2.7247028,2.9507437,-0.2260409
69,2.813002,2.672531,"('lazy', 'industrious')",2.0328033,1.9074861,2.4229026,2.2900085,0.1328941
45,-2.692052,-2.6234262,"('incompetent', 'competent')",-2.2985237,-2.271759,-2.4952879,-2.4475927,-0.0476952
66,2.4840143,2.4170043,"('inactive', 'active')",2.1003416,1.9050002,2.2921779,2.1610022,0.1311757
10,-2.3988056,-2.4898472,"('unsympathetic', 'sympathetic')",-2.6107626,-2.6656313,-2.5047841,-2.5777392,0.0729551
30,-2.3336756,-2.210483,"('intolerant', 'tolerant')",-1.8595017,-1.7774773,-2.0965886,-1.9939802,-0.1026084
55,-2.3100638,-2.2452064,"('incompetent', 'clever')",-1.8185018,-1.8413205,-2.0642829,-2.0432634,-0.0210195
48,-2.2370446,-2.2726634,"('unintelligent', 'intelligent')",-1.7789851,-1.8028021,-2.0080149,-2.0377326,0.0297177
28,-2.1892521,-2.1362054,"('disloyal', 'loyal')",-1.0106134,-1.0548674,-1.5999328,-1.5955365,-0.0043963
11,-2.0693202,-1.9610752,"('unhelpful', 'helpful')",-0.9412273,-0.93676937,-1.5052738,-1.4489223,-0.0563515
24,-2.0279665,-2.2136028,"('dishonest', 'honest')",-1.09289,-1.2756834,-1.5604283,-1.7446431,0.1842148
38,-1.8531659,-1.6727517,"('untruthful', 'truthful')",-0.8753868,-0.87486255,-1.3642763,-1.273807,-0.0904693
23,-1.8170656,-1.7132559,"('insincere', 'sincere')",0.32360268,0.32909775,-0.7467315,-0.6920791,-0.0546524
62,-1.8030696,-1.8722985,"('incompetent', 'brilliant')",-1.0593704,-1.2411453,-1.4312201,-1.5567219,0.1255018
6,1.7979584,1.752178,"('distant', 'open')",1.3786024,1.345388,1.5882804,1.5487831,0.0394973
2,1.7534075,1.7967796,"('unlikable', 'likable')",1.0503533,1.0082364,1.4018804,1.402508,-0.0006276
86,-1.7206789,-1.8770128,"('uninfluential', 'influential')",-2.1501966,-2.3349848,-1.9354377,-2.1059988,0.1705611
37,-1.7109545,-1.9166735,"('fake', 'genuine')",-0.8634688,-1.0030133,-1.2872117,-1.4598434,0.1726317
60,-1.706118,-1.6778744,"('inefficient', 'efficient')",-1.7883856,-1.8366873,-1.7472517,-1.7572808,0.0100291
51,-1.6390989,-1.7281271,"('uneducated', 'educated')",-1.9760236,-1.9758967,-1.8075612,-1.8520119,0.0444507
70,-1.6032786,-1.7903106,"('lethargic', 'energetic')",-0.8129719,-1.0064273,-1.2081252,-1.398369,0.1902438
81,-1.5461982,-1.6474229,"('submissive', 'aggressive')",-1.6637558,-1.7164941,-1.604977,-1.6819584,0.0769814
88,-1.5207621,-1.4407384,"('low', 'eminent')",-1.0425202,-1.0370206,-1.2816411,-1.2388794,-0.0427617
71,1.519235,1.4264786,"('diffident', 'self-confident')",1.5136664,1.3089503,1.5164506,1.3677144,0.1487362
13,-1.5014079,-1.5937742,"('impolite', 'polite')",-1.5196962,-1.6088388,-1.510552,-1.6013064,0.0907544
5,1.4587314,1.4726394,"('distant', 'outgoing')",0.84007263,0.849901,1.149402,1.1612703,-0.0118683
43,-1.4579239,-1.4767878,"('irresponsible', 'responsible')",-1.2591363,-1.4271325,-1.35853,-1.4519601,0.0934301
56,-1.4298035,-1.5388609,"('impractical', 'practical')",-1.0364902,-1.1799467,-1.2331469,-1.3594038,0.1262569
40,1.3560437,1.288058,"('stingy', 'generous')",0.2416626,0.23981407,0.7988532,0.763936,0.0349172
26,1.3208603,1.3979182,"('hardhearted', 'benevolent')",0.75256413,0.8162373,1.0367122,1.1070777,-0.0703655
35,1.2610786,1.3425443,"('corrupt', 'incorrupt')",1.3086917,1.2981209,1.2848852,1.3203325,-0.0354473
31,1.2221124,1.248609,"('evil', 'good')",1.0826813,1.1633806,1.1523969,1.2059948,-0.0535979
52,1.1698885,1.2270957,"('irrational', 'rational')",0.9774426,1.0115794,1.0736656,1.1193376,-0.045672
68,-1.1591663,-1.2115846,"('dependent', 'independent')",-0.97585106,-1.0382847,-1.0675087,-1.1249347,0.057426
53,1.1504904,1.072259,"('uncreative', 'creative')",0.33787668,0.2325795,0.7441835,0.6524192,0.0917643
15,1.147742,1.1871504,"('boring', 'funny')",0.9652594,0.98975897,1.0565007,1.0884547,-0.031954
85,1.1010758,1.2709248,"('insignificant', 'prestigious')",2.062491,2.1185572,1.5817833,1.694741,-0.1129577
