,stanley_male,stanley_female,tuple,black_male,black_female,&_male,&_female,decker_male,decker_female,inc_male,inc_female,average_male,average_female,male-female
26,2.040787,1.7760864,"('hardhearted', 'benevolent')",-0.3353029,-0.3711549,1.2174143,1.0655862,0.8046894,0.89894015,1.7733923,1.6647166,1.100196,1.0068349,0.0933611
29,-1.8808751,-1.7713374,"('unfair', 'fair')",-0.15437832,-0.05968529,-0.5565889,-0.47380453,-0.23221025,-0.27709728,-0.7773916,-0.8355782,-0.7202888,-0.6835005,-0.0367883
71,1.8228623,1.6382071,"('diffident', 'self-confident')",0.84598523,0.9136295,0.14846137,0.22440132,2.7983882,2.6990702,0.9668001,0.88577664,1.3164994,1.2722169,0.0442825
12,1.5675046,1.5583774,"('unsupportive', 'supportive')",0.12985525,0.16832365,-0.8237914,-0.84749335,-0.41079783,-0.44439203,-1.1666489,-1.2256849,-0.1407756,-0.1581738,0.0173982
85,1.5672249,1.1083162,"('insignificant', 'prestigious')",0.23752195,0.058033936,1.8412292,1.8173472,2.9390693,2.9143403,1.4715067,1.1692306,1.6113104,1.4134537,0.1978567
22,-1.4376444,-1.3158258,"('untrustworthy', 'trustworthy')",-1.3490549,-1.2892104,-0.92725974,-0.93900543,-1.7923679,-1.7041999,-1.2026742,-0.94418937,-1.3418001,-1.2384862,-0.1033139
9,1.4189001,1.1853493,"('unaffectionate', 'caring')",0.21564932,0.1951107,-0.4986633,-0.5907879,0.5192477,0.51295936,0.9179229,0.8963021,0.5146114,0.4397867,0.0748247
30,-1.3438444,-0.8705948,"('intolerant', 'tolerant')",-1.5575113,-1.3697747,-2.2459977,-2.1859403,-2.6875522,-2.554361,0.52618283,0.6875416,-1.4617446,-1.2586259,-0.2031187
49,-1.3136564,-1.1968502,"('unable', 'able')",-1.2748321,-1.1049947,-1.0615865,-1.0048679,-0.57748985,-0.4622227,-0.61267483,-0.35016176,-0.9680479,-0.8238194,-0.1442285
52,-1.2612246,-1.3221685,"('irrational', 'rational')",-0.3424095,-0.45877248,1.3138531,1.3394061,1.6878482,1.6247386,0.24573702,0.035627082,0.3287609,0.2437662,0.0849947
45,-1.2110851,-0.67223096,"('incompetent', 'competent')",-0.93717605,-0.6781521,-1.9071194,-1.933222,-2.249613,-2.2548177,-0.5948325,-0.36346787,-1.3799652,-1.1803781,-0.1995871
50,-1.1950483,-1.2990428,"('clumsy', 'skillful')",1.4802946,1.3025739,2.4601157,2.3874032,0.5993536,0.4929542,0.77635556,0.76910186,0.8242142,0.7305981,0.0936161
84,1.1796954,1.1613005,"('inferior', 'superior')",0.6673891,0.7393297,0.4648294,0.531718,0.0058318004,0.10918775,1.0818235,1.1098747,0.6799138,0.7302822,-0.0503684
82,-1.171208,-0.85703593,"('poor', 'rich')",-1.4340963,-1.3382607,-1.4292401,-1.4009221,-2.280761,-2.0912914,4.7737794,5.1250095,-0.3083053,-0.1125001,-0.1958052
21,-1.1223755,-0.95488954,"('immoral', 'moral')",-0.71760285,-0.55808383,-1.273431,-1.344555,-3.9537027,-3.6750698,-1.2056332,-1.1065551,-1.654549,-1.5278306,-0.1267184
3,-1.0667416,-1.1188922,"('repellent', 'pleasant')",-0.19043379,-0.36339676,-0.5678089,-0.8162931,-1.7722955,-1.934666,-0.09180131,-0.21314913,-0.7378162,-0.8892795,0.1514633
72,0.96895325,0.9850741,"('unambitious', 'ambitious')",-0.29443073,-0.24859864,-0.8689642,-0.8190663,-0.9401546,-0.82556486,-0.9718653,-0.6157254,-0.4212923,-0.3047762,-0.1165161
37,-0.9371535,-0.87061256,"('fake', 'genuine')",0.45750177,0.5529075,-0.26243788,-0.1645988,-0.2646767,-0.29304877,0.2509924,0.36470544,-0.1511548,-0.0821294,-0.0690254
8,0.93292075,0.6581804,"('unaffectionate', 'affectionate')",-0.71001935,-0.81234527,0.050248295,-0.06563675,1.5235285,1.5505028,0.7410723,0.74440604,0.5075501,0.4150214,0.0925287
40,0.9266052,0.7479215,"('stingy', 'generous')",-0.77088547,-0.7013607,-0.66851556,-0.75942284,-0.6824246,-0.5582866,-1.1194172,-1.2779028,-0.4629275,-0.5098103,0.0468828
35,0.919849,0.76318854,"('corrupt', 'incorrupt')",0.6669483,0.6959906,1.8902693,2.101422,3.9595935,3.8741252,0.2770807,0.23271245,1.5427481,1.5334878,0.0092603
60,-0.91866034,-0.47859353,"('inefficient', 'efficient')",-0.21095937,0.037178807,-2.0357099,-2.0423458,-3.2982156,-3.1479902,-0.5136804,-0.08724958,-1.3954451,-1.1438001,-0.251645
61,-0.86273056,-0.82654816,"('illogical', 'logical')",0.14782912,0.19659773,-0.1694408,-0.18274711,-0.29066375,-0.3498257,-0.058279507,-0.056086678,-0.2466571,-0.243722,-0.0029351
75,-0.8396445,-0.74240553,"('meek', 'impulsive')",0.040819854,-0.03318037,0.41883266,0.52733684,1.7704293,1.8178046,-0.12588735,-0.023243701,0.25291,0.3092624,-0.0563524
44,-0.8308729,-0.7873163,"('prejudiced', 'unprejudiced')",-0.5563003,-0.41173995,-0.32806087,-0.09983988,-0.66388434,-0.63232094,-1.2875417,-1.1242664,-0.7333321,-0.6110967,-0.1222354
68,-0.8059411,-0.93326885,"('dependent', 'independent')",-0.5579561,-0.676957,-0.99265283,-0.9451072,-0.75931376,-0.99317044,-0.5949182,-0.644375,-0.7421564,-0.8385757,0.0964193
34,-0.7988343,-0.918006,"('mean', 'honorable')",-1.9634106,-1.8956821,-0.92041445,-0.9469602,0.21959703,0.20195168,5.2062793,5.374844,0.3486434,0.3632295,-0.0145861
66,0.7826926,0.67947876,"('inactive', 'active')",0.5813388,0.43375507,1.8881744,1.9322208,0.82969236,0.6267005,1.3237731,1.0918405,1.0811342,0.952799,0.1283352
16,-0.7300436,-0.7701492,"('unpopular', 'popular')",0.120492056,0.1815511,0.82141143,0.872356,-0.14500766,-0.13919826,0.32012713,0.2573328,0.0773959,0.0803785,-0.0029826
57,-0.7153423,-0.6309535,"('unimaginative', 'imaginative')",-1.2933195,-1.2208287,-1.9001575,-1.9313663,-3.5459008,-3.3923194,-2.2346199,-2.4656405,-1.9378679,-1.9282215,-0.0096464
73,0.70704144,0.637104,"('helpless', 'self-reliant')",0.87529784,0.97173005,1.252758,1.359392,0.25721008,0.32564282,-2.5870337,-2.5651274,0.1010547,0.1457483,-0.0446936
11,-0.7003428,-0.5044838,"('unhelpful', 'helpful')",-1.2693574,-1.1821105,-2.7853768,-2.758637,-2.3094997,-2.2223547,1.5914513,1.7302173,-1.0946251,-0.9874738,-0.1071513
47,-0.6955152,-0.43630424,"('stupid', 'smart')",-0.95438015,-0.81934464,-0.6258319,-0.48131484,-1.8009506,-1.6704681,4.325532,4.7264767,0.0497708,0.263809,-0.2140382
31,-0.65733117,-0.809996,"('evil', 'good')",-1.2415675,-1.2118038,1.3209748,1.3768815,2.9023588,2.9419065,-0.536586,-0.7418297,0.3575698,0.3110317,0.0465381
65,-0.65153706,-0.5048074,"('insecure', 'secure')",-0.83466244,-0.84912497,-1.1722192,-1.3614688,-2.9341154,-2.849098,-0.82899815,-0.56705415,-1.2843064,-1.2263106,-0.0579958
39,0.6497005,0.595859,"('exploitative', 'cooperative')",0.55703205,0.573562,-0.61288005,-0.5314185,1.2439508,1.2249268,0.26188838,0.39637807,0.4199384,0.4518615,-0.0319231
69,0.6195083,0.37443563,"('lazy', 'industrious')",1.2288182,1.0778013,2.5484238,2.6850789,3.0483623,2.8910172,0.14534533,-0.1074754,1.5180916,1.3841715,0.1339201
48,-0.597294,-0.40322804,"('unintelligent', 'intelligent')",-1.6554545,-1.5536107,-1.7743895,-1.8828304,-2.7435763,-2.4654214,-0.05363431,0.059873246,-1.3648696,-1.2490436,-0.115826
15,-0.5705958,-0.60589474,"('boring', 'funny')",-0.07597859,0.0020732302,0.6636577,0.74485373,0.37769103,0.48235792,0.19930632,0.22417004,0.1188161,0.169512,-0.0506959
87,0.5591468,0.71065474,"('unsuccessful', 'successful')",1.1035119,1.0592439,2.019969,1.9955134,0.0784944,0.06489146,1.3325548,1.2483066,1.0187353,1.0157221,0.0030132
77,-0.55375975,-0.59958035,"('unmotivated', 'motivated')",-0.9954211,-0.8984435,-0.9578172,-0.9458483,-1.2467594,-1.2414601,-0.88222057,-0.87683076,-0.9271956,-0.9124326,-0.014763
51,-0.55221444,-0.39052284,"('uneducated', 'educated')",-0.13782345,-0.1507459,-0.8418107,-0.90874755,-2.7733455,-2.7684004,0.2922272,0.23236796,-0.8025933,-0.7972097,-0.0053836
36,0.5509168,0.03569217,"('hostile', 'amicable')",-0.19961116,-0.37810448,1.6043432,1.5100715,3.1032662,3.0238981,0.3481063,0.12186853,1.0814043,0.8626852,0.2187191
33,0.5463497,0.19286823,"('wrong', 'right')",1.1275593,1.1382607,1.3760962,1.509442,1.1164398,1.0721598,-0.17217864,-0.29387277,0.7988532,0.7237716,0.0750816
76,-0.53768986,-0.3518459,"('anxious', 'daring')",0.49288923,0.6209683,0.280895,0.43982902,-1.7841883,-1.6852007,-0.1431438,0.07162966,-0.3382475,-0.1809239,-0.1573236
81,-0.50267106,-0.13236977,"('submissive', 'aggressive')",-0.27019352,-0.17707416,-1.7977343,-1.8229573,-3.6773872,-3.519369,-1.1036212,-0.9000786,-1.4703215,-1.3103698,-0.1599517
