,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.1965177,-1.8966628,"('unfriendly', 'friendly')",1.869666,1.9957939,-0.1634259,0.0495656,-0.2129915
53,-2.039833,-1.9281176,"('uncreative', 'creative')",0.5358605,0.550255,-0.7519863,-0.6889313,-0.063055
9,-1.880409,-1.7121003,"('unaffectionate', 'caring')",1.2191463,1.1557224,-0.3306314,-0.2781889,-0.0524425
6,-1.7881477,-1.4476974,"('distant', 'open')",0.14918935,0.1739874,-0.8194792,-0.636855,-0.1826242
86,-1.7252502,-1.717029,"('uninfluential', 'influential')",0.036528926,-0.18298128,-0.8443606,-0.9500051,0.1056445
28,-1.4731755,-1.4003497,"('disloyal', 'loyal')",0.79843324,0.69344485,-0.3373711,-0.3534524,0.0160813
10,-1.4545547,-1.5238373,"('unsympathetic', 'sympathetic')",-0.10796614,-0.34753978,-0.7812604,-0.9356886,0.1544282
54,-1.4081168,-1.2424666,"('incapable', 'capable')",1.2518348,1.3847952,-0.078141,0.0711643,-0.1493053
5,-1.3915609,-1.0684725,"('distant', 'outgoing')",-0.225995,-0.18428147,-0.8087779,-0.626377,-0.1824009
31,-1.374964,-0.9628077,"('evil', 'good')",-1.3199981,-1.0945096,-1.347481,-1.0286586,-0.3188224
19,-1.3215148,-1.0034794,"('inhospitable', 'hospitable')",-0.11701156,0.097657986,-0.7192632,-0.4529107,-0.2663525
71,-1.2454921,-1.0255941,"('diffident', 'self-confident')",0.4092401,0.37583938,-0.418126,-0.3248774,-0.0932486
38,-1.2391458,-1.1715268,"('untruthful', 'truthful')",-0.37719625,-0.33523896,-0.808171,-0.7533829,-0.0547881
8,-1.224077,-1.1276923,"('unaffectionate', 'affectionate')",1.115557,1.1102818,-0.05426,-0.0087053,-0.0455547
57,-1.182287,-1.1336179,"('unimaginative', 'imaginative')",-2.4734664,-2.5198534,-1.8278767,-1.8267356,-0.0011411
36,-1.123644,-0.8124632,"('hostile', 'amicable')",-0.15762192,-0.047536537,-0.640633,-0.4299999,-0.2106331
77,-1.1113583,-0.8693581,"('unmotivated', 'motivated')",-1.3771274,-1.3146327,-1.2442429,-1.0919954,-0.1522475
61,-1.1016393,-0.9266876,"('illogical', 'logical')",0.35861847,0.37253833,-0.3715104,-0.2770746,-0.0944358
73,1.0914017,1.1986959,"('helpless', 'self-reliant')",-2.8612773,-2.8576396,-0.8849378,-0.8294718,-0.055466
44,1.0878617,1.078108,"('prejudiced', 'unprejudiced')",-1.4919349,-1.4053609,-0.2020366,-0.1636265,-0.0384101
66,-1.0672362,-1.1605866,"('inactive', 'active')",0.29238325,0.32954472,-0.3874265,-0.4155209,0.0280944
24,-1.055072,-0.8012722,"('dishonest', 'honest')",0.66561586,0.7292254,-0.194728,-0.0360234,-0.1587046
79,-1.0406588,-1.1029791,"('wavering', 'unwavering')",-0.1878199,-0.27855366,-0.6142393,-0.6907663,0.076527
12,-1.040423,-0.94920343,"('unsupportive', 'supportive')",-1.6511836,-1.7495416,-1.3458033,-1.3493725,0.0035692
16,-1.0223304,-0.91431093,"('unpopular', 'popular')",-0.25126326,-0.09406048,-0.6367968,-0.5041857,-0.1326111
52,-1.0006431,-0.81167156,"('irrational', 'rational')",0.03215067,0.1890499,-0.4842462,-0.3113108,-0.1729354
23,-0.9401278,-0.9537701,"('insincere', 'sincere')",6.062743,5.8984947,2.5613077,2.4723623,0.0889454
46,-0.86906576,-1.1013536,"('uncompetitive', 'competitive')",-0.47377762,-0.56158346,-0.6714217,-0.8314686,0.1600469
43,-0.85049117,-0.7356612,"('irresponsible', 'responsible')",0.84748554,0.81573784,-0.0015028,0.0400383,-0.0415411
45,-0.83303005,-0.8193178,"('incompetent', 'competent')",0.025427982,-0.11335728,-0.403801,-0.4663376,0.0625366
0,-0.78326994,-0.7339992,"('unsociable', 'sociable')",-0.27773547,-0.33257386,-0.5305027,-0.5332865,0.0027838
7,-0.7518893,-0.85833335,"('insensitive', 'sensitive')",1.160451,0.845498,0.2042809,-0.0064177,0.2106986
14,0.7460839,0.56252855,"('antisocial', 'social')",-0.054798648,-0.14034688,0.3456426,0.2110908,0.1345518
88,-0.7430116,-0.75666744,"('low', 'eminent')",0.352372,0.2783914,-0.1953198,-0.239138,0.0438182
78,-0.7348778,-0.9283553,"('nonresilient', 'resilient')",0.15982631,0.089748934,-0.2875258,-0.4193032,0.1317774
85,-0.71172416,-0.25250295,"('insignificant', 'prestigious')",0.15480974,0.5178775,-0.2784572,0.1326873,-0.4111445
30,0.70599073,0.69935495,"('intolerant', 'tolerant')",1.348755,1.3761894,1.0273728,1.0377722,-0.0103994
76,0.6649613,0.46106935,"('anxious', 'daring')",0.33060116,0.23127514,0.4977812,0.3461722,0.151609
