,international_male,international_female,tuple,game_male,game_female,technology_male,technology_female,average_male,average_female,male-female
31,-2.6008437,-2.4256954,"('evil', 'good')",-0.7700469,-0.66386694,-3.4209332,-3.3552647,-2.2639413,-2.1482757,-0.1156656
14,2.2254455,2.0311518,"('antisocial', 'social')",0.3609626,0.2065123,1.7282834,1.7376277,1.4382305,1.3250972,0.1131333
13,2.0887938,1.887446,"('impolite', 'polite')",-0.8988725,-0.9370776,1.459644,1.3795328,0.8831884,0.7766337,0.1065547
85,-1.9813727,-1.7297449,"('insignificant', 'prestigious')",0.5942344,0.72000164,-1.653679,-1.5480026,-1.0136058,-0.852582,-0.1610238
81,1.8953732,1.6744736,"('submissive', 'aggressive')",-0.35617054,-0.5355424,1.9713585,1.9097186,1.1701871,1.0162166,0.1539705
19,-1.893798,-1.8100564,"('inhospitable', 'hospitable')",-1.0641087,-0.87769985,-1.0732055,-1.0477201,-1.3437041,-1.2451588,-0.0985453
80,1.8891639,1.7248977,"('dominated', 'dominating')",-0.33082318,-0.4119707,1.3207963,1.3356048,0.9597123,0.882844,0.0768683
76,1.8048311,1.6401169,"('anxious', 'daring')",-0.9545767,-1.0073564,1.6257944,1.609879,0.8253496,0.7475465,0.0778031
87,1.720114,1.6306899,"('unsuccessful', 'successful')",0.14686653,-0.07509542,1.4053726,1.4315621,1.0907844,0.9957188,0.0950656
35,-1.677881,-1.450736,"('corrupt', 'incorrupt')",0.41288242,0.56521565,-1.8873557,-1.8009543,-1.0507847,-0.8954916,-0.1552931
11,1.5206909,1.4895601,"('unhelpful', 'helpful')",-0.09800935,-0.03182752,3.5553782,3.520869,1.6593533,1.6595338,-0.0001805
5,-1.5173073,-1.3625674,"('distant', 'outgoing')",0.29387835,0.40400958,-2.2119758,-2.1960833,-1.1451349,-1.0515471,-0.0935878
39,1.4926136,1.8173203,"('exploitative', 'cooperative')",0.25305057,0.57989156,-0.1779706,-0.02379942,0.5225645,0.7911375,-0.268573
56,1.4637024,1.3227751,"('impractical', 'practical')",0.6021893,0.406074,1.7579112,1.6227733,1.274601,1.1172075,0.1573935
