,western_male,western_female,tuple,union_male,union_female,co_male,co_female,average_male,average_female,male-female
16,-1.7540331,-1.7994537,"('unpopular', 'popular')",-1.1689411,-1.2397162,-0.16164798,-0.13714968,-1.0282074,-1.0587731,0.0305657
36,-1.5035096,-1.6571972,"('hostile', 'amicable')",0.17958438,0.07618463,-0.08215109,0.050741136,-0.4686921,-0.5100905,0.0413984
39,1.4669024,1.7935113,"('exploitative', 'cooperative')",0.326221,0.7250557,0.27282003,0.46160832,0.6886478,0.9933918,-0.304744
35,-1.4513452,-1.6781454,"('corrupt', 'incorrupt')",-0.54164624,-0.6158464,-0.32813334,-0.3009325,-0.7737083,-0.8649747,0.0912664
56,1.4047987,1.4130238,"('impractical', 'practical')",1.568104,1.5497121,-0.2882172,-0.44493282,0.8948952,0.8392677,0.0556275
42,1.2253788,1.3135545,"('unreliable', 'reliable')",0.23510097,0.47067353,-2.943355,-2.9348752,-0.4942918,-0.3835491,-0.1107427
77,-1.2196943,-1.1571525,"('unmotivated', 'motivated')",-1.444414,-1.4011252,-1.5256243,-1.4509575,-1.3965775,-1.3364118,-0.0601657
14,1.2084159,1.2867389,"('antisocial', 'social')",1.042706,1.1993518,-0.3020681,-0.22768435,0.6496846,0.7528021,-0.1031175
37,1.0977557,1.0493872,"('fake', 'genuine')",-0.2107295,-0.17901091,0.3145766,0.24330534,0.4005343,0.3712272,0.0293071
6,-1.0505071,-1.1493971,"('distant', 'open')",0.60388887,0.5324179,0.08972212,0.13472691,-0.1189654,-0.1607508,0.0417854
5,-0.9915476,-1.059553,"('distant', 'outgoing')",0.3013845,0.1984601,-0.32531226,-0.33084324,-0.3384918,-0.397312,0.0588202
2,0.9799199,1.1550274,"('unlikable', 'likable')",0.37559524,0.6471972,0.52176875,0.66745436,0.6257613,0.8232263,-0.197465
62,0.9689302,1.016479,"('incompetent', 'brilliant')",-0.44597262,-0.28248036,-0.14055973,-0.083392024,0.1274659,0.2168689,-0.089403
18,-0.9331841,-0.6221114,"('disagreeable', 'welcoming')",-0.8485199,-0.6391797,-0.84013325,-0.6728022,-0.8739457,-0.6446977,-0.229248
58,0.92126364,0.71787494,"('undiscriminating', 'discriminating')",0.23898818,0.11484854,-0.018534947,-0.05365722,0.3805723,0.2596888,0.1208835
26,0.9031521,0.9329096,"('hardhearted', 'benevolent')",2.3837404,2.296706,1.6070409,1.747955,1.6313111,1.6591902,-0.0278791
31,-0.886407,-0.94412744,"('evil', 'good')",0.33468312,0.3032845,-0.53025186,-0.5225199,-0.3606586,-0.3877876,0.027129
80,0.8732216,0.7499907,"('dominated', 'dominating')",-0.040352453,-0.010063846,-0.9386164,-1.0457554,-0.0352491,-0.1019428,0.0666937
86,-0.8256996,-0.88366985,"('uninfluential', 'influential')",-0.80757415,-0.94520074,-0.68557215,-0.7294867,-0.7729487,-0.8527857,0.079837
85,-0.8033148,-0.94168043,"('insignificant', 'prestigious')",-0.49427322,-0.52867025,-0.5061077,-0.34903893,-0.6012319,-0.6064632,0.0052313
70,0.7821176,0.7492092,"('lethargic', 'energetic')",-0.46233186,-0.4378309,0.43092152,0.29276472,0.2502358,0.201381,0.0488548
50,-0.7817282,-0.82047594,"('clumsy', 'skillful')",-1.004989,-0.94075614,-0.38239157,-0.32889098,-0.7230363,-0.6967077,-0.0263286
78,-0.76008606,-0.7311448,"('nonresilient', 'resilient')",-0.8181715,-0.93178207,-0.4983291,-0.48444238,-0.6921956,-0.7157898,0.0235942
45,0.73266023,0.5357313,"('incompetent', 'competent')",0.33423704,0.25176227,-0.28821102,-0.4577517,0.2595621,0.109914,0.1496481
73,0.70616084,0.7332335,"('helpless', 'self-reliant')",1.2207669,1.3617123,-3.2929487,-3.2902539,-0.4553403,-0.398436,-0.0569043
49,-0.70301473,-0.65696156,"('unable', 'able')",-0.62524825,-0.5774973,-0.59749246,-0.6265806,-0.6419185,-0.6203465,-0.021572
76,0.6803675,0.84439397,"('anxious', 'daring')",-0.9928196,-0.7613991,-0.115399465,-0.15129882,-0.1426172,-0.022768,-0.1198492
43,0.6706477,0.72255206,"('irresponsible', 'responsible')",0.321307,0.43083814,0.4547151,0.4115584,0.4822233,0.5216495,-0.0394262
44,0.6695949,0.68794656,"('prejudiced', 'unprejudiced')",-0.021731172,0.21759143,-0.8361179,-0.81025964,-0.0627514,0.0317594,-0.0945108
88,-0.667402,-0.7555989,"('low', 'eminent')",-1.1697925,-1.1156703,-0.37598002,-0.38215286,-0.7377249,-0.7511407,0.0134158
8,-0.66725063,-0.7635122,"('unaffectionate', 'affectionate')",-0.4377131,-0.5487256,0.86797583,0.8809963,-0.078996,-0.1437472,0.0647512
15,0.6647152,0.60704005,"('boring', 'funny')",0.736944,0.63535535,0.31338784,0.21186858,0.5716824,0.4847546,0.0869278
65,0.6637627,0.7565691,"('insecure', 'secure')",-0.21702534,-0.10097635,-0.08545404,-0.05984501,0.1204278,0.1985826,-0.0781548
23,0.6627289,0.86647546,"('insincere', 'sincere')",-0.24753807,-0.26258093,6.0368614,5.9300556,2.150684,2.1779834,-0.0272994
7,0.60782576,0.6830315,"('insensitive', 'sensitive')",-0.3148237,-0.28594735,0.27367926,0.28374964,0.1888938,0.2269446,-0.0380508
30,0.6039432,0.73433226,"('intolerant', 'tolerant')",-0.10379757,-0.039060466,0.46031368,0.5175013,0.3201531,0.4042577,-0.0841046
66,0.59543115,0.3210267,"('inactive', 'active')",-0.093225256,-0.17639682,0.15688378,0.16351777,0.2196966,0.1027159,0.1169807
19,-0.56525517,-0.530376,"('inhospitable', 'hospitable')",-0.24526352,-0.19757695,-0.5137584,-0.5338388,-0.4414257,-0.4205972,-0.0208285
40,0.5489144,0.7017217,"('stingy', 'generous')",0.009507602,0.19240908,-2.2848852,-2.1502528,-0.5754877,-0.4187073,-0.1567804
28,0.547272,0.5237593,"('disloyal', 'loyal')",-0.13805145,-0.27084437,0.9966705,0.8351668,0.4686304,0.3626939,0.1059365
27,-0.5370818,-0.4154744,"('hardhearted', 'softhearted')",-0.4017891,-0.45266643,0.9931404,0.8668241,0.0180898,-0.0004389,0.0185287
51,-0.5169511,-0.45651305,"('uneducated', 'educated')",-1.3906475,-1.2317023,-0.24555099,-0.2873222,-0.7177165,-0.6585125,-0.059204
29,0.49856597,0.48535526,"('unfair', 'fair')",-1.0058804,-0.86117136,-0.63933206,-0.75990736,-0.3822155,-0.3785745,-0.003641
13,-0.49831894,-0.3405927,"('impolite', 'polite')",-0.8302809,-0.779011,-0.72853184,-0.7939795,-0.6857106,-0.6378611,-0.0478495
41,0.47678334,0.5815357,"('unforgiving', 'forgiving')",-0.26453424,-0.2625011,0.19641685,0.21092288,0.136222,0.1766525,-0.0404305
52,-0.47564164,-0.42366314,"('irrational', 'rational')",0.17312436,0.31094396,-0.0816281,0.039667744,-0.1280485,-0.0243505,-0.103698
33,0.47557658,0.54669285,"('wrong', 'right')",0.29983777,0.42184475,-0.56640875,-0.45701292,0.0696685,0.1705082,-0.1008397
74,0.46999,0.3994105,"('undedicated', 'dedicated')",0.8381652,0.9186322,-0.15761895,-0.110548496,0.3835121,0.4024981,-0.018986
71,0.46970606,0.32338384,"('diffident', 'self-confident')",1.1314496,0.9865455,0.61025095,0.5817561,0.7371356,0.6305618,0.1065738
82,-0.45094728,-0.5058768,"('poor', 'rich')",-1.8275537,-1.774125,6.0936275,5.915262,1.2717088,1.2117535,0.0599553
83,0.44662106,0.500207,"('powerless', 'powerful')",-0.30579963,-0.2927744,-1.1589835,-1.0911441,-0.3393873,-0.2945705,-0.0448168
17,-0.43615732,-0.32089877,"('nasty', 'nice')",0.08993279,0.03521896,-0.2252561,-0.19765612,-0.1904935,-0.161112,-0.0293815
25,-0.4070943,-0.36873007,"('egoistic', 'altruistic')",0.0643918,0.111351445,1.2527174,1.389407,0.3033383,0.3773428,-0.0740045
67,0.38281485,0.37708476,"('doubtful', 'determined')",1.0303288,1.0566512,-0.45305592,-0.4563005,0.3200292,0.3258118,-0.0057826
60,0.37797627,0.5545108,"('inefficient', 'efficient')",-0.73260134,-0.5959508,-0.27701312,-0.23755556,-0.2105461,-0.0929985,-0.1175476
47,0.36219224,0.4403476,"('stupid', 'smart')",0.18582943,0.30070412,5.388011,5.520557,1.9786776,2.0872029,-0.1085253
0,-0.3619345,-0.3387649,"('unsociable', 'sociable')",0.15566993,-0.054240398,-0.45872298,-0.42734033,-0.2216625,-0.2734485,0.051786
72,0.36006504,0.35225397,"('unambitious', 'ambitious')",0.034936823,0.06652967,-0.04650911,0.07196032,0.1161642,0.1635813,-0.0474171
22,0.34745705,0.4278649,"('untrustworthy', 'trustworthy')",-0.36324236,-0.31519014,-0.81807643,-0.8105297,-0.2779539,-0.2326183,-0.0453356
63,0.3469252,0.26500338,"('unperceptive', 'insightful')",-0.16808257,-0.21665388,-0.1901234,-0.23470896,-0.0037603,-0.0621198,0.0583595
68,-0.34266317,-0.31587273,"('dependent', 'independent')",-0.6848917,-0.668853,-1.8693058,-1.8905973,-0.9656202,-0.958441,-0.0071792
54,-0.34096524,-0.18559794,"('incapable', 'capable')",-0.39165938,-0.29219565,0.71835315,0.7134594,-0.0047572,0.0785553,-0.0833125
4,-0.32275173,-0.5631118,"('disliked', 'liked')",0.4504771,0.40211305,-7.306085,-7.3291154,-2.3927867,-2.4967047,0.103918
24,0.28008065,0.3488473,"('dishonest', 'honest')",-0.23061006,-0.21728127,0.79621917,0.69138014,0.2818966,0.2743154,0.0075812
9,0.27869254,0.2976809,"('unaffectionate', 'caring')",0.25507307,0.14962903,1.1525706,1.1869237,0.5621121,0.5447446,0.0173675
21,0.2637072,0.69280005,"('immoral', 'moral')",-0.44958383,-0.20419958,-1.1841974,-1.0818176,-0.4566913,-0.197739,-0.2589523
75,-0.2541994,-0.52695984,"('meek', 'impulsive')",-0.4669648,-0.5567849,-0.4281782,-0.43823162,-0.3831141,-0.5073255,0.1242114
38,0.24533993,0.08846214,"('untruthful', 'truthful')",0.06536341,-0.024099875,0.021432973,-0.032384876,0.1107121,0.0106591,0.100053
53,-0.24315831,-0.21952151,"('uncreative', 'creative')",-2.1496308,-2.1021488,0.27360207,0.34685662,-0.7063957,-0.6582712,-0.0481245
12,0.23416823,0.32547003,"('unsupportive', 'supportive')",-0.2823329,-0.23899242,-2.1928015,-2.1187463,-0.7469887,-0.6774229,-0.0695658
79,-0.22763367,-0.38665816,"('wavering', 'unwavering')",0.7090547,0.5725517,-0.24836016,-0.3461951,0.077687,-0.0534338,0.1311208
10,0.1923166,0.4104257,"('unsympathetic', 'sympathetic')",-1.0559258,-1.0605981,-0.17516384,-0.1980325,-0.3462577,-0.282735,-0.0635227
