,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-2.2169275,-2.3177464,"('unsympathetic', 'sympathetic')",-3.3878987,-3.5102987,-1.7726207,-1.7011666,0.02590634,-0.09956492,-1.837885,-1.9071941,0.0693091
55,-1.9247053,-1.9418473,"('incompetent', 'clever')",-1.9901592,-2.172811,-0.73428357,-0.7238927,0.07229748,0.1726285,-1.1442126,-1.1664807,0.0222681
21,-1.8730617,-1.8082919,"('immoral', 'moral')",-2.4816196,-2.465937,-0.5996981,-0.62936217,-0.8658666,-0.7652355,-1.4550614,-1.4172066,-0.0378548
81,-1.7650874,-1.6425309,"('submissive', 'aggressive')",-3.170924,-3.072293,-1.2916039,-0.9867728,-1.0544645,-0.8435259,-1.8205199,-1.6362805,-0.1842394
65,-1.7516494,-1.724507,"('insecure', 'secure')",-1.948815,-1.9931779,-0.97685224,-0.9612528,0.06605445,0.24004997,-1.1528156,-1.1097219,-0.0430937
57,-1.6835401,-1.8516194,"('unimaginative', 'imaginative')",-2.1434348,-2.368798,-1.4045801,-1.5376003,-3.6087656,-3.6640472,-2.2100801,-2.3555162,0.1454361
69,1.6606557,1.6849489,"('lazy', 'industrious')",2.5466557,2.714457,1.1638649,1.253947,-0.88403094,-0.9198167,1.1217865,1.1833841,-0.0615976
70,-1.562573,-1.4382157,"('lethargic', 'energetic')",-2.0180275,-1.9625288,-1.0929661,-0.96685874,0.13792254,0.19888468,-1.133911,-1.0421797,-0.0917313
85,1.5561932,1.417219,"('insignificant', 'prestigious')",1.961497,1.9824624,2.2516594,2.0098379,0.0061892737,-0.2949914,1.4438847,1.2786319,0.1652528
73,1.5389671,1.6624296,"('helpless', 'self-reliant')",2.5284646,2.6384273,1.1627088,1.1512854,-3.4129982,-3.2966337,0.4542855,0.538877,-0.0845915
48,-1.5113245,-1.6156698,"('unintelligent', 'intelligent')",-1.5037198,-1.6883793,-0.06389757,-0.14165622,0.065125786,-0.06398848,-0.753454,-0.8774234,0.1239694
46,-1.4563379,-1.5090705,"('uncompetitive', 'competitive')",-1.7086967,-1.8735256,-0.60568625,-0.48677993,-0.10548477,-0.22167116,-0.9690514,-1.0227618,0.0537104
11,-1.4294757,-1.3431993,"('unhelpful', 'helpful')",-1.5670601,-1.6810477,-0.046638515,0.0056653693,2.8327587,2.7590115,-0.0526039,-0.0648925,0.0122886
30,-1.4213482,-1.2005002,"('intolerant', 'tolerant')",-2.1701043,-2.0832736,-0.11690272,-0.0471129,-0.03155786,0.15018371,-0.9349783,-0.7951758,-0.1398025
71,1.411262,1.3658588,"('diffident', 'self-confident')",1.1051816,1.0720158,2.0731268,2.106034,0.5644418,0.46413505,1.2885031,1.2520109,0.0364922
62,-1.3884342,-1.2005026,"('incompetent', 'brilliant')",-2.0536926,-2.03653,-0.30716017,-0.16324633,-0.23046656,-0.10374229,-0.9949384,-0.8760054,-0.118933
3,-1.2552991,-1.3094041,"('repellent', 'pleasant')",-1.2760139,-1.3126996,-1.8049468,-1.6931676,0.15986258,0.2883925,-1.0440993,-1.0067197,-0.0373796
20,-1.250055,-1.2149204,"('rough', 'thoughtful')",-0.5166717,-0.5307875,-0.65767324,-0.58822024,0.22359185,0.25505906,-0.550202,-0.5197173,-0.0304847
14,-1.1895652,-1.1402789,"('antisocial', 'social')",-2.6785517,-2.5868747,0.14886174,0.19528098,-1.2302643,-0.97086215,-1.2373799,-1.1256838,-0.1116961
5,1.180727,1.2197213,"('distant', 'outgoing')",1.1963696,1.2412832,1.827678,1.7006302,-0.3808583,-0.5268197,0.9559791,0.9087037,0.0472754
86,-1.1600969,-1.4317114,"('uninfluential', 'influential')",-1.8289917,-2.0564737,-0.14014617,-0.29135734,-0.6053106,-0.85766315,-0.9336364,-1.1593014,0.225665
45,-1.1531025,-1.2861443,"('incompetent', 'competent')",-2.5492606,-2.6711738,0.1573582,0.17360118,-0.40704072,-0.54316574,-0.9880114,-1.0817207,0.0937093
33,1.1436098,1.0776408,"('wrong', 'right')",1.2457056,1.2437416,1.678013,1.4894463,-0.4948281,-0.67429113,0.8931251,0.7841344,0.1089907
60,-1.1283568,-1.0253748,"('inefficient', 'efficient')",-2.4676795,-2.3596244,0.10327703,0.3480415,0.25417644,0.4652439,-0.8096458,-0.6429285,-0.1667173
28,-1.0822799,-1.4361567,"('disloyal', 'loyal')",-1.1232795,-1.4229479,0.10523533,-0.13190499,1.200398,0.93663883,-0.2249815,-0.5135927,0.2886112
76,-1.0799246,-0.81680393,"('anxious', 'daring')",-1.6002592,-1.5139931,-1.0400239,-0.88493603,-0.09907761,0.2689182,-0.9548213,-0.7367038,-0.2181175
88,-1.02473,-1.0202918,"('low', 'eminent')",-1.2620695,-1.3624746,-0.18139476,-0.18832667,-0.15818517,-0.28533942,-0.6565949,-0.714108,0.0575131
43,-1.0139245,-0.8219302,"('irresponsible', 'responsible')",-1.6019548,-1.65431,0.21498804,0.3373328,0.92147475,0.89074355,-0.3698542,-0.312041,-0.0578132
77,-1.0112516,-1.0612919,"('unmotivated', 'motivated')",-0.75084376,-0.69235367,-0.0079991,0.1178833,-0.78401124,-0.66924274,-0.6385264,-0.5762513,-0.0622751
7,-0.9903951,-1.148185,"('insensitive', 'sensitive')",-1.2233261,-1.3329529,-0.2488864,-0.18135849,0.4041232,0.26554334,-0.5146211,-0.5992383,0.0846172
27,-0.9808352,-1.105115,"('hardhearted', 'softhearted')",-0.7440644,-0.772146,0.015836943,-0.050663907,0.8690833,0.6264262,-0.2099948,-0.3253747,0.1153799
0,-0.94999933,-1.1221588,"('unsociable', 'sociable')",-1.813019,-1.9925593,0.6845043,0.5835824,0.25375196,0.13392071,-0.4561905,-0.5993037,0.1431132
35,0.9419125,0.9241849,"('corrupt', 'incorrupt')",2.6105323,2.684835,-0.5719346,-0.62396854,-0.7779398,-0.81255084,0.5506426,0.5431251,0.0075175
49,-0.93601155,-0.9558822,"('unable', 'able')",-0.7890109,-0.840849,-0.3819514,-0.2711656,-0.8062261,-0.7355711,-0.7283,-0.700867,-0.027433
22,-0.916901,-0.8980607,"('untrustworthy', 'trustworthy')",-1.2348818,-1.3594007,-1.4448872,-1.4786482,-0.7658577,-0.75736564,-1.090632,-1.1233689,0.0327369
59,0.9022696,0.861037,"('foolish', 'wise')",0.9981363,0.89762324,0.86202776,0.768027,-0.06572882,-0.32200545,0.6741762,0.5511705,0.1230057
17,-0.84281856,-0.91061854,"('nasty', 'nice')",-0.7794314,-0.90194714,-1.2540388,-1.3434758,-0.77166724,-0.72708064,-0.911989,-0.9707806,0.0587916
66,0.8338585,0.752035,"('inactive', 'active')",0.534868,0.5759485,-0.22801855,-0.10040112,0.5094549,0.45630312,0.4125407,0.4209714,-0.0084307
80,-0.798256,-0.7902009,"('dominated', 'dominating')",-0.5071973,-0.5398365,-0.86781526,-0.68526375,-0.7260216,-0.5352505,-0.7248225,-0.6376379,-0.0871846
6,0.78485364,0.73898864,"('distant', 'open')",1.100998,1.0924008,1.5843894,1.4475203,-0.17697258,-0.49473467,0.8233171,0.6960437,0.1272734
