,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.0406678,-3.223153,"('unsympathetic', 'sympathetic')",0.9663411,1.1148406,-1.0371634,-1.0541563,0.0169929
69,2.644,2.813794,"('lazy', 'industrious')",-1.5740583,-1.5209568,0.5349709,0.6464186,-0.1114477
86,-2.5827205,-2.6422236,"('uninfluential', 'influential')",0.34613746,0.32242638,-1.1182915,-1.1598986,0.0416071
35,2.4705741,2.612973,"('corrupt', 'incorrupt')",-1.5846901,-1.4961474,0.442942,0.5584128,-0.1154708
46,-2.1400502,-2.3998911,"('uncompetitive', 'competitive')",0.686997,0.52044076,-0.7265266,-0.9397252,0.2131986
43,-1.9521852,-2.036403,"('irresponsible', 'responsible')",1.2864157,1.4575509,-0.3328847,-0.289426,-0.0434587
55,-1.927709,-2.073798,"('incompetent', 'clever')",1.2371975,1.1168009,-0.3452557,-0.4784985,0.1332428
81,-1.9228594,-2.0129664,"('submissive', 'aggressive')",0.21380475,0.34775805,-0.8545274,-0.8326042,-0.0219232
60,-1.8999624,-2.1683714,"('inefficient', 'efficient')",1.065839,1.0066782,-0.4170617,-0.5808466,0.1637849
48,-1.8136148,-2.0992825,"('unintelligent', 'intelligent')",0.7094834,0.49836394,-0.5520657,-0.8004593,0.2483936
57,-1.8066545,-2.0323417,"('unimaginative', 'imaginative')",-2.3642867,-2.507466,-2.0854707,-2.2699039,0.1844332
5,1.7588574,1.8089954,"('distant', 'outgoing')",-1.127722,-1.0725609,0.3155677,0.3682172,-0.0526495
73,1.7068326,1.7921003,"('helpless', 'self-reliant')",-2.9889693,-3.0630362,-0.6410683,-0.6354679,-0.0056004
65,-1.6054162,-2.0078492,"('insecure', 'secure')",0.30847868,0.16466269,-0.6484687,-0.9215932,0.2731245
0,-1.5937531,-2.028199,"('unsociable', 'sociable')",0.469322,0.36117187,-0.5622156,-0.8335136,0.271298
21,-1.5502625,-1.6217797,"('immoral', 'moral')",0.38212663,0.39147276,-0.5840679,-0.6151534,0.0310855
70,-1.5478116,-1.6520653,"('lethargic', 'energetic')",0.8961511,1.0131072,-0.3258303,-0.319479,-0.0063513
76,-1.5467587,-1.5805229,"('anxious', 'daring')",0.025423206,0.19682878,-0.7606677,-0.6918471,-0.0688206
85,1.4814702,1.524074,"('insignificant', 'prestigious')",-1.3055955,-1.3206487,0.0879374,0.1017126,-0.0137752
11,-1.4795336,-1.7178478,"('unhelpful', 'helpful')",2.8266616,2.866561,0.673564,0.5743566,0.0992074
23,-1.4293829,-1.7564136,"('insincere', 'sincere')",6.7189913,6.529042,2.6448042,2.3863142,0.25849
6,1.3972595,1.6966952,"('distant', 'open')",-0.9749134,-0.8078498,0.211173,0.4444227,-0.2332497
28,-1.3415875,-1.5212653,"('disloyal', 'loyal')",1.2872056,1.2386312,-0.027191,-0.141317,0.114126
24,-1.3131857,-1.4331512,"('dishonest', 'honest')",0.91604125,1.0121286,-0.1985722,-0.2105113,0.0119391
75,1.2974222,1.4100678,"('meek', 'impulsive')",-1.2724252,-1.1221366,0.0124985,0.1439656,-0.1314671
62,-1.293812,-1.5255891,"('incompetent', 'brilliant')",1.5513802,1.4613297,0.1287841,-0.0321297,0.1609138
45,-1.2931523,-1.4909422,"('incompetent', 'competent')",0.5976484,0.46924803,-0.347752,-0.5108471,0.1630951
4,1.2289102,1.2046483,"('disliked', 'liked')",-6.8036013,-6.9453616,-2.7873454,-2.8703566,0.0830112
30,-1.2047547,-1.365461,"('intolerant', 'tolerant')",0.9071393,0.8444159,-0.1488077,-0.2605225,0.1117148
80,-1.1751549,-1.3469119,"('dominated', 'dominating')",-0.019675426,0.015446171,-0.5974151,-0.6657329,0.0683178
13,-1.168225,-1.3218275,"('impolite', 'polite')",0.47983053,0.46131006,-0.3441973,-0.4302588,0.0860615
32,-1.1241249,-1.0502933,"('unkind', 'kind')",1.4779915,1.8105646,0.1769333,0.3801357,-0.2032024
72,-1.118546,-1.1173488,"('unambitious', 'ambitious')",0.08607397,0.15631568,-0.516236,-0.4805166,-0.0357194
