,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.4599268,-2.3609498,"('unfriendly', 'friendly')",-0.23499213,-0.14177203,1.5679862,1.8043666,-0.3756442,-0.2327851,-0.1428591
53,-1.8414007,-1.6969488,"('uncreative', 'creative')",-0.70637816,-0.53841287,0.69416666,0.89215314,-0.6178707,-0.4477361,-0.1701346
6,-1.680194,-1.4772345,"('distant', 'open')",-0.51194733,-0.32162812,-0.22567976,0.11216145,-0.8059403,-0.5622337,-0.2437066
8,-1.6658641,-1.6532024,"('unaffectionate', 'affectionate')",-0.83530027,-0.775995,0.3664872,0.5166009,-0.7115591,-0.6375322,-0.0740269
9,-1.6490258,-1.5135891,"('unaffectionate', 'caring')",-0.40590414,-0.36648655,0.7700632,0.9716119,-0.4282889,-0.3028213,-0.1254676
36,-1.6007001,-1.5078487,"('hostile', 'amicable')",0.0016188249,0.1503273,1.0055927,1.2066244,-0.1978295,-0.050299,-0.1475305
41,-1.4730885,-1.3882427,"('unforgiving', 'forgiving')",-0.03989035,-0.120126925,0.2368728,0.38784683,-0.4253687,-0.3735076,-0.0518611
77,-1.4234858,-1.4759957,"('unmotivated', 'motivated')",-0.37951165,-0.30594233,-1.1785523,-1.2291173,-0.9938499,-1.0036851,0.0098352
18,-1.3952992,-1.1878794,"('disagreeable', 'welcoming')",0.42645055,0.7270311,-1.3338065,-0.8999814,-0.7675517,-0.4536099,-0.3139418
25,-1.2186631,-1.0354501,"('egoistic', 'altruistic')",0.09152204,0.3843156,1.4289078,1.5461426,0.1005889,0.298336,-0.1977471
86,-1.1999354,-1.2626662,"('uninfluential', 'influential')",-0.38728833,-0.42633706,-0.2829807,-0.26515996,-0.6234015,-0.6513877,0.0279862
19,-1.1729532,-1.0731575,"('inhospitable', 'hospitable')",-1.2134001,-0.8786799,-0.8296534,-0.47863764,-1.0720023,-0.8101583,-0.261844
40,-1.1077048,-1.1476941,"('stingy', 'generous')",-0.03671772,-0.14080334,-1.4215096,-1.4547688,-0.8553108,-0.914422,0.0591112
57,-1.0998186,-1.2445692,"('unimaginative', 'imaginative')",0.11815964,-0.02087485,-1.1191747,-1.3838472,-0.7002779,-0.8830971,0.1828192
