,legg_male,legg_female,tuple,mason_male,mason_female,inc_male,inc_female,average_male,average_female,male-female
48,-2.4575872,-2.1955934,"('unintelligent', 'intelligent')",0.16836342,0.27929956,0.07608002,0.3822828,-0.7377146,-0.511337,-0.2263776
1,-1.9592072,-1.8939217,"('unfriendly', 'friendly')",-0.547631,-0.61358744,1.6096809,1.4556158,-0.2990525,-0.3506312,0.0515787
23,-1.9100753,-1.6802666,"('insincere', 'sincere')",1.6205635,1.61343,5.529294,5.6777267,1.7465941,1.8702968,-0.1237027
73,1.8445108,2.0087075,"('helpless', 'self-reliant')",-2.0056963e-05,0.5853063,-2.81082,-2.5397387,-0.3221098,0.0180917,-0.3402015
0,-1.6367424,-2.0065033,"('unsociable', 'sociable')",1.293049,0.48284343,-0.22319932,-0.66060996,-0.1889642,-0.72809,0.5391258
86,-1.5956419,-1.9114093,"('uninfluential', 'influential')",0.34803098,-0.24529426,0.011807986,-0.5346708,-0.4119343,-0.8971248,0.4851905
77,-1.5354887,-0.9659385,"('unmotivated', 'motivated')",0.261408,0.4207991,-0.82571226,-0.85397863,-0.699931,-0.4663727,-0.2335583
10,-1.5012716,-1.5759735,"('unsympathetic', 'sympathetic')",1.3593593,0.9579337,0.36754766,0.08363339,0.0752118,-0.1781355,0.2533473
60,-1.463118,-0.6786856,"('inefficient', 'efficient')",1.7791518,1.7625711,-0.19801039,0.22737128,0.0393412,0.4370855,-0.3977443
72,-1.4541087,-1.1409414,"('unambitious', 'ambitious')",0.11943234,0.22551474,-0.7905017,-0.49684143,-0.7083927,-0.470756,-0.2376367
35,1.4319211,1.0122598,"('corrupt', 'incorrupt')",-0.58904356,-0.5295344,-0.41495585,-0.5736285,0.1426406,-0.030301,0.1729416
13,-1.2971225,-0.9152723,"('impolite', 'polite')",0.20939267,-0.066879876,-0.6071113,-0.5452091,-0.564947,-0.5091204,-0.0558266
11,-1.2960299,-1.2302971,"('unhelpful', 'helpful')",0.75370866,0.98724544,1.9932481,1.9797572,0.4836423,0.5789018,-0.0952595
32,-1.2872868,-1.21546,"('unkind', 'kind')",0.75978494,0.4891693,0.8687929,0.8715188,0.1137637,0.0484094,0.0653543
78,-1.2306681,-1.0801848,"('nonresilient', 'resilient')",0.10103427,0.036790825,0.9818183,0.8946371,-0.0492718,-0.0495856,0.0003138
18,-1.179763,-0.65765023,"('disagreeable', 'welcoming')",-1.2003763,-0.6450867,-0.84379554,-0.6056916,-1.074645,-0.6361429,-0.4385021
9,-1.1754249,-1.1196598,"('unaffectionate', 'caring')",0.6078288,0.7098674,1.3551587,1.3787168,0.2625208,0.3229748,-0.060454
88,-1.1555618,-1.0968945,"('low', 'eminent')",-0.43389088,-0.474094,-0.13091889,0.058424875,-0.5734572,-0.5041879,-0.0692693
53,-1.1523572,-1.2264689,"('uncreative', 'creative')",0.08129075,-0.095382646,1.0451108,0.94806355,-0.0086519,-0.124596,0.1159441
75,1.1239787,1.0443963,"('meek', 'impulsive')",-1.5486948,-1.1531677,-0.5148804,-0.43834078,-0.3131988,-0.1823707,-0.1308281
62,-1.0657731,-0.6173222,"('incompetent', 'brilliant')",0.27013618,0.73221076,0.07646695,0.5039325,-0.2397233,0.2062737,-0.445997
49,-1.0539932,-0.8678533,"('unable', 'able')",-0.75552523,-0.60264206,-0.38003644,-0.039202854,-0.7298516,-0.5032327,-0.2266189
27,-1.0356812,-0.92552733,"('hardhearted', 'softhearted')",0.02799363,0.2672559,1.4222221,1.3965452,0.1381782,0.2460912,-0.107913
28,-1.018941,-1.4212424,"('disloyal', 'loyal')",0.86825234,0.65687346,1.142968,0.7569446,0.3307598,-0.0024748,0.3332346
54,-1.004347,-0.72343373,"('incapable', 'capable')",0.19286606,0.3707261,0.83446556,1.2321012,0.0076616,0.2931312,-0.2854696
