,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.1997747,-2.56786,"('unsympathetic', 'sympathetic')",0.56838924,0.39055377,-0.8156928,-1.0886531,0.2729603
86,-1.9747459,-1.90246,"('uninfluential', 'influential')",0.07744454,0.1277273,-0.9486507,-0.8873664,-0.0612843
69,1.9730012,2.1646643,"('lazy', 'industrious')",-0.42931658,-0.21988559,0.7718424,0.9723893,-0.2005469
23,-1.8459858,-2.2617247,"('insincere', 'sincere')",5.377971,5.1220503,1.7659926,1.4301628,0.3358298
85,1.8358731,2.1282248,"('insignificant', 'prestigious')",0.54319435,0.57757455,1.1895337,1.3528997,-0.163366
57,-1.7555603,-1.7894747,"('unimaginative', 'imaginative')",-2.1102226,-2.2848244,-1.9328914,-2.0371494,0.104258
48,-1.6855179,-1.7565522,"('unintelligent', 'intelligent')",0.980287,1.0862244,-0.3526154,-0.3351639,-0.0174515
65,-1.646627,-1.978467,"('insecure', 'secure')",-0.52529275,-0.63664937,-1.0859599,-1.3075582,0.2215983
0,-1.6339573,-1.8793174,"('unsociable', 'sociable')",-0.33968884,-0.42027092,-0.9868231,-1.1497941,0.162971
11,-1.5966641,-1.85051,"('unhelpful', 'helpful')",2.1072464,1.9369256,0.2552912,0.0432078,0.2120834
46,-1.5750892,-1.9776264,"('uncompetitive', 'competitive')",0.18606026,-0.1751698,-0.6945145,-1.0763981,0.3818836
43,-1.5653322,-1.9352336,"('irresponsible', 'responsible')",0.9066137,0.6915852,-0.3293592,-0.6218242,0.292465
14,-1.5048684,-1.4725578,"('antisocial', 'social')",-0.6609033,-0.61101204,-1.0828859,-1.0417849,-0.041101
73,1.4726487,1.3790709,"('helpless', 'self-reliant')",-2.6472945,-2.7060008,-0.5873229,-0.663465,0.0761421
21,-1.4718301,-1.7619094,"('immoral', 'moral')",-0.40339786,-0.58320546,-0.937614,-1.1725574,0.2349434
35,1.4268174,1.7786937,"('corrupt', 'incorrupt')",-0.4724367,-0.17585006,0.4771904,0.8014218,-0.3242314
81,-1.39749,-1.5617102,"('submissive', 'aggressive')",-0.30593443,-0.25803283,-0.8517122,-0.9098715,0.0581593
63,-1.3545783,-1.6140103,"('unperceptive', 'insightful')",1.6830772,1.5686294,0.1642495,-0.0226905,0.18694
5,1.3088478,1.5125829,"('distant', 'outgoing')",-0.16263905,-0.029420575,0.5731044,0.7415811,-0.1684767
55,-1.2840458,-1.4510434,"('incompetent', 'clever')",0.32718036,0.23426677,-0.4784327,-0.6083883,0.1299556
1,-1.2077389,-1.27703,"('unfriendly', 'friendly')",1.4846643,1.2193,0.1384627,-0.028865,0.1673277
4,1.1724869,1.4548359,"('disliked', 'liked')",-5.753718,-5.599622,-2.2906156,-2.0723929,-0.2182227
3,-1.1530569,-1.3798326,"('repellent', 'pleasant')",-0.02302436,-0.1768636,-0.5880406,-0.7783481,0.1903075
75,1.1490107,1.2761209,"('meek', 'impulsive')",-0.31882092,-0.018601067,0.4150949,0.6287599,-0.213665
6,1.1248785,1.3670346,"('distant', 'open')",0.04282991,0.07293284,0.5838542,0.7199837,-0.1361295
47,-1.1030524,-1.2377893,"('stupid', 'smart')",4.38602,4.447205,1.6414839,1.604708,0.0367759
72,-1.0931288,-1.1624101,"('unambitious', 'ambitious')",-0.9263717,-0.8071169,-1.0097502,-0.9847635,-0.0249867
50,1.0620776,0.8093829,"('clumsy', 'skillful')",0.63390404,0.34459767,0.8479909,0.5769903,0.2710006
60,-1.0503347,-1.4541575,"('inefficient', 'efficient')",0.60177815,0.43158838,-0.2242783,-0.5112845,0.2870062
62,-1.0173409,-1.1743547,"('incompetent', 'brilliant')",0.8504563,0.8171494,-0.0834423,-0.1786026,0.0951603
56,-1.0160073,-1.2058783,"('impractical', 'practical')",0.33950916,0.26216087,-0.3382491,-0.4718587,0.1336096
59,1.0065691,1.0756286,"('foolish', 'wise')",0.26917776,0.22289078,0.6378735,0.6492597,-0.0113862
22,-0.98557913,-1.0985178,"('untrustworthy', 'trustworthy')",-0.98333424,-0.9530443,-0.9844567,-1.025781,0.0413243
12,-0.972485,-1.0620729,"('unsupportive', 'supportive')",-1.0462661,-1.1039491,-1.0093756,-1.0830109,0.0736353
79,0.9617148,1.0643384,"('wavering', 'unwavering')",0.36397302,0.38283733,0.6628439,0.7235879,-0.060744
66,0.95011693,0.95861745,"('inactive', 'active')",1.0218885,1.0104284,0.9860027,0.9845229,0.0014798
70,-0.92593193,-1.3488222,"('lethargic', 'energetic')",1.0164149,0.91426283,0.0452415,-0.2172797,0.2625212
30,-0.9012467,-1.0487322,"('intolerant', 'tolerant')",1.2647209,1.2372004,0.1817371,0.0942341,0.087503
2,0.8972751,0.65341765,"('unlikable', 'likable')",0.7460783,0.69124705,0.8216767,0.6723323,0.1493444
58,-0.88360626,-0.75745296,"('undiscriminating', 'discriminating')",0.27588207,0.2211794,-0.3038621,-0.2681368,-0.0357253
34,-0.87213117,-1.099911,"('mean', 'honorable')",5.843294,5.707544,2.4855814,2.3038163,0.1817651
44,0.8548288,0.7865079,"('prejudiced', 'unprejudiced')",-1.6373968,-1.8208835,-0.391284,-0.5171878,0.1259038
28,-0.83195525,-0.8843469,"('disloyal', 'loyal')",0.56973237,0.36756557,-0.1311114,-0.2583907,0.1272793
83,-0.7993167,-0.60254866,"('powerless', 'powerful')",-0.8478226,-0.74797827,-0.8235697,-0.6752635,-0.1483062
41,-0.79783297,-0.6634809,"('unforgiving', 'forgiving')",-0.048883907,0.14323749,-0.4233584,-0.2601217,-0.1632367
7,-0.7844592,-1.1171347,"('insensitive', 'sensitive')",0.86767673,0.51859057,0.0416088,-0.2992721,0.3408809
32,-0.767082,-1.0073723,"('unkind', 'kind')",0.9556987,0.7890084,0.0943084,-0.1091819,0.2034903
19,0.74758804,0.8672741,"('inhospitable', 'hospitable')",0.12457794,0.28705478,0.436083,0.5771644,-0.1410814
31,0.742208,1.0635985,"('evil', 'good')",-1.3455381,-1.2334175,-0.3016651,-0.0849095,-0.2167556
