,honeywell_male,honeywell_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.0978618,-1.9731065,"('unsympathetic', 'sympathetic')",-0.932861,-1.0105796,-0.59023535,-0.6925915,-1.206986,-1.2254258,0.0184398
57,-1.818181,-1.7116119,"('unimaginative', 'imaginative')",-0.40194654,-0.46993148,-2.3213243,-2.451038,-1.5138173,-1.5441937,0.0303764
69,1.7065946,1.6329894,"('lazy', 'industrious')",1.5184889,1.4962392,-0.6489749,-0.4428082,0.8587028,0.8954735,-0.0367707
70,-1.6111872,-1.4028139,"('lethargic', 'energetic')",0.099390894,0.10848206,0.61105084,0.48832935,-0.3002485,-0.2686675,-0.031581
72,-1.5158135,-1.3007393,"('unambitious', 'ambitious')",-0.38568148,-0.17874277,-1.2119994,-1.0905463,-1.0378315,-0.8566761,-0.1811554
77,-1.4885186,-1.4512634,"('unmotivated', 'motivated')",-0.4737917,-0.45906,-1.5897444,-1.3979362,-1.1840183,-1.1027532,-0.0812651
3,-1.46175,-1.4130701,"('repellent', 'pleasant')",-0.118215166,-0.4051251,0.11039603,-0.062203154,-0.4898564,-0.6267995,0.1369431
43,-1.3920989,-1.1620092,"('irresponsible', 'responsible')",-0.0856857,-0.023558991,0.33642527,0.4828147,-0.3804531,-0.2342512,-0.1462019
33,1.3298692,1.3840078,"('wrong', 'right')",0.8529788,0.9439039,-0.28303754,-0.17833894,0.6332701,0.7165243,-0.0832542
81,-1.2978091,-1.1970258,"('submissive', 'aggressive')",0.4333625,0.44046837,-0.8259758,-0.90084505,-0.5634741,-0.5524675,-0.0110066
82,-1.25094,-1.1078436,"('poor', 'rich')",-1.0029067,-0.938569,5.403609,5.6383166,1.0499207,1.1973013,-0.1473806
65,-1.2385114,-1.1910353,"('insecure', 'secure')",0.16710241,0.11626056,-0.34766978,-0.34947807,-0.4730263,-0.4747509,0.0017246
14,-1.2177736,-1.0021671,"('antisocial', 'social')",0.9017357,0.8870743,-0.843452,-0.72485197,-0.3864966,-0.2799816,-0.106515
35,1.2013843,1.0857954,"('corrupt', 'incorrupt')",-0.5439028,-0.4396235,-0.46832493,-0.29757664,0.0630522,0.1161984,-0.0531462
53,-1.1896702,-1.0512577,"('uncreative', 'creative')",-0.431661,-0.38652968,0.61353034,0.8124133,-0.3359336,-0.208458,-0.1274756
86,-1.1732067,-1.1415836,"('uninfluential', 'influential')",-0.04386442,0.014053253,-0.13349354,-0.23489831,-0.4501882,-0.4541429,0.0039547
85,1.1667901,0.9014705,"('insignificant', 'prestigious')",-0.6922965,-0.6493828,0.4011797,0.324512,0.2918911,0.1921999,0.0996912
76,-1.154831,-0.9431825,"('anxious', 'daring')",0.43528917,0.48731172,0.0104338415,0.02568242,-0.2363694,-0.1433961,-0.0929733
0,-1.1235255,-0.92856926,"('unsociable', 'sociable')",-0.2706429,-0.25200653,-0.7228392,-0.60824335,-0.7056692,-0.5962731,-0.1093961
