,suntrust_male,suntrust_female,tuple,banks_male,banks_female,inc_male,inc_female,average_male,average_female,male-female
77,-1.7070138,-1.1945605,"('unmotivated', 'motivated')",-0.17556721,-0.005697397,-1.4797382,-1.262418,-1.1207731,-0.820892,-0.2998811
53,-1.4587157,-1.1310911,"('uncreative', 'creative')",0.44863138,0.6293528,0.5993237,0.6606867,-0.1369202,0.0529828,-0.189903
46,-1.4396541,-0.9310757,"('uncompetitive', 'competitive')",0.26186383,0.3195841,-0.36495563,-0.44373608,-0.5142486,-0.3517425,-0.1625061
10,-1.3065293,-0.8351709,"('unsympathetic', 'sympathetic')",-0.18389818,-0.034458395,0.26379296,0.08060478,-0.4088782,-0.2630082,-0.14587
73,1.2358615,1.4162316,"('helpless', 'self-reliant')",0.27537692,0.3885121,-3.3712406,-3.2488046,-0.6200007,-0.4813536,-0.1386471
85,1.2302791,1.0615816,"('insignificant', 'prestigious')",0.9285998,0.88513774,-0.34641933,0.040654045,0.6041532,0.6624578,-0.0583046
55,-1.1491616,-0.89907235,"('incompetent', 'clever')",0.24710405,0.30436254,0.16120291,0.082995236,-0.2469515,-0.1705715,-0.07638
60,-1.1358615,-0.30191258,"('inefficient', 'efficient')",0.81844604,1.1799182,-0.06529004,0.24723265,-0.1275685,0.3750794,-0.5026479
45,-1.121145,-0.82398874,"('incompetent', 'competent')",0.32757002,0.42980212,-0.33826515,-0.405841,-0.37728,-0.2666759,-0.1106041
0,-1.0879707,-0.9007766,"('unsociable', 'sociable')",0.82586575,0.8931603,-0.555446,-0.518967,-0.272517,-0.1755278,-0.0969892
1,-1.0518689,-0.8514374,"('unfriendly', 'friendly')",1.1890438,1.315255,1.047985,1.3293257,0.3950533,0.5977144,-0.2026611
21,-1.0465285,-0.61016494,"('immoral', 'moral')",0.55723774,0.675867,-0.9958296,-0.8639593,-0.4950401,-0.2660857,-0.2289544
68,-1.0385313,-1.0784873,"('dependent', 'independent')",-1.4844437,-1.5419679,-0.57484424,-0.63708854,-1.0326064,-1.0858479,0.0532415
43,-1.0297805,-0.3306021,"('irresponsible', 'responsible')",0.29319516,0.56861407,0.17567454,0.3715721,-0.1869703,0.2031947,-0.390165
49,-1.0112573,-0.8001742,"('unable', 'able')",-0.9469045,-0.817357,-0.4297514,-0.26719445,-0.7959711,-0.6282419,-0.1677292
57,-1.0057244,-0.9039957,"('unimaginative', 'imaginative')",-0.27766806,-0.25319207,-2.4761422,-2.6097994,-1.2531782,-1.2556624,0.0024842
78,-0.96872723,-0.58662635,"('nonresilient', 'resilient')",0.6372712,0.68656486,-0.04395427,0.09768373,-0.1251368,0.0658741,-0.1910109
