,jpmorgan_male,jpmorgan_female,tuple,chase_male,chase_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
10,-3.568339,-3.3986127,"('unsympathetic', 'sympathetic')",-1.2056122,-0.9812944,-0.6853026,-0.91967356,-0.11606408,-0.54305834,-1.3938296,-1.4606597,0.0668301
55,-3.223908,-2.8664632,"('incompetent', 'clever')",-0.79186296,-0.80186135,-0.26408255,-0.5747366,-0.9719628,-1.3234519,-1.3129541,-1.3916283,0.0786742
0,-2.9055524,-2.6316342,"('unsociable', 'sociable')",-0.62615234,-0.5183445,0.1109064,0.011970844,-0.40005636,-0.5751363,-0.9552137,-0.9282861,-0.0269276
45,-2.903046,-2.813145,"('incompetent', 'competent')",-1.5016052,-1.4291004,-0.43139976,-0.71941656,-0.9855272,-1.5260335,-1.4553945,-1.6219238,0.1665293
86,-2.8284407,-1.968092,"('uninfluential', 'influential')",-0.04908561,0.2987252,-0.30521324,0.0030564964,-1.1244047,-1.1291527,-1.076786,-0.6988658,-0.3779202
57,-2.5687792,-2.5500705,"('unimaginative', 'imaginative')",-0.8252782,-0.5569131,-0.31036454,-0.5782236,-3.3125432,-3.4204707,-1.7542412,-1.7764195,0.0221783
69,2.5457644,2.77867,"('lazy', 'industrious')",0.37128827,0.43332013,0.84700584,1.0868031,-0.40169436,0.14737645,0.8405911,1.1115425,-0.2709514
48,-2.4942858,-1.7392969,"('unintelligent', 'intelligent')",-1.6123475,-1.3312736,-0.6764929,-0.65412605,-1.4550796,-1.6220387,-1.5595514,-1.3366839,-0.2228675
28,-2.328378,-1.4288545,"('disloyal', 'loyal')",-1.1583866,-0.78617924,-0.4821738,-0.36142847,0.14290547,0.12414017,-0.9565082,-0.6130805,-0.3434277
60,-2.3204823,-2.225204,"('inefficient', 'efficient')",-1.0592375,-1.2049288,-0.062010974,-0.39460668,-0.48486757,-0.85056704,-0.9816496,-1.1688266,0.187177
