,novellus_male,novellus_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.7814763,-1.9732931,"('unsympathetic', 'sympathetic')",-1.489797,-1.6385303,-0.9062009,-0.9283248,-1.3924913,-1.5133828,0.1208915
45,-1.5579529,-1.6518332,"('incompetent', 'competent')",-0.88206536,-0.9010435,-0.8779577,-0.8613376,-1.105992,-1.1380715,0.0320795
85,1.5076073,1.6228601,"('insignificant', 'prestigious')",0.3353334,0.35070762,1.1147945,1.2400377,0.9859118,1.0712018,-0.08529
43,-1.4290049,-1.5639725,"('irresponsible', 'responsible')",-1.0866139,-1.1790826,-0.24286497,-0.16296372,-0.9194946,-0.9686729,0.0491783
74,-1.3357981,-1.390571,"('undedicated', 'dedicated')",-0.021884067,-0.1091273,-0.0069983006,-0.07004529,-0.4548935,-0.5232479,0.0683544
70,-1.2181929,-1.4345806,"('lethargic', 'energetic')",-1.23341,-1.4010484,0.05874376,-0.11801779,-0.7976197,-0.9845489,0.1869292
38,-1.1747991,-1.200329,"('untruthful', 'truthful')",-1.2107031,-1.2795143,-0.34507483,-0.3130243,-0.9101924,-0.9309558,0.0207634
0,-1.1684988,-1.2752116,"('unsociable', 'sociable')",0.055166375,0.039167944,-0.62796867,-0.5972953,-0.5804337,-0.611113,0.0306793
69,1.1098535,1.1371213,"('lazy', 'industrious')",0.33324695,0.48861548,-0.34522048,-0.26095298,0.36596,0.454928,-0.088968
39,1.0851337,1.0452664,"('exploitative', 'cooperative')",1.9356593,2.0308409,0.38750297,0.5759843,1.1360986,1.2173638,-0.0812652
13,-1.0833701,-1.1971602,"('impolite', 'polite')",-0.3006925,-0.3821026,-0.44110706,-0.52218544,-0.6083899,-0.7004828,0.0920929
42,-1.0585572,-1.0583106,"('unreliable', 'reliable')",-1.9549733,-2.0663292,-3.4292588,-3.5098584,-2.1475964,-2.2114995,0.0639031
