,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,2.0493236,2.0827897,"('diffident', 'self-confident')",0.12013364,0.22169465,0.892602,0.8169913,0.061187398,0.28864878,0.7808117,0.8525311,-0.0717194
9,1.8659832,2.1722145,"('unaffectionate', 'caring')",-0.7386002,-0.57238245,0.56926095,0.73350185,1.522957,1.8087952,0.8049002,1.0355322,-0.230632
1,1.7156353,1.8560948,"('unfriendly', 'friendly')",-0.6648327,-0.64624286,0.6767936,0.8827082,1.5073404,1.7149731,0.8087342,0.9518833,-0.1431491
68,-1.6368675,-1.5368818,"('dependent', 'independent')",0.098026425,0.22015402,0.48389238,0.40480378,-1.084398,-1.1826932,-0.5348367,-0.5236543,-0.0111824
2,1.6295617,1.7513592,"('unlikable', 'likable')",1.1181115,1.0505272,1.3393818,1.482053,0.85989124,0.7449235,1.2367365,1.2572157,-0.0204792
26,1.4703645,1.2219216,"('hardhearted', 'benevolent')",1.477726,0.9665594,2.3558154,1.9862022,1.9586862,1.4666873,1.8156481,1.4103426,0.4053055
34,1.4317424,1.5167174,"('mean', 'honorable')",-0.6149835,-0.62103534,-1.1194059,-0.9639793,5.474181,5.5635195,1.2928835,1.3738055,-0.080922
83,1.3814317,1.2650065,"('powerless', 'powerful')",0.58284414,0.5802504,-0.46626467,-0.59253705,-0.7719811,-0.86457515,0.1815075,0.0970362,0.0844713
37,-1.3267117,-1.1863506,"('fake', 'genuine')",-0.7590569,-0.41305047,-0.95921844,-0.7768153,0.26308048,0.38743013,-0.6954767,-0.4971966,-0.1982801
78,1.2616816,1.4224969,"('nonresilient', 'resilient')",-0.30654868,-0.36570153,-0.059919484,-0.16655026,-0.32144293,-0.29034713,0.1434426,0.1499745,-0.0065319
61,1.2365085,1.2028683,"('illogical', 'logical')",-0.9644081,-1.1116661,0.23855884,-0.028917056,0.50559455,0.36520875,0.2540634,0.1068735,0.1471899
12,1.2266343,1.5009135,"('unsupportive', 'supportive')",0.045373354,0.39778054,0.5569859,0.6670458,-1.8951181,-1.7193224,-0.0165311,0.2116044,-0.2281355
41,1.2124317,1.0998188,"('unforgiving', 'forgiving')",0.08334612,0.07866112,-0.041296277,-0.11642728,0.18983456,-0.25189617,0.361079,0.2025391,0.1585399
40,1.1709294,1.1472273,"('stingy', 'generous')",1.3134191,1.4498838,0.9637632,1.0758959,-1.826679,-1.7435628,0.4053582,0.482361,-0.0770028
63,1.1324171,1.4347273,"('unperceptive', 'insightful')",-0.2635707,0.0458138,0.82321155,0.8833699,0.6793277,0.7446925,0.5928464,0.7771509,-0.1843045
32,1.115687,1.5998619,"('unkind', 'kind')",-0.42184767,-0.10047053,-0.48479423,-0.3741814,1.1408553,1.0877115,0.3374751,0.5532303,-0.2157552
54,1.1033037,1.2104017,"('incapable', 'capable')",-0.0713418,-0.16679682,0.75226176,0.5735292,1.0258884,1.0080935,0.702528,0.6563069,0.0462211
44,-1.0950474,-0.92214817,"('prejudiced', 'unprejudiced')",0.3474685,0.41735154,-0.9021214,-0.79889697,-1.5445082,-1.2880297,-0.7985522,-0.6479308,-0.1506214
87,1.0933313,0.99132675,"('unsuccessful', 'successful')",-0.6312475,-0.99077994,0.6138732,0.24085693,0.9803467,0.7000537,0.5140759,0.2353644,0.2787115
50,-1.0197098,-0.86533207,"('clumsy', 'skillful')",0.7036398,0.7195006,0.44108173,0.39183673,-0.032633938,-0.04828228,0.0230944,0.0494307,-0.0263363
8,1.0161178,0.96372,"('unaffectionate', 'affectionate')",0.104690984,0.059867393,0.680445,0.75814736,0.92416203,0.88630754,0.6813539,0.6670106,0.0143433
75,-0.98354065,-0.9124716,"('meek', 'impulsive')",0.91577137,1.0499662,0.7481305,1.0038375,-0.57009596,-0.60429776,0.0275663,0.1342586,-0.1066923
15,0.9781671,0.88724566,"('boring', 'funny')",0.5954038,0.39524895,0.54420537,0.44696078,0.12423827,0.0399236,0.5605037,0.4423447,0.118159
88,-0.94291806,-0.79554176,"('low', 'eminent')",0.033559192,0.0023056958,0.43010965,0.223826,-0.1350618,-0.19750455,-0.1535777,-0.1917287,0.038151
23,0.87414277,1.3301109,"('insincere', 'sincere')",-2.0138407,-1.4639226,-0.96766293,-0.5484815,6.5294175,6.6894064,1.1055142,1.5017782,-0.396264
56,0.8692685,1.239143,"('impractical', 'practical')",-1.6262326,-1.0660946,-0.90046835,-0.6786928,-0.7417246,-0.3848389,-0.5997893,-0.2226208,-0.3771685
62,0.8602614,1.4391996,"('incompetent', 'brilliant')",-1.3168873,-0.66726553,-0.39055783,0.13282649,0.41345695,0.9372489,-0.1084317,0.4605024,-0.5689341
14,0.8567063,0.8247463,"('antisocial', 'social')",-0.35423222,-0.32400835,-0.5514665,-0.67606145,-0.25031474,-0.30805564,-0.0748268,-0.1208448,0.046018
35,-0.8260685,-1.061135,"('corrupt', 'incorrupt')",0.57183063,0.40257382,0.9754991,0.7860699,-0.76311725,-0.70310575,-0.010464,-0.1438993,0.1334353
64,-0.81677705,-0.7530062,"('shy', 'confident')",0.36209512,0.50235325,0.27883038,0.1820653,-6.89146,-6.643654,-1.7668278,-1.6780604,-0.0887674
5,0.79644597,0.9631016,"('distant', 'outgoing')",0.36482373,0.38871834,0.9799611,1.0038754,-0.5983716,-0.24948396,0.3857148,0.5265528,-0.140838
13,0.773149,0.7697534,"('impolite', 'polite')",-1.4753537,-1.4455183,-0.88538694,-0.8502893,-0.6221215,-0.8195133,-0.5524283,-0.5863919,0.0339636
