,wachovia_male,wachovia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.1310854,-1.8662082,"('unsympathetic', 'sympathetic')",-0.22773655,-0.15734008,-1.1794109,-1.0117742,-0.1676367
11,-2.0783403,-1.7541296,"('unhelpful', 'helpful')",1.1062896,1.517254,-0.4860253,-0.1184378,-0.3675875
86,-1.894105,-2.079599,"('uninfluential', 'influential')",-0.5446741,-0.86869675,-1.2193896,-1.4741478,0.2547582
77,-1.8609498,-2.0323296,"('unmotivated', 'motivated')",-1.2504971,-1.2782494,-1.5557234,-1.6552894,0.099566
23,-1.7687418,-1.5827886,"('insincere', 'sincere')",5.3778667,5.6279874,1.8045624,2.0225995,-0.2180371
45,-1.7544484,-1.1593343,"('incompetent', 'competent')",-0.1365315,-0.09457457,-0.9454899,-0.6269544,-0.3185355
46,-1.7359678,-1.4363748,"('uncompetitive', 'competitive')",-0.8726501,-0.8252616,-1.3043089,-1.1308181,-0.1734908
62,-1.7154629,-1.0330249,"('incompetent', 'brilliant')",0.2831285,0.67806655,-0.7161672,-0.1774792,-0.538688
69,1.7146955,1.0305872,"('lazy', 'industrious')",-1.1033525,-1.3119055,0.3056715,-0.1406592,0.4463307
55,-1.7046081,-1.2633995,"('incompetent', 'clever')",0.7756369,0.756248,-0.4644856,-0.2535757,-0.2109099
81,-1.6544929,-1.258636,"('submissive', 'aggressive')",-0.6758566,-0.2700982,-1.1651747,-0.7643671,-0.4008076
0,-1.6363461,-1.482299,"('unsociable', 'sociable')",-0.13562489,-0.24408932,-0.8859855,-0.8631942,-0.0227913
28,-1.6186719,-1.7042905,"('disloyal', 'loyal')",0.83952034,0.7912438,-0.3895758,-0.4565234,0.0669476
60,-1.5687166,-0.999756,"('inefficient', 'efficient')",0.09976927,0.4198221,-0.7344737,-0.2899669,-0.4445068
63,-1.4632441,-1.2777206,"('unperceptive', 'insightful')",0.20667528,0.19533777,-0.6282844,-0.5411914,-0.087093
21,-1.3660645,-1.2671043,"('immoral', 'moral')",-0.20927806,-0.21348095,-0.7876713,-0.7402926,-0.0473787
14,-1.3603323,-0.87673265,"('antisocial', 'social')",0.20582806,0.3942572,-0.5772521,-0.2412377,-0.3360144
57,-1.333703,-1.0423892,"('unimaginative', 'imaginative')",-2.8414154,-2.923526,-2.0875592,-1.9829576,-0.1046016
52,1.2989986,0.7078756,"('irrational', 'rational')",-0.24891008,-0.4754572,0.5250443,0.1162092,0.4088351
85,1.2820286,0.58549756,"('insignificant', 'prestigious')",-0.6561079,-1.1018476,0.3129603,-0.258175,0.5711353
32,-1.2548825,-1.3119694,"('unkind', 'kind')",0.47796956,0.4822812,-0.3884565,-0.4148441,0.0263876
35,1.2203637,0.8851246,"('corrupt', 'incorrupt')",-0.72058624,-0.9260345,0.2498887,-0.0204549,0.2703436
51,-1.2078615,-1.2389678,"('uneducated', 'educated')",0.26139337,0.110740125,-0.4732341,-0.5641139,0.0908798
38,-1.1875736,-1.0707392,"('untruthful', 'truthful')",-0.9749007,-0.68361926,-1.0812371,-0.8771792,-0.2040579
56,-1.1860963,-0.67877644,"('impractical', 'practical')",-0.41850686,-0.01071915,-0.8023016,-0.3447478,-0.4575538
43,-1.1849387,-0.80389315,"('irresponsible', 'responsible')",0.41716796,0.44326302,-0.3838854,-0.1803151,-0.2035703
44,1.1303025,1.3420463,"('prejudiced', 'unprejudiced')",-1.0935584,-0.9397113,0.0183721,0.2011675,-0.1827954
