,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,male-female
85,-3.5567403,-3.5426865,"('insignificant', 'prestigious')",-1.8319211,-1.9015315,-0.39808244,-0.5504054,-1.9289145,-1.9982077,0.0692932
36,-3.2417347,-3.1462839,"('hostile', 'amicable')",-2.345185,-2.3495693,-0.40694004,-0.5964253,-1.9979533,-2.0307595,0.0328062
35,-3.084612,-3.029141,"('corrupt', 'incorrupt')",-1.9018084,-1.9089172,-0.66779214,-0.79982686,-1.8847375,-1.9126282,0.0278907
60,3.0827239,3.0513637,"('inefficient', 'efficient')",2.648916,2.5949516,0.47185665,0.6195929,2.0678322,2.0886361,-0.0208039
31,-3.057818,-3.0333798,"('evil', 'good')",-1.7681743,-1.7060573,-1.2213289,-1.536236,-2.0157736,-2.091891,0.0761174
76,2.8130524,2.8331096,"('anxious', 'daring')",1.8774253,1.9367309,1.0028479,1.200279,1.8977753,1.9900398,-0.0922645
13,2.7484882,2.7318265,"('impolite', 'polite')",1.8365171,1.7657814,0.18860272,0.2698879,1.5912027,1.5891654,0.0020373
62,2.652921,2.5996747,"('incompetent', 'brilliant')",2.0354786,2.0491006,0.57557106,0.6658482,1.7546568,1.7715411,-0.0168843
55,2.6167927,2.6028614,"('incompetent', 'clever')",1.093722,1.1042564,0.3721036,0.2935804,1.3608727,1.333566,0.0273067
56,2.5385592,2.5320168,"('impractical', 'practical')",2.2672215,2.3083038,0.29542857,0.44319463,1.7004031,1.7611717,-0.0607686
81,2.4482076,2.2743804,"('submissive', 'aggressive')",1.5697663,1.4692091,-0.19204202,-0.085847676,1.2753106,1.2192473,0.0560633
21,2.3906424,2.270479,"('immoral', 'moral')",1.634256,1.5231119,-0.3764316,-0.43345302,1.2161556,1.120046,0.0961096
6,-2.3667295,-2.360526,"('distant', 'open')",-1.6049898,-1.5829613,0.07980419,-0.0032780617,-1.297305,-1.3155885,0.0182835
7,2.3653157,2.2669027,"('insensitive', 'sensitive')",1.5896968,1.4946033,1.1708466,1.0520583,1.7086196,1.6045214,0.1040982
19,-2.3520153,-2.3445919,"('inhospitable', 'hospitable')",-1.3973843,-1.4265987,-0.30359092,-0.26877463,-1.3509968,-1.3466551,-0.0043417
69,-2.332508,-2.4256184,"('lazy', 'industrious')",-0.124655455,-0.20058544,-0.4507385,-0.62852824,-0.9693007,-1.0849107,0.11561
46,2.2467709,2.1732862,"('uncompetitive', 'competitive')",1.2953941,1.2689959,-0.44576746,-0.40317953,1.0321325,1.0130342,0.0190983
5,-2.1940393,-2.1978137,"('distant', 'outgoing')",-0.6485638,-0.60330933,-0.46529615,-0.44802222,-1.1026332,-1.0830484,-0.0195848
30,2.1313703,2.1233735,"('intolerant', 'tolerant')",2.371887,2.308514,1.2849196,1.2682904,1.9293923,1.9000594,0.0293329
79,-2.0557353,-1.9722039,"('wavering', 'unwavering')",-0.96717644,-0.89729,0.051275946,0.120573305,-0.9905453,-0.9163069,-0.0742384
14,1.9636284,2.001547,"('antisocial', 'social')",2.2121782,2.201081,-0.34977388,-0.35751754,1.2753442,1.2817036,-0.0063594
43,1.957096,1.9321672,"('irresponsible', 'responsible')",1.4946605,1.4885929,0.72847736,0.79378504,1.3934113,1.4048484,-0.0114371
10,1.89085,1.8180684,"('unsympathetic', 'sympathetic')",0.85975605,0.7747642,0.2708154,0.3058802,1.0071405,0.9662375,0.040903
70,1.8808465,1.8233738,"('lethargic', 'energetic')",1.668631,1.6163648,1.2081908,1.3240066,1.5858895,1.5879151,-0.0020256
80,1.8575329,1.8406823,"('dominated', 'dominating')",1.0390296,0.97780365,-0.60332364,-0.6267997,0.764413,0.7305621,0.0338509
4,-1.6337252,-1.570669,"('disliked', 'liked')",-0.7584877,-0.6720035,-6.590398,-6.7030244,-2.9942036,-2.9818989,-0.0123047
39,1.5957755,1.4655486,"('exploitative', 'cooperative')",2.2260923,2.1699705,0.65160847,0.63380736,1.4911588,1.4231087,0.0680501
45,1.5881793,1.5258216,"('incompetent', 'competent')",1.6933004,1.719289,0.10546747,0.013957415,1.1289825,1.086356,0.0426265
65,1.5434984,1.4957261,"('insecure', 'secure')",0.85549396,0.7740168,0.18613875,0.19153775,0.8617104,0.8204269,0.0412835
52,-1.5391995,-1.6283202,"('irrational', 'rational')",-0.5792312,-0.70684415,-0.5696432,-0.8645388,-0.8960246,-1.0665677,0.1705431
