,leggett_male,leggett_female,tuple,&_male,&_female,platt_male,platt_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.9338624,-3.3782604,"('uninfluential', 'influential')",0.26113203,0.30638507,-0.90918046,-1.038066,-0.21607119,-0.09127839,-0.9494955,-1.050305,0.1008095
10,-2.7983463,-3.4381604,"('unsympathetic', 'sympathetic')",0.23808542,0.01092694,-1.1343664,-1.2869684,-0.405092,-0.31646627,-1.0249298,-1.2576671,0.2327373
23,-2.731937,-3.2552235,"('insincere', 'sincere')",-0.69381917,-1.0419639,-0.21059361,-0.29764935,4.4039507,4.2909064,0.1919003,-0.0759826,0.2678829
35,2.4899688,2.7174737,"('corrupt', 'incorrupt')",-0.93040943,-0.47318876,0.48781204,0.5133869,0.0042212512,0.1241997,0.5128981,0.7204679,-0.2075698
43,-2.2559686,-2.7905045,"('irresponsible', 'responsible')",-0.09052805,-0.45883068,-0.07909364,-0.25451475,0.16562384,0.062506095,-0.5649916,-0.8603359,0.2953443
60,-2.238713,-2.923756,"('inefficient', 'efficient')",0.6510843,-0.10140369,-0.54034126,-0.72970414,-0.4796894,-0.7412788,-0.6519148,-1.1240356,0.4721208
46,-2.2192998,-2.6571581,"('uncompetitive', 'competitive')",1.5767808,1.1951607,-1.5140707,-1.6590232,-0.49118584,-0.6052124,-0.6619439,-0.9315583,0.2696144
48,-2.1537855,-2.7229016,"('unintelligent', 'intelligent')",-0.46595785,-0.67275697,-0.7135962,-0.9569485,0.12937832,-0.12033678,-0.8009903,-1.1182359,0.3172456
28,-2.1212695,-2.3618863,"('disloyal', 'loyal')",-0.35486776,-0.5392261,-0.5595917,-0.93198264,0.22240353,0.03908231,-0.7033314,-0.9485032,0.2451718
73,1.9869851,1.7877715,"('helpless', 'self-reliant')",0.421115,0.3800113,0.7225583,0.3798507,-2.2731867,-2.7691798,0.2143679,-0.0553866,0.2697545
32,-1.8855107,-2.0438757,"('unkind', 'kind')",-0.07058016,-0.18893856,-2.392225,-2.2995963,0.52207553,0.48953593,-0.95656,-1.0107187,0.0541587
55,-1.8004655,-2.2367475,"('incompetent', 'clever')",0.8885753,0.6424809,0.2866398,0.15204874,-0.77764493,-0.77955014,-0.3507238,-0.555442,0.2047182
62,-1.7947787,-2.4718711,"('incompetent', 'brilliant')",-0.055214044,-0.52103746,0.58880514,0.24437492,-0.008450711,-0.30449775,-0.3174096,-0.7632578,0.4458482
72,-1.7871995,-1.9431318,"('unambitious', 'ambitious')",-0.48410374,-0.7086871,1.7275399,1.6211733,-0.8360326,-1.073466,-0.344949,-0.5260279,0.1810789
