,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.8125958,-2.8004236,"('distant', 'open')",-1.069028,-1.0172094,-1.9408119,-1.9088166,-0.0319953
5,-2.563976,-2.5497532,"('distant', 'outgoing')",-1.07512,-0.8770407,-1.819548,-1.7133969,-0.1061511
85,-2.392947,-2.318753,"('insignificant', 'prestigious')",-0.72517985,-0.7301068,-1.5590634,-1.5244299,-0.0346335
1,-2.1532798,-2.228616,"('unfriendly', 'friendly')",1.272382,1.1884983,-0.4404489,-0.5200589,0.07961
52,-1.9838096,-1.9332154,"('irrational', 'rational')",-0.3690501,-0.3332872,-1.1764299,-1.1332513,-0.0431786
19,-1.9789394,-1.9882684,"('inhospitable', 'hospitable')",-0.6265416,-0.5986567,-1.3027406,-1.2934625,-0.0092781
31,-1.9534428,-1.929804,"('evil', 'good')",-1.2940714,-1.2024378,-1.6237571,-1.5661209,-0.0576362
8,-1.9506682,-2.0040283,"('unaffectionate', 'affectionate')",0.31547263,0.19590656,-0.8175978,-0.9040609,0.0864631
59,-1.9096859,-1.8252265,"('foolish', 'wise')",-0.36188525,-0.28900093,-1.1357856,-1.0571138,-0.0786718
9,-1.883252,-1.8030434,"('unaffectionate', 'caring')",0.7868229,0.83925205,-0.5482146,-0.4818957,-0.0663189
79,-1.823822,-1.8204818,"('wavering', 'unwavering')",-0.6666453,-0.50078815,-1.2452337,-1.160635,-0.0845987
36,-1.7434341,-1.7442553,"('hostile', 'amicable')",-0.644128,-0.6498681,-1.193781,-1.1970617,0.0032807
76,1.6433775,1.5279119,"('anxious', 'daring')",0.16899015,0.15903746,0.9061838,0.8434747,0.0627091
39,1.5303409,1.3416791,"('exploitative', 'cooperative')",-0.016445732,-0.16557583,0.7569476,0.5880516,0.168896
53,-1.440362,-1.5617099,"('uncreative', 'creative')",0.5200528,0.40299895,-0.4601546,-0.5793555,0.1192009
