,procter_male,procter_female,tuple,&_male,&_female,gamble_male,gamble_female,co_male,co_female,average_male,average_female,male-female
10,-3.5194027,-3.2000618,"('unsympathetic', 'sympathetic')",-3.372988,-3.239384,-3.3549304,-2.90409,0.24370012,0.26638243,-2.5009053,-2.2692883,-0.231617
57,-3.0184095,-2.7761517,"('unimaginative', 'imaginative')",-1.9181223,-1.8618535,-1.8623991,-1.5779295,-3.4520621,-3.0165963,-2.5627484,-2.3081326,-0.2546158
48,-2.7833204,-2.6760018,"('unintelligent', 'intelligent')",-2.2681587,-2.4355283,-1.6716766,-1.672509,-0.034774538,-0.22508267,-1.6894826,-1.7522806,0.062798
85,2.77275,2.708143,"('insignificant', 'prestigious')",3.2532158,2.9210618,3.24327,3.144209,-0.70081174,-0.46963677,2.1421061,2.0759442,0.0661619
14,-2.6223097,-2.4905412,"('antisocial', 'social')",-1.5937903,-1.4090695,-1.0236338,-0.77905965,-0.8650756,-0.6852974,-1.5262023,-1.340992,-0.1852103
60,-2.606241,-2.337835,"('inefficient', 'efficient')",-3.2754407,-3.0585406,-1.912538,-1.6890986,-0.040712357,-0.19631013,-1.958733,-1.820446,-0.138287
81,-2.5471177,-2.0869176,"('submissive', 'aggressive')",-1.8454065,-1.7512761,-2.1718485,-1.7827264,-0.89310837,-0.94248295,-1.8643703,-1.6408508,-0.2235195
69,2.4927907,2.1995018,"('lazy', 'industrious')",3.2103207,3.1118176,1.6826535,1.7001514,-1.3193898,-1.0435088,1.5165938,1.4919906,0.0246032
55,-2.4730842,-2.2341604,"('incompetent', 'clever')",-2.3836477,-2.2731729,-1.4798573,-1.2271338,0.29228395,0.35182607,-1.5110763,-1.3456602,-0.1654161
6,2.3828225,2.0004373,"('distant', 'open')",2.1491683,1.93997,2.6164334,2.4486926,-0.1277199,-0.17427474,1.7551761,1.5537063,0.2014698
13,-2.3711317,-2.1018279,"('impolite', 'polite')",-3.272099,-3.003832,-1.7556493,-1.365511,0.08191159,0.08925749,-1.8292421,-1.5954783,-0.2337638
0,-2.3278642,-2.210103,"('unsociable', 'sociable')",-1.8639377,-1.737041,-0.95306754,-0.75977814,-0.22550371,-0.24960855,-1.3425934,-1.2391326,-0.1034608
5,2.3067706,1.9209585,"('distant', 'outgoing')",1.9567353,1.8289338,2.7403986,2.5567145,-0.3722499,-0.4757316,1.6579136,1.4577188,0.2001948
73,2.2899072,2.093597,"('helpless', 'self-reliant')",1.1828243,0.9908894,0.7586515,0.5765613,-3.2447276,-3.2588809,0.2466639,0.1005417,0.1461222
30,-2.2620018,-2.2736752,"('intolerant', 'tolerant')",-2.9483888,-2.9833539,-1.3858728,-1.2574933,0.10610506,0.03164386,-1.6225396,-1.6207197,-0.0018199
65,-2.1668112,-1.9562696,"('insecure', 'secure')",-1.9835206,-1.9232368,-2.04694,-1.7654791,-0.11804284,-0.049020946,-1.5788288,-1.4235016,-0.1553272
3,-2.1433551,-1.7728475,"('repellent', 'pleasant')",-0.83725715,-0.67143035,-1.2382839,-1.0923735,0.4354933,0.48525664,-0.9458507,-0.7628486,-0.1830021
23,-2.136319,-1.9073551,"('insincere', 'sincere')",-2.986754,-3.0394702,-1.5210949,-1.36306,6.043871,5.6954956,-0.1500741,-0.1535974,0.0035233
21,-2.1188507,-1.7709126,"('immoral', 'moral')",-2.099082,-1.9568694,-2.2137713,-1.9887584,-0.97429925,-1.0433378,-1.8515009,-1.6899695,-0.1615314
