,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
77,-2.4743986,-2.1063583,"('unmotivated', 'motivated')",-2.4743986,-2.1063583,-0.3680403
81,-2.2378638,-2.2537303,"('submissive', 'aggressive')",-2.2378638,-2.2537303,0.0158665
21,-2.0629616,-1.8778446,"('immoral', 'moral')",-2.0629616,-1.8778446,-0.185117
10,-1.9210343,-2.3809013,"('unsympathetic', 'sympathetic')",-1.9210343,-2.3809013,0.459867
86,-1.8972301,-2.0229547,"('uninfluential', 'influential')",-1.8972301,-2.0229547,0.1257246
64,-1.7464017,-1.8932773,"('shy', 'confident')",-1.7464017,-1.8932773,0.1468756
13,-1.6076723,-2.0159853,"('impolite', 'polite')",-1.6076723,-2.0159853,0.408313
3,-1.602122,-1.6277587,"('repellent', 'pleasant')",-1.6021219,-1.6277587,0.0256368
0,-1.5820926,-1.6322132,"('unsociable', 'sociable')",-1.5820926,-1.6322132,0.0501206
46,-1.5479273,-2.033914,"('uncompetitive', 'competitive')",-1.5479273,-2.0339141,0.4859868
34,1.5351448,1.4940331,"('mean', 'honorable')",1.5351448,1.4940331,0.0411117
60,-1.5022043,-1.5662986,"('inefficient', 'efficient')",-1.5022043,-1.5662986,0.0640943
12,-1.4792929,-1.492005,"('unsupportive', 'supportive')",-1.4792929,-1.492005,0.0127121
51,-1.4432757,-1.5719016,"('uneducated', 'educated')",-1.4432757,-1.5719016,0.1286259
48,-1.4317095,-1.417057,"('unintelligent', 'intelligent')",-1.4317095,-1.417057,-0.0146525
28,-1.405622,-1.6346748,"('disloyal', 'loyal')",-1.405622,-1.6346748,0.2290528
35,1.3948951,1.6378621,"('corrupt', 'incorrupt')",1.3948951,1.6378621,-0.242967
15,1.340375,1.2471266,"('boring', 'funny')",1.3403749,1.2471266,0.0932483
36,1.3000064,1.8356451,"('hostile', 'amicable')",1.3000064,1.8356451,-0.5356387
68,-1.2408918,-1.2239021,"('dependent', 'independent')",-1.2408918,-1.2239021,-0.0169897
11,-1.218396,-1.4385421,"('unhelpful', 'helpful')",-1.2183959,-1.4385421,0.2201462
26,1.2069665,1.3459085,"('hardhearted', 'benevolent')",1.2069665,1.3459085,-0.138942
18,-1.1957965,-0.8960556,"('disagreeable', 'welcoming')",-1.1957965,-0.8960556,-0.2997409
43,-1.1704105,-1.4094945,"('irresponsible', 'responsible')",-1.1704105,-1.4094945,0.239084
55,-1.1635184,-1.8149806,"('incompetent', 'clever')",-1.1635184,-1.8149806,0.6514622
88,-1.1421695,-0.89136875,"('low', 'eminent')",-1.1421695,-0.8913687,-0.2508008
69,1.0660343,1.6622286,"('lazy', 'industrious')",1.0660343,1.6622286,-0.5961943
57,-1.0589763,-1.8556681,"('unimaginative', 'imaginative')",-1.0589763,-1.8556681,0.7966918
62,-1.0407375,-1.3829601,"('incompetent', 'brilliant')",-1.0407375,-1.3829601,0.3422226
70,-1.0119481,-1.7421379,"('lethargic', 'energetic')",-1.0119481,-1.7421379,0.7301898
47,0.99919975,0.630878,"('stupid', 'smart')",0.9991997,0.630878,0.3683217
85,0.95769864,1.6955354,"('insignificant', 'prestigious')",0.9576986,1.6955354,-0.7378368
32,-0.8773907,-0.89927185,"('unkind', 'kind')",-0.8773907,-0.8992718,0.0218811
22,-0.87612706,-1.5872371,"('untrustworthy', 'trustworthy')",-0.8761271,-1.5872371,0.71111
75,0.86483204,0.70618683,"('meek', 'impulsive')",0.864832,0.7061868,0.1586452
65,-0.8565095,-1.062198,"('insecure', 'secure')",-0.8565095,-1.062198,0.2056885
6,0.82557106,1.0905083,"('distant', 'open')",0.8255711,1.0905083,-0.2649372
14,-0.81400573,-1.1685488,"('antisocial', 'social')",-0.8140057,-1.1685488,0.3545431
31,0.7902105,0.9541821,"('evil', 'good')",0.7902105,0.9541821,-0.1639716
45,-0.78563154,-1.885256,"('incompetent', 'competent')",-0.7856315,-1.8852561,1.0996246
38,-0.76948494,-0.92497265,"('untruthful', 'truthful')",-0.7694849,-0.9249727,0.1554878
40,-0.7581232,-0.9524114,"('stingy', 'generous')",-0.7581232,-0.9524114,0.1942882
30,-0.74506724,-1.1267354,"('intolerant', 'tolerant')",-0.7450672,-1.1267354,0.3816682
49,-0.74063975,-0.7091034,"('unable', 'able')",-0.7406397,-0.7091034,-0.0315363
27,0.73850846,0.70846486,"('hardhearted', 'softhearted')",0.7385085,0.7084649,0.0300436
78,-0.714711,-0.6797025,"('nonresilient', 'resilient')",-0.714711,-0.6797025,-0.0350085
63,-0.71249205,-0.9428056,"('unperceptive', 'insightful')",-0.712492,-0.9428056,0.2303136
82,0.68096435,0.102515824,"('poor', 'rich')",0.6809644,0.1025158,0.5784486
24,-0.6575443,-0.9441288,"('dishonest', 'honest')",-0.6575443,-0.9441288,0.2865845
7,-0.6027078,-1.0313358,"('insensitive', 'sensitive')",-0.6027078,-1.0313358,0.428628
66,0.570505,0.9774416,"('inactive', 'active')",0.570505,0.9774416,-0.4069366
76,-0.5578359,-0.6649234,"('anxious', 'daring')",-0.5578359,-0.6649234,0.1070875
53,-0.5472561,-0.5638005,"('uncreative', 'creative')",-0.5472561,-0.5638005,0.0165444
16,-0.54494673,-0.39352563,"('unpopular', 'popular')",-0.5449467,-0.3935256,-0.1514211
80,-0.47943568,-0.6699438,"('dominated', 'dominating')",-0.4794357,-0.6699438,0.1905081
5,0.47918352,0.6984459,"('distant', 'outgoing')",0.4791835,0.6984459,-0.2192624
79,0.46638128,0.6379955,"('wavering', 'unwavering')",0.4663813,0.6379955,-0.1716142
4,-0.43547055,-0.7137435,"('disliked', 'liked')",-0.4354706,-0.7137435,0.2782729
42,-0.42360944,-1.0413746,"('unreliable', 'reliable')",-0.4236094,-1.0413746,0.6177652
72,-0.42084706,-0.58878213,"('unambitious', 'ambitious')",-0.4208471,-0.5887821,0.167935
56,-0.41851756,-1.0488616,"('impractical', 'practical')",-0.4185176,-1.0488616,0.630344
58,0.4113702,0.16331813,"('undiscriminating', 'discriminating')",0.4113702,0.1633181,0.2480521
52,0.40840793,0.8427008,"('irrational', 'rational')",0.4084079,0.8427008,-0.4342929
87,0.39112338,0.8630027,"('unsuccessful', 'successful')",0.3911234,0.8630027,-0.4718793
67,-0.3900958,-0.57331765,"('doubtful', 'determined')",-0.3900958,-0.5733176,0.1832218
84,-0.37964875,-0.32010332,"('inferior', 'superior')",-0.3796487,-0.3201033,-0.0595454
74,-0.365349,-0.6575897,"('undedicated', 'dedicated')",-0.365349,-0.6575897,0.2922407
8,0.32773995,0.58318734,"('unaffectionate', 'affectionate')",0.32774,0.5831873,-0.2554473
83,-0.3228725,-0.30597052,"('powerless', 'powerful')",-0.3228725,-0.3059705,-0.016902
59,0.31863776,0.35626116,"('foolish', 'wise')",0.3186378,0.3562612,-0.0376234
41,0.27778405,-0.21020104,"('unforgiving', 'forgiving')",0.277784,-0.210201,0.487985
1,-0.27539995,0.06767197,"('unfriendly', 'friendly')",-0.2754,0.067672,-0.343072
71,0.24353248,0.45832118,"('diffident', 'self-confident')",0.2435325,0.4583212,-0.2147887
