,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
81,-2.5836515,-2.1105285,"('submissive', 'aggressive')",-2.5836515,-2.1105285,-0.473123
10,-2.497565,-2.4290035,"('unsympathetic', 'sympathetic')",-2.497565,-2.4290035,-0.0685615
45,-2.4021058,-2.5246756,"('incompetent', 'competent')",-2.4021058,-2.5246756,0.1225698
85,2.2949684,1.7463722,"('insignificant', 'prestigious')",2.2949684,1.7463722,0.5485962
46,-2.280844,-2.3944912,"('uncompetitive', 'competitive')",-2.280844,-2.3944912,0.1136472
13,-2.1912832,-1.6499124,"('impolite', 'polite')",-2.1912832,-1.6499124,-0.5413708
36,2.1898885,1.7664093,"('hostile', 'amicable')",2.1898885,1.7664093,0.4234792
57,-2.185369,-2.5707095,"('unimaginative', 'imaginative')",-2.185369,-2.5707095,0.3853405
55,-2.1465888,-2.0339427,"('incompetent', 'clever')",-2.1465888,-2.0339427,-0.1126461
70,-2.1148736,-2.0989203,"('lethargic', 'energetic')",-2.1148736,-2.0989203,-0.0159533
69,2.0282495,1.900653,"('lazy', 'industrious')",2.0282495,1.900653,0.1275965
28,-2.017159,-1.8242415,"('disloyal', 'loyal')",-2.017159,-1.8242415,-0.1929175
64,-1.9961684,-1.8196443,"('shy', 'confident')",-1.9961684,-1.8196443,-0.1765241
22,-1.9518148,-2.1008828,"('untrustworthy', 'trustworthy')",-1.9518148,-2.1008828,0.149068
60,-1.9202557,-1.52847,"('inefficient', 'efficient')",-1.9202557,-1.52847,-0.3917857
14,-1.8490608,-1.5450907,"('antisocial', 'social')",-1.8490608,-1.5450907,-0.3039701
77,-1.8362815,-1.6468316,"('unmotivated', 'motivated')",-1.8362815,-1.6468316,-0.1894499
0,-1.7642848,-1.6029807,"('unsociable', 'sociable')",-1.7642848,-1.6029807,-0.1613041
34,1.7476026,1.5701572,"('mean', 'honorable')",1.7476026,1.5701572,0.1774454
21,-1.735277,-1.479553,"('immoral', 'moral')",-1.7352771,-1.479553,-0.2557241
43,-1.6482762,-1.5380014,"('irresponsible', 'responsible')",-1.6482762,-1.5380014,-0.1102748
86,-1.6384307,-1.7779428,"('uninfluential', 'influential')",-1.6384307,-1.7779428,0.1395121
3,-1.6220775,-1.6272237,"('repellent', 'pleasant')",-1.6220775,-1.6272237,0.0051462
35,1.6127131,1.487668,"('corrupt', 'incorrupt')",1.6127131,1.487668,0.1250451
11,-1.5657958,-1.6072031,"('unhelpful', 'helpful')",-1.5657958,-1.6072031,0.0414073
6,1.5541445,1.1489412,"('distant', 'open')",1.5541445,1.1489412,0.4052033
15,1.4762697,1.4758247,"('boring', 'funny')",1.4762697,1.4758247,0.000445
26,1.464236,1.1700474,"('hardhearted', 'benevolent')",1.464236,1.1700474,0.2941886
62,-1.4622254,-1.2523949,"('incompetent', 'brilliant')",-1.4622254,-1.2523949,-0.2098305
65,-1.4185342,-1.1206573,"('insecure', 'secure')",-1.4185342,-1.1206573,-0.2978769
31,1.3448368,1.0601828,"('evil', 'good')",1.3448368,1.0601828,0.284654
