,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
31,-3.7783172,-4.254033,"('evil', 'good')",-1.7052815,-1.673448,0.18660322,0.19401577,-1.7656652,-1.9111551,0.1454899
21,3.6385765,4.248475,"('immoral', 'moral')",1.1123765,1.4721116,-1.198516,-1.0239835,1.1841456,1.5655344,-0.3813888
55,3.4785538,4.2112527,"('incompetent', 'clever')",1.2597953,1.5132893,-1.6660566,-1.5592332,1.0240974,1.3884363,-0.3643389
7,3.4567904,4.109419,"('insensitive', 'sensitive')",1.4024373,1.7110329,-0.12821326,-0.014426138,1.5770048,1.9353418,-0.358337
10,3.284377,3.9203422,"('unsympathetic', 'sympathetic')",0.759533,0.9767038,-1.6892209,-1.5774826,0.7848964,1.1065211,-0.3216247
60,3.1682081,4.0401063,"('inefficient', 'efficient')",1.7915056,2.1505353,-0.47975183,-0.33527896,1.4933208,1.9517875,-0.4584667
80,3.0990534,3.4605072,"('dominated', 'dominating')",1.4865466,1.4196283,-1.1180358,-1.0902904,1.1558547,1.2632817,-0.107427
36,-2.9289463,-3.5439222,"('hostile', 'amicable')",-1.3277687,-1.5358202,1.7621559,1.6920949,-0.8315196,-1.1292159,0.2976963
69,-2.72571,-3.0695515,"('lazy', 'industrious')",-0.051672075,-0.15658669,1.3351579,1.2917975,-0.4807413,-0.6447802,0.1640389
46,2.706717,3.4567466,"('uncompetitive', 'competitive')",0.8496668,1.1952881,-1.0405545,-0.9689291,0.8386098,1.2277019,-0.3890921
6,-2.6763206,-3.1583881,"('distant', 'open')",-0.43608612,-0.55099773,1.1756265,1.0600357,-0.6455934,-0.8831167,0.2375233
23,2.6304076,3.1370423,"('insincere', 'sincere')",1.9152627,2.1117506,3.2245157,3.3623092,2.5900621,2.8703674,-0.2803053
62,2.5725627,3.0902817,"('incompetent', 'brilliant')",1.5330957,1.469414,-0.26838893,-0.29660648,1.2790898,1.4210297,-0.1419399
5,-2.5465496,-3.0675173,"('distant', 'outgoing')",-0.29086077,-0.5373695,1.2441275,1.0950005,-0.5310943,-0.8366288,0.3055345
79,-2.5187156,-3.0909643,"('wavering', 'unwavering')",-0.09858668,-0.51759833,1.2824605,1.1157352,-0.4449473,-0.8309425,0.3859952
85,-2.4869301,-3.186959,"('insignificant', 'prestigious')",-0.77441615,-0.96753967,1.5485733,1.2742361,-0.5709244,-0.9600875,0.3891631
13,2.3867707,2.8385777,"('impolite', 'polite')",1.1326926,1.133616,-0.42160746,-0.33999634,1.0326186,1.2107325,-0.1781139
16,-2.3818676,-2.4696229,"('unpopular', 'popular')",-1.351254,-1.2884268,0.5278295,0.5285402,-1.0684307,-1.0765031,0.0080724
35,-2.352458,-3.2787757,"('corrupt', 'incorrupt')",-0.3302271,-0.76429063,0.85280037,0.76632,-0.6099616,-1.0922488,0.4822872
14,2.2703745,2.7226138,"('antisocial', 'social')",0.9844974,0.9359478,-1.4205891,-1.3880259,0.6114276,0.7568453,-0.1454177
39,2.2001007,2.3289607,"('exploitative', 'cooperative')",2.0448544,2.191754,0.6822455,0.80594647,1.6424001,1.7755537,-0.1331536
56,2.1466496,2.6407986,"('impractical', 'practical')",1.7056726,1.5148785,-0.10021148,-0.08624002,1.2507036,1.356479,-0.1057754
65,2.1186075,2.6855338,"('insecure', 'secure')",0.36448905,0.59249955,-0.7905135,-0.5723003,0.5641944,0.9019109,-0.3377165
43,2.0987988,2.6347618,"('irresponsible', 'responsible')",1.2054939,1.34244,-0.88128567,-0.81117564,0.807669,1.0553421,-0.2476731
11,1.9868529,2.3154545,"('unhelpful', 'helpful')",1.5090222,1.4131777,0.5318517,0.4023497,1.3425756,1.376994,-0.0344184
76,1.9751782,2.1586244,"('anxious', 'daring')",1.2406471,1.1554677,-0.28320304,-0.27050683,0.9775407,1.0145284,-0.0369877
81,1.9615111,2.3726065,"('submissive', 'aggressive')",0.9402288,0.8743653,-1.6847451,-1.6721692,0.405665,0.5249342,-0.1192692
8,-1.8465772,-2.1540723,"('unaffectionate', 'affectionate')",-0.4608752,-0.56765574,0.6777225,0.52692187,-0.5432433,-0.731602,0.1883587
30,1.8436655,2.064201,"('intolerant', 'tolerant')",1.1873896,1.1121564,-0.6665122,-0.60493255,0.7881809,0.8571417,-0.0689608
74,1.8225148,2.0910606,"('undedicated', 'dedicated')",1.8521973,1.9124526,0.14554867,0.15464102,1.2734203,1.3860515,-0.1126312
12,1.8202734,2.1960757,"('unsupportive', 'supportive')",1.6228496,1.8137943,-1.031663,-1.0518361,0.80382,0.9860113,-0.1821913
4,-1.8165116,-2.1577687,"('disliked', 'liked')",0.075746685,-0.23631534,-2.7055905,-2.9224086,-1.4821184,-1.7721642,0.2900458
70,1.7964826,2.1014328,"('lethargic', 'energetic')",0.73980486,0.7122539,-1.2005538,-1.1264124,0.4452445,0.5624248,-0.1171803
26,-1.791546,-1.9412229,"('hardhearted', 'benevolent')",-0.46248403,-0.5563368,1.2872978,1.1894159,-0.322244,-0.436048,0.113804
1,-1.6564711,-1.7268177,"('unfriendly', 'friendly')",-1.1168501,-1.0063965,1.558289,1.4916183,-0.4050107,-0.4138654,0.0088547
63,1.6295612,2.1443527,"('unperceptive', 'insightful')",0.89898086,1.1163863,0.4499138,0.5076748,0.9928186,1.2561378,-0.2633192
52,-1.6051698,-2.0972362,"('irrational', 'rational')",-0.72882396,-0.8858172,0.36224046,0.31363142,-0.6572511,-0.8898074,0.2325563
25,-1.5722946,-1.7530038,"('egoistic', 'altruistic')",-0.7368718,-0.6533811,1.2407613,1.2597415,-0.3561351,-0.3822145,0.0260794
84,1.4333756,1.4928433,"('inferior', 'superior')",0.17711103,0.14307968,-0.33864108,-0.31700867,0.4239485,0.4396381,-0.0156896
45,1.4331235,1.9101912,"('incompetent', 'competent')",0.64308566,0.6972028,-1.5114895,-1.4668736,0.1882399,0.3801734,-0.1919335
0,1.4103334,2.0378702,"('unsociable', 'sociable')",0.35698944,0.44815618,-0.35871094,-0.29644144,0.4695373,0.7298616,-0.2603243
3,1.3861471,1.7659161,"('repellent', 'pleasant')",-0.3467551,-0.03169062,-0.78573895,-0.68087107,0.084551,0.3511182,-0.2665672
32,1.3783516,1.7665821,"('unkind', 'kind')",1.1681236,1.2820204,0.6606564,0.72852784,1.0690439,1.2590435,-0.1899996
59,-1.1983852,-1.6138649,"('foolish', 'wise')",0.16980122,0.049816955,0.34749654,0.27648413,-0.2270292,-0.4291879,0.2021587
58,1.1778044,1.3351088,"('undiscriminating', 'discriminating')",-0.17488727,-0.11404072,0.25271273,0.18567795,0.4185433,0.4689153,-0.050372
37,1.1732371,1.2414558,"('fake', 'genuine')",0.81281775,0.77926755,-0.9029516,-0.86380315,0.3610344,0.3856401,-0.0246057
75,-1.1679072,-1.5440707,"('meek', 'impulsive')",-0.9753153,-1.3051178,-0.14872488,-0.41229928,-0.7639825,-1.0871627,0.3231802
24,1.1512169,1.2912356,"('dishonest', 'honest')",1.1552271,1.2641485,-0.5507205,-0.5015613,0.5852412,0.6846077,-0.0993665
51,1.1197634,1.4411708,"('uneducated', 'educated')",0.71936876,0.67350775,-1.2829328,-1.2792809,0.1853998,0.2784659,-0.0930661
61,1.1196005,1.3637449,"('illogical', 'logical')",-0.185305,-0.07557616,0.11283523,0.14284375,0.3490436,0.4770041,-0.1279605
42,1.0940127,1.1784831,"('unreliable', 'reliable')",1.1567461,1.1406345,-1.3561978,-1.2893538,0.298187,0.3432546,-0.0450676
