,microsoft_male,microsoft_female,tuple,corp_male,corp_female,average_male,average_female,male-female
39,2.2681143,2.4283326,"('exploitative', 'cooperative')",0.1512195,0.47989967,1.209667,1.4541161,-0.2444491
61,2.0064204,2.0148919,"('illogical', 'logical')",0.9868056,0.9301043,1.496613,1.4724981,0.0241149
53,2.0011272,2.1401165,"('uncreative', 'creative')",0.90205777,0.93956894,1.4515924,1.5398427,-0.0882503
23,1.7865304,1.6448294,"('insincere', 'sincere')",5.5898647,5.2559533,3.6881976,3.4503913,0.2378063
54,1.7600471,1.6867497,"('incapable', 'capable')",0.7474206,0.8529881,1.2537339,1.2698689,-0.016135
26,1.6889133,1.8171536,"('hardhearted', 'benevolent')",1.4840348,1.7100773,1.5864741,1.7636154,-0.1771413
1,1.6295663,1.7905418,"('unfriendly', 'friendly')",1.0199894,1.1588262,1.3247778,1.474684,-0.1499062
9,1.620175,1.6876489,"('unaffectionate', 'caring')",0.6060359,0.59744716,1.1131054,1.1425481,-0.0294427
4,-1.5341786,-1.3401934,"('disliked', 'liked')",-6.275406,-5.9356794,-3.9047923,-3.6379364,-0.2668559
81,-1.4827605,-1.5844349,"('submissive', 'aggressive')",-0.5967985,-1.0295486,-1.0397795,-1.3069918,0.2672123
85,1.477107,1.6033269,"('insignificant', 'prestigious')",-0.41819075,0.1282329,0.5294582,0.8657799,-0.3363217
6,1.3551449,1.410037,"('distant', 'open')",-0.77572155,-0.6295738,0.2897117,0.3902316,-0.1005199
84,1.3308812,1.40407,"('inferior', 'superior')",1.2079169,1.3024259,1.269399,1.3532479,-0.0838489
8,1.2589421,1.3482442,"('unaffectionate', 'affectionate')",-0.21407598,-0.07702375,0.522433,0.6356102,-0.1131772
71,1.2358183,1.3047441,"('diffident', 'self-confident')",0.35235298,0.3716473,0.7940856,0.8381957,-0.0441101
0,-1.1995662,-1.1277981,"('unsociable', 'sociable')",-0.13854726,-0.48435074,-0.6690568,-0.8060744,0.1370176
24,1.19906,1.0911484,"('dishonest', 'honest')",0.97999346,0.7751458,1.0895267,0.9331471,0.1563796
62,1.1339172,0.8390952,"('incompetent', 'brilliant')",0.54351556,0.2884748,0.8387164,0.563785,0.2749314
44,-1.1129221,-1.2427022,"('prejudiced', 'unprejudiced')",-1.3149477,-1.224264,-1.2139349,-1.2334831,0.0195482
74,1.11238,1.0286489,"('undedicated', 'dedicated')",0.36454636,0.21496066,0.7384632,0.6218048,0.1166584
5,1.098109,1.1581724,"('distant', 'outgoing')",-0.95191014,-0.66213727,0.0730994,0.2480175,-0.1749181
12,1.0486524,0.9200447,"('unsupportive', 'supportive')",-1.5758514,-1.8544339,-0.2635995,-0.4671946,0.2035951
14,-1.0195954,-0.9230988,"('antisocial', 'social')",-0.106873535,-0.13480222,-0.5632344,-0.5289505,-0.0342839
25,0.9821143,1.0264086,"('egoistic', 'altruistic')",0.8894754,1.0674096,0.9357948,1.0469091,-0.1111143
33,0.91304404,0.92681676,"('wrong', 'right')",-0.8408879,-0.70417213,0.0360781,0.1113223,-0.0752442
2,0.89871,0.79027927,"('unlikable', 'likable')",0.6945073,0.89111286,0.7966087,0.8406961,-0.0440874
57,-0.82158536,-0.77765596,"('unimaginative', 'imaginative')",-2.5468097,-2.6529493,-1.6841975,-1.7153027,0.0311052
86,0.7896656,0.7369001,"('uninfluential', 'influential')",0.14464533,-0.18476906,0.4671555,0.2760655,0.19109
87,0.77081525,0.6011121,"('unsuccessful', 'successful')",1.2050813,1.2455246,0.9879483,0.9233184,0.0646299
45,-0.7304721,-0.81539834,"('incompetent', 'competent')",-0.06321269,-0.41243812,-0.3968424,-0.6139182,0.2170758
35,-0.680359,-0.4960974,"('corrupt', 'incorrupt')",-1.2705272,-0.66480255,-0.9754431,-0.5804499,-0.3949932
42,-0.6534885,-0.8114516,"('unreliable', 'reliable')",-2.1665993,-2.54173,-1.410044,-1.6765908,0.2665468
75,-0.64679646,-0.71469474,"('meek', 'impulsive')",-0.6720096,-0.49818483,-0.659403,-0.6064398,-0.0529632
20,0.62967503,0.6928816,"('rough', 'thoughtful')",0.91040987,1.0488669,0.7700424,0.8708742,-0.1008318
59,0.62680906,0.70161307,"('foolish', 'wise')",-0.32259783,-0.050108097,0.1521056,0.3257525,-0.1736469
60,0.60248864,0.5729537,"('inefficient', 'efficient')",0.24424067,-0.04340391,0.4233646,0.2647749,0.1585897
29,-0.59588885,-0.5430662,"('unfair', 'fair')",-0.35593733,-0.40015024,-0.4759131,-0.4716082,-0.0043049
63,0.58272105,0.25329518,"('unperceptive', 'insightful')",0.90144616,0.5972143,0.7420836,0.4252547,0.3168289
70,-0.578423,-0.9433072,"('lethargic', 'energetic')",0.98867,0.47462878,0.2051235,-0.2343392,0.4394627
51,-0.5430871,-0.64753497,"('uneducated', 'educated')",0.95376265,0.70549303,0.2053378,0.028979,0.1763588
3,-0.54231155,-0.6785452,"('repellent', 'pleasant')",1.2275373,1.03208,0.3426129,0.1767674,0.1658455
