,allegheny_male,allegheny_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
85,2.5046492,2.8819757,"('insignificant', 'prestigious')",0.34549457,0.0017078072,-0.59067386,-0.020968292,0.7531566,0.9542384,-0.2010818
9,1.9211291,2.0772657,"('unaffectionate', 'caring')",-0.13525215,-0.011463013,0.21058737,0.40811566,0.6654881,0.8246395,-0.1591514
74,1.8542303,1.7636844,"('undedicated', 'dedicated')",-0.447371,-0.35999665,0.22480494,-0.027253546,0.5438881,0.4588114,0.0850767
29,-1.803452,-1.6464225,"('unfair', 'fair')",-0.25179264,-0.3784563,-0.45197022,-0.439601,-0.8357383,-0.8214932,-0.0142451
66,1.8008952,1.655747,"('inactive', 'active')",-0.24335599,-0.47984666,0.98174065,1.0269678,0.8464266,0.7342894,0.1121372
12,1.7880429,1.8835534,"('unsupportive', 'supportive')",0.56850815,0.6484671,-1.5192946,-1.6615212,0.2790855,0.2901665,-0.011081
44,-1.752686,-1.4399347,"('prejudiced', 'unprejudiced')",-0.36368063,-0.20312922,-1.3676627,-1.2133317,-1.1613431,-0.9521319,-0.2092112
16,-1.7334992,-1.5967447,"('unpopular', 'popular')",-0.22492933,-0.3723212,-0.09693006,0.16659027,-0.6851195,-0.6008252,-0.0842943
3,-1.638985,-1.660646,"('repellent', 'pleasant')",-0.24940899,0.056671605,0.21679218,0.07634215,-0.5572006,-0.5092107,-0.0479899
65,-1.6163942,-1.6194531,"('insecure', 'secure')",0.14928877,0.6555032,0.12346596,-0.047853008,-0.4478798,-0.3372676,-0.1106122
45,-1.5317007,-1.48647,"('incompetent', 'competent')",-1.0078865,-0.5677347,0.027264595,-0.3613636,-0.8374409,-0.8051895,-0.0322514
71,1.3893105,1.512162,"('diffident', 'self-confident')",1.3366613,1.3582134,0.28596514,0.33061355,1.003979,1.0669963,-0.0630173
40,1.3886373,1.3378466,"('stingy', 'generous')",0.33928248,0.35964295,-1.6586359,-1.7246258,0.0230947,-0.0090454,0.0321401
53,1.3704176,1.4507945,"('uncreative', 'creative')",0.6598764,0.7692561,0.7578719,0.8335527,0.9293886,1.0178677,-0.0884791
84,1.3258624,1.2968024,"('inferior', 'superior')",0.3440512,0.3394695,0.87022173,0.9736445,0.8467118,0.8699721,-0.0232603
8,1.3020216,1.3290402,"('unaffectionate', 'affectionate')",-1.0986165,-1.2786858,-0.38154012,-0.19665009,-0.0593783,-0.0487652,-0.0106131
39,1.2723099,1.4484363,"('exploitative', 'cooperative')",-0.32351232,0.016353026,-0.31395233,-0.1792199,0.2116151,0.4285231,-0.216908
26,1.2483051,1.1304214,"('hardhearted', 'benevolent')",0.5203756,0.59473425,1.0641278,1.0560974,0.9442695,0.9270843,0.0171852
22,-1.2124318,-1.0743625,"('untrustworthy', 'trustworthy')",-0.7669646,-0.6961337,-0.82971066,-1.0503616,-0.936369,-0.9402859,0.0039169
63,1.2014447,1.2044369,"('unperceptive', 'insightful')",0.28699017,0.6305528,1.45279,1.2363776,0.9804084,1.0237891,-0.0433807
55,-1.1725823,-1.3406305,"('incompetent', 'clever')",-0.4576115,-0.18241142,0.2874641,-0.13175814,-0.4475765,-0.5516,0.1040235
14,-1.1655294,-0.8945453,"('antisocial', 'social')",0.3675513,0.7857387,-0.6273173,-0.96939665,-0.4750985,-0.3594011,-0.1156974
79,1.1489859,1.221727,"('wavering', 'unwavering')",-0.51537794,-0.8576348,0.09953133,0.22628005,0.2443798,0.1967908,0.047589
24,1.1425472,1.2224467,"('dishonest', 'honest')",0.25719026,0.6996106,0.7113929,0.6464449,0.7037101,0.8561674,-0.1524573
72,1.134432,1.3020117,"('unambitious', 'ambitious')",0.66958135,0.6313408,-1.0749043,-1.1246787,0.2430363,0.2695579,-0.0265216
73,1.0658901,1.2553594,"('helpless', 'self-reliant')",1.1997947,1.2567071,-3.478043,-3.1662052,-0.4041195,-0.2180463,-0.1860732
0,-1.0513113,-1.2254834,"('unsociable', 'sociable')",-0.39015418,-0.40064263,-0.2193674,-0.7169408,-0.5536109,-0.7810223,0.2274114
6,1.0251185,1.2776537,"('distant', 'open')",-0.57215637,-0.79179066,-0.4236142,0.005243033,0.0097826,0.163702,-0.1539194
59,1.0031062,1.1197898,"('foolish', 'wise')",0.54548186,0.5889165,-0.3872708,0.14513001,0.3871057,0.6179455,-0.2308398
1,0.99461854,1.1380312,"('unfriendly', 'friendly')",0.35704926,0.34275922,0.96743524,1.1330658,0.7730343,0.8712854,-0.0982511
82,-0.95922154,-0.8840466,"('poor', 'rich')",-0.51118994,-0.035229478,5.9497447,6.0045605,1.493111,1.6950947,-0.2019837
5,0.88257504,1.269933,"('distant', 'outgoing')",0.04081267,-0.26581284,-0.8220477,-0.40797716,0.03378,0.1987143,-0.1649343
27,0.8810291,0.692732,"('hardhearted', 'softhearted')",0.17781013,0.3864957,1.5216038,1.58045,0.8601477,0.8865592,-0.0264115
33,0.8315423,0.95588636,"('wrong', 'right')",1.1336007,0.8709988,-1.1822201,-0.9578703,0.2609743,0.2896716,-0.0286973
68,-0.8292607,-1.1122621,"('dependent', 'independent')",0.010653686,0.09758301,-0.26266643,-0.28533107,-0.3604245,-0.4333367,0.0729122
37,0.7758689,0.5299542,"('fake', 'genuine')",-0.020328298,0.18557875,0.6002703,0.4277528,0.451937,0.3810953,0.0708417
54,0.72571874,0.83672255,"('incapable', 'capable')",-0.34471154,-0.447989,0.5924317,0.77844477,0.3244796,0.3890595,-0.0645799
