,american_male,american_female,tuple,tower_male,tower_female,corp_male,corp_female,average_male,average_female,male-female
16,-1.7228988,-1.7240466,"('unpopular', 'popular')",-1.1070524,-0.8959278,0.35242993,0.37183487,-0.8258405,-0.7493798,-0.0764607
36,-1.666056,-2.119715,"('hostile', 'amicable')",-2.1756852,-2.0805357,-0.45091954,-0.5787361,-1.4308869,-1.5929956,0.1621087
48,1.3419687,0.93747723,"('unintelligent', 'intelligent')",0.79308844,0.6362472,1.1576691,0.90696645,1.0975753,0.826897,0.2706783
39,1.3260378,1.6685786,"('exploitative', 'cooperative')",1.4960734,1.5863189,0.30357462,0.3113938,1.0418952,1.1887638,-0.1468686
24,1.2291026,1.2676181,"('dishonest', 'honest')",0.21035908,0.167487,0.88421744,0.46027666,0.7745597,0.6317939,0.1427658
51,1.1755282,1.0328689,"('uneducated', 'educated')",0.4704722,0.4137552,0.20965502,0.034199707,0.6185518,0.4936079,0.1249439
53,-1.102094,-1.0445968,"('uncreative', 'creative')",-0.8352412,-0.70529425,0.4885568,0.3045587,-0.4829261,-0.4817774,-0.0011487
31,-1.0586921,-1.3477559,"('evil', 'good')",-1.6340048,-1.5799859,-0.81409836,-0.89898336,-1.1689318,-1.275575,0.1066432
29,-1.0081336,-1.0683693,"('unfair', 'fair')",-0.35759416,-0.48832586,0.008694341,-0.23991714,-0.4523445,-0.5988708,0.1465263
81,0.9947061,1.1006489,"('submissive', 'aggressive')",1.3470707,1.351191,-0.29192704,-0.40638533,0.6832832,0.6818182,0.001465
28,0.9541942,0.7102013,"('disloyal', 'loyal')",-0.25476187,-0.3390053,1.2152897,0.9997158,0.6382407,0.4569706,0.1812701
1,-0.8887107,-1.0847614,"('unfriendly', 'friendly')",-0.8442289,-0.8847403,1.5625352,1.3476553,-0.0568015,-0.2072821,0.1504806
84,0.8457834,0.7369711,"('inferior', 'superior')",0.13566566,0.03276204,0.77642596,0.74237543,0.5859583,0.5040362,0.0819221
73,0.8269836,1.1274272,"('helpless', 'self-reliant')",-1.0918144,-0.7742903,-3.3826542,-3.2923822,-1.2158283,-0.9797484,-0.2360799
77,-0.8217491,-0.6707348,"('unmotivated', 'motivated')",0.20779383,0.27717227,-0.77694654,-0.8378035,-0.4636339,-0.4104553,-0.0531786
21,0.813217,0.7993322,"('immoral', 'moral')",0.7500089,0.7884941,-0.37523764,-0.6087202,0.3959961,0.3263687,0.0696274
34,-0.8127418,-0.67668265,"('mean', 'honorable')",0.26543042,0.3632504,5.3271008,5.2859006,1.5932631,1.6574895,-0.0642264
80,0.77433896,0.73330605,"('dominated', 'dominating')",0.8792914,0.6545473,-0.7094397,-0.9037027,0.3147302,0.1613836,0.1533466
4,-0.7546038,-0.96808594,"('disliked', 'liked')",-1.2021841,-0.9420659,-7.220654,-7.241067,-3.0591472,-3.0504061,-0.0087411
8,-0.74756044,-0.8194496,"('unaffectionate', 'affectionate')",-0.86449295,-0.9385844,0.48196253,0.5245807,-0.3766969,-0.4111511,0.0344542
76,0.74672675,0.9504993,"('anxious', 'daring')",0.6527389,0.7818461,-0.17513484,-0.29428425,0.4081103,0.4793537,-0.0712434
72,0.74424446,0.8311819,"('unambitious', 'ambitious')",1.892555,2.0993042,0.10869477,0.069381684,0.9151647,0.999956,-0.0847913
10,0.7289166,0.50748694,"('unsympathetic', 'sympathetic')",0.56587726,0.49032763,-0.3755884,-0.6866076,0.3064018,0.1037356,0.2026662
5,-0.70621884,-0.583574,"('distant', 'outgoing')",-1.78014,-1.4171326,-0.23087893,-0.12701179,-0.9057459,-0.7092395,-0.1965064
68,0.69673145,0.65720075,"('dependent', 'independent')",0.040198445,-0.0068853293,-0.6485063,-0.9582044,0.0294745,-0.1026297,0.1321042
12,0.69247603,0.8441658,"('unsupportive', 'supportive')",0.28370342,0.6221611,-2.0166955,-2.0740721,-0.3468387,-0.2025817,-0.144257
85,-0.69061893,-0.8443745,"('insignificant', 'prestigious')",-1.7293409,-1.2874935,-0.68849945,-0.55938286,-1.0361531,-0.8970836,-0.1390695
78,-0.6506269,-0.7588693,"('nonresilient', 'resilient')",0.20146203,0.22054228,0.31658465,0.2097105,-0.0441934,-0.1095388,0.0653454
47,-0.63349485,-0.5463811,"('stupid', 'smart')",0.40618992,0.61636597,5.811001,5.596616,1.861232,1.8888669,-0.0276349
56,0.6144493,0.92792964,"('impractical', 'practical')",2.1393247,2.2206638,-0.0919678,-0.2842391,0.8872687,0.9547848,-0.0675161
27,0.5983899,0.30619988,"('hardhearted', 'softhearted')",-0.42492795,-0.6383183,1.0572655,0.70912576,0.4102425,0.1256691,0.2845734
19,-0.5975101,-0.13134705,"('inhospitable', 'hospitable')",-2.4305139,-2.2852783,-0.917043,-0.75917184,-1.3150223,-1.058599,-0.2564233
35,-0.58237237,-0.48620242,"('corrupt', 'incorrupt')",-1.5387878,-1.3986995,-0.71177405,-0.6270154,-0.9443115,-0.8373058,-0.1070057
14,0.573855,0.4041002,"('antisocial', 'social')",2.2684872,2.1078112,-0.12108049,-0.36024886,0.9070872,0.7172209,0.1898663
50,-0.573732,-0.4901855,"('clumsy', 'skillful')",-1.4914162,-1.1245971,0.06566858,0.12676318,-0.6664933,-0.4960064,-0.1704869
75,-0.56502044,-0.28094482,"('meek', 'impulsive')",-2.0975986,-1.6799581,-0.769308,-0.57101136,-1.1439757,-0.8439714,-0.3000043
66,0.51216996,0.40466103,"('inactive', 'active')",-1.0543807,-0.95498145,0.2045366,0.28236565,-0.112558,-0.0893182,-0.0232398
59,-0.48044607,-0.35243213,"('foolish', 'wise')",-0.85797524,-0.64188796,0.24659207,0.41354227,-0.3639431,-0.1935926,-0.1703505
6,-0.4770776,-0.5032835,"('distant', 'open')",-2.1916368,-1.8782129,-0.34534174,-0.31334463,-1.0046854,-0.8982804,-0.106405
