,express_male,express_female,tuple,scripts_male,scripts_female,holding_male,holding_female,co_male,co_female,average_male,average_female,male-female
56,1.9656985,2.4034634,"('impractical', 'practical')",2.895394,2.7054121,1.2328825,1.2154061,-0.23766053,-0.17725429,1.4640787,1.5367568,-0.0726781
16,-1.9048356,-1.9517626,"('unpopular', 'popular')",-1.7370906,-1.3175564,-1.592921,-1.0832298,0.09350834,0.34064874,-1.2853347,-1.002975,-0.2823597
31,-1.8139919,-2.4212778,"('evil', 'good')",-2.2388542,-1.9649483,-1.0206437,-0.7857704,-0.70598066,-0.8106923,-1.4448676,-1.4956722,0.0508046
59,-1.7614851,-1.8933302,"('foolish', 'wise')",-1.6083431,-1.0816286,-0.6373151,-0.15006757,0.023158759,-0.058676712,-0.9959962,-0.7959258,-0.2000704
60,1.7045938,2.1163383,"('inefficient', 'efficient')",3.245807,2.7636566,0.8886556,0.49029154,-0.07147214,0.06939373,1.4418961,1.35992,0.0819761
50,-1.6897197,-1.3273336,"('clumsy', 'skillful')",-1.6663438,-1.6046968,-1.0656815,-0.61466026,-0.5579122,-0.39127904,-1.2449143,-0.9844924,-0.2604219
24,1.676249,1.5004044,"('dishonest', 'honest')",1.3172978,0.92158973,0.004611252,-0.28409505,0.93067706,0.81852734,0.9822088,0.7391067,0.2431021
85,-1.6041855,-2.2975166,"('insignificant', 'prestigious')",-2.6093526,-2.1170416,0.0512838,0.4363071,-0.2628523,-0.30232954,-1.1062766,-1.0701451,-0.0361315
15,1.573838,1.6075274,"('boring', 'funny')",1.8004062,1.9849714,0.19587709,0.5731841,0.17232043,0.27825516,0.9356104,1.1109844,-0.175374
13,1.5600876,1.5913512,"('impolite', 'polite')",1.7619234,1.3489093,0.17179552,-0.18239114,-0.15229061,-0.088453,0.835379,0.667354,0.168025
52,-1.3867819,-2.01685,"('irrational', 'rational')",-0.7225074,-0.5032348,-0.76425344,-0.392277,-0.46917537,-0.60444295,-0.8356795,-0.8792012,0.0435217
81,1.3694438,1.5866052,"('submissive', 'aggressive')",2.2711313,1.8829639,0.8276841,0.8067905,-0.37655622,-0.22007045,1.0229256,1.0140723,0.0088533
45,1.3631287,1.3619145,"('incompetent', 'competent')",2.4660485,1.9020007,1.8316747,1.3860826,0.7207061,0.470286,1.5953895,1.2800709,0.3153186
70,1.3595148,1.711955,"('lethargic', 'energetic')",1.5827503,1.0895673,0.841585,0.75961936,0.6275749,0.7169494,1.1028562,1.0695227,0.0333335
46,1.3216246,1.3869916,"('uncompetitive', 'competitive')",1.8452114,1.1723523,1.0204676,0.25505418,-0.10715938,-0.2980225,1.020036,0.6290939,0.3909421
78,-1.314222,-1.1763011,"('nonresilient', 'resilient')",-0.4402027,-0.64033043,-0.33673382,-0.5619632,-0.3389741,-0.33631107,-0.6075331,-0.6787265,0.0711934
62,1.3074528,1.8479929,"('incompetent', 'brilliant')",2.6193902,2.4586868,0.88722855,1.018036,0.06571032,0.29394904,1.2199455,1.4046662,-0.1847207
57,1.2975657,1.0359675,"('unimaginative', 'imaginative')",2.0254889,1.8357582,0.9872362,0.5166846,-2.6281743,-2.781769,0.4205291,0.1516603,0.2688688
30,1.2952493,1.4860092,"('intolerant', 'tolerant')",1.9944049,1.7468002,0.6110593,0.6869682,0.5536424,0.6198202,1.1135889,1.1348995,-0.0213106
76,1.2834095,1.729203,"('anxious', 'daring')",1.9265268,1.63659,0.57176656,0.6427298,0.19981182,0.3443214,0.9953786,1.0882111,-0.0928325
